pt,no_reactions
Antibiotic level above therapeutic,13
Antibiotic therapy,60
Antibody test abnormal,40
Antibody test positive,26
Anticholinergic syndrome,674
Anticoagulant therapy,7
Anticoagulation drug level abnormal,2
Anticoagulation drug level above therapeutic,69
Anticoagulation drug level below therapeutic,19
Anticonvulsant drug level above therapeutic,49
Anticonvulsant drug level decreased,24
Anticonvulsant drug level increased,32
Antidepressant drug clearance decreased,13
Antidepressant drug level above therapeutic,93
Antidepressant drug level increased,110
Antidiuretic hormone abnormality,12
Antinuclear antibody increased,51
Antinuclear antibody positive,131
Antiphospholipid syndrome,73
Antipsychotic drug level above therapeutic,247
Antipsychotic drug level below therapeutic,81
Antipsychotic drug level increased,446
Antisocial behaviour,124
Antiviral drug level above therapeutic,3
Anuria,182
Anxiety,30085
Anxiety disorder,595
Aorta hypoplasia,104
Aortic aneurysm,315
Aortic aneurysm repair,2
Aortic arteriosclerosis,136
Aortic bypass,5
Aortic calcification,9
Aortic dilatation,59
Aortic disorder,27
Aortic dissection,77
Aortic stenosis,131
Aortic thrombosis,30
Aortic valve disease,69
Aortic valve incompetence,223
Aortic valve replacement,40
Aortic valve sclerosis,32
Aortic valve stenosis,109
Aorticopulmonary septal defect,3
Aortitis,12
Apallic syndrome,141
Apathy,1606
Apgar score low,167
Aphagia,37
Aphasia,1874
Aphonia,696
Aphthous stomatitis,23
Aphthous ulcer,481
Apicectomy,1
Aplasia,31
Aplasia pure red cell,24
Aplastic anaemia,119
Apnoea,596
Apnoea neonatal,38
Apnoeic attack,43
Apparent death,219
Appendicectomy,184
Appendicitis,340
Appendicitis perforated,129
Appendix disorder,47
Appetite disorder,441
Application site bruise,20
Application site burn,186
Application site cellulitis,1
Application site discharge,39
Application site discolouration,117
Application site discomfort,24
Application site dryness,39
Application site erosion,38
Application site erythema,492
Application site exfoliation,23
Application site haemorrhage,31
Application site infection,14
Application site inflammation,11
Application site irritation,80
Application site necrosis,2
Application site pain,209
Application site pallor,2
Application site papules,5
Application site pruritus,138
Application site pustules,15
Application site rash,106
Application site reaction,36
Application site swelling,2
Application site ulcer,7
Application site vesicles,36
Apraxia,118
Aptyalism,95
Arachnoid cyst,43
Areflexia,187
Arnold-Chiari malformation,156
Arrested labour,38
Arrhythmia,2306
Arrhythmia supraventricular,39
Arterial disorder,48
Arterial haemorrhage,12
Arterial injury,37
Arterial occlusive disease,286
Arterial thrombosis,58
Arteriosclerosis,395
Arteriosclerosis coronary artery,585
Arteriospasm coronary,91
Arteriovenous fistula occlusion,3
Arteriovenous fistula operation,11
Arteriovenous fistula site infection,3
Arteriovenous fistula thrombosis,6
Arteriovenous malformation,54
Arthralgia,19575
Arthritis,3709
Arthritis bacterial,116
Arthritis enteropathic,12
Arthritis infective,186
Arthrodesis,21
Arthropathy,2120
Arthropod bite,341
Arthropod sting,53
Arthroscopy,28
Artificial crown procedure,18
Asbestosis,6
Ascites,464
Aspartate aminotransferase abnormal,6
Aspartate aminotransferase decreased,21
Aspartate aminotransferase increased,380
Aspergilloma,5
Aspergillus infection,78
Asphyxia,657
Aspiration,901
Asterixis,59
Asthenia,15885
Asthenopia,221
Asthma,6690
Asthma exercise induced,83
Asthma late onset,5
Asthma-chronic obstructive pulmonary disease overlap syndrome,17
Asthmatic crisis,60
Astigmatism,74
Ataxia,606
Atelectasis,238
Atonic seizures,32
Atonic urinary bladder,6
Atrial fibrillation,3425
Atrial flutter,244
Atrial septal defect,1778
Atrial tachycardia,63
Atrial thrombosis,20
Atrioventricular block,315
Atrioventricular block complete,283
Atrioventricular block first degree,341
Atrioventricular block second degree,161
Atrophic vulvovaginitis,13
Atrophy,40
Attention deficit hyperactivity disorder,104
Attention deficit/hyperactivity disorder,390
Atypical femur fracture,90
Atypical fracture,14
Atypical pneumonia,169
Auditory disorder,49
Aura,85
Aural polyp,6
Auricular swelling,3
Autism,96
Autism spectrum disorder,254
Autoimmune arthritis,8
Autoimmune colitis,23
Autoimmune disorder,351
Autoimmune enteropathy,1
Autoimmune haemolytic anaemia,153
Autoimmune hepatitis,252
Autoimmune myositis,12
Autoimmune neutropenia,3
Autoimmune pancreatitis,15
Autoimmune thyroid disorder,4
Autoimmune thyroiditis,237
Autonomic dysreflexia,119
Autonomic nervous system imbalance,376
Autonomic neuropathy,66
Autoscopy,140
Axial spondyloarthritis,9
Axillary mass,39
Axillary pain,27
Axillary vein thrombosis,8
Axonal neuropathy,223
Azotaemia,50
B-cell lymphoma,81
B-lymphocyte count decreased,44
Back disorder,1055
Back injury,648
Back pain,8125
Bacteraemia,318
Bacterial diarrhoea,6
Bacterial disease carrier,15
Bacterial infection,488
Bacterial sepsis,91
Bacterial test,9
Bacterial test positive,88
Bacterial vaginosis,95
Balance disorder,7162
Balanitis candida,2
Balanoposthitis,17
Ballismus,14
Band neutrophil count decreased,14
Band sensation,88
Bankruptcy,127
Barrett's oesophagus,129
Bartholin's abscess,4
Bartholin's cyst,12
Basal cell carcinoma,619
Basal ganglia haemorrhage,58
Basedow's disease,104
Basophil count decreased,9
Basophil count increased,23
Bedridden,586
Behaviour disorder,309
Behcet's syndrome,58
Bell's palsy,33
Belligerence,10
Benign bone neoplasm,7
Benign breast neoplasm,32
Benign intracranial hypertension,56
Benign lung neoplasm,16
Benign neoplasm,46
Benign neoplasm of bladder,14
Benign neoplasm of thyroid gland,68
Benign ovarian tumour,3
Benign prostatic hyperplasia,200
Benzodiazepine drug level therapeutic,4
Beta haemolytic streptococcal infection,20
Bezoar,178
Bicuspid aortic valve,44
Bicytopenia,58
Bile acid malabsorption,29
Bile duct obstruction,94
Bile duct stenosis,19
Bile duct stone,89
Bile output abnormal,1
Bilevel positive airway pressure,9
Biliary cirrhosis,4
Biliary colic,91
Biliary dilatation,39
Biliary dyskinesia,21
Biliary hamartoma,1
Biliary sepsis,35
Bilirubin conjugated increased,8
Binge eating,149
Biopsy,8
Biopsy artery,4
Biopsy bone marrow abnormal,7
Biopsy lung,20
Bipolar I disorder,263
Bipolar disorder,1272
Bite,28
Bladder calculus removal,2
Bladder cancer,253
Bladder catheterisation,41
Bladder dilatation,101
Bladder discomfort,56
Bladder disorder,512
Bladder diverticulum,3
Bladder dysfunction,27
Bladder injury,16
Bladder mass,13
Bladder neck suspension,8
Bladder neoplasm,32
Bladder neoplasm surgery,8
Bladder operation,56
Bladder pain,141
Bladder prolapse,64
Bladder repair,13
Bladder spasm,97
Bladder transitional cell carcinoma,36
Bladder transitional cell carcinoma stage II,3
Blast cells present,5
Bleeding varicose vein,14
Blepharal pigmentation,19
Blepharitis,72
Blepharospasm,314
Blindness,974
Blindness congenital,7
Blindness transient,205
Blindness unilateral,419
Blister,1764
Blister infected,25
Blood 25-hydroxycholecalciferol decreased,4
Blood HCV RNA below assay limit,1
Blood albumin decreased,85
Blood alcohol increased,27
Blood alkaline phosphatase abnormal,14
Blood alkaline phosphatase decreased,25
Blood alkaline phosphatase increased,336
Blood antidiuretic hormone increased,4
Blood bicarbonate decreased,114
Blood bilirubin decreased,15
Blood bilirubin increased,482
Blood blister,82
Blood calcium abnormal,41
Blood calcium decreased,682
Blood calcium increased,173
Blood cannabinoids,3
Blood carbon monoxide decreased,2
Blood catecholamines increased,22
Blood chloride decreased,42
Blood chloride increased,23
Blood cholesterol abnormal,244
Blood cholesterol increased,1843
Blood chromogranin A increased,9
Blood corticotrophin abnormal,1
Blood corticotrophin increased,3
Blood cortisol decreased,8
Blood count abnormal,649
Blood creatine decreased,9
Blood creatine increased,105
Blood creatine phosphokinase MB increased,12
Blood creatine phosphokinase increased,1404
Blood creatinine,4
Blood creatinine abnormal,77
Blood creatinine decreased,67
Blood creatinine increased,1595
Blood culture negative,5
Blood culture positive,50
Blood disorder,224
Blood electrolytes abnormal,36
Blood electrolytes decreased,36
Blood ethanol,3
Blood ethanol increased,18
Blood fibrinogen decreased,10
Blood fibrinogen increased,4
Blood gases abnormal,30
Blood glucose,8
Blood glucose abnormal,462
Blood glucose decreased,923
Blood glucose fluctuation,299
Blood glucose increased,2803
Blood glucose normal,2
Blood growth hormone increased,8
Blood immunoglobulin A decreased,17
Blood immunoglobulin G decreased,55
Blood immunoglobulin G increased,47
Blood immunoglobulin M abnormal,6
Blood immunoglobulin M decreased,16
Blood insulin increased,11
Blood iron,1
Blood iron abnormal,39
Blood iron decreased,384
Blood iron increased,25
Blood ketone body increased,10
Blood lactate dehydrogenase abnormal,4
Blood lactate dehydrogenase increased,87
Blood lactic acid increased,382
Blood loss anaemia,157
Blood luteinising hormone decreased,1
Blood magnesium abnormal,11
Blood magnesium decreased,379
Blood methaemoglobin,1
Blood oestrogen decreased,32
Blood osmolarity decreased,30
Blood pH decreased,16
Blood parathyroid hormone increased,31
Blood phosphorus decreased,68
Blood phosphorus increased,24
Blood potassium abnormal,72
Blood potassium decreased,916
Blood potassium increased,437
Blood pressure abnormal,771
Blood pressure decreased,1841
Blood pressure diastolic abnormal,150
Blood pressure diastolic decreased,300
Blood pressure diastolic increased,164
Blood pressure fluctuation,1371
Blood pressure immeasurable,8
Blood pressure inadequately controlled,79
Blood pressure increased,6102
Blood pressure measurement,31
Blood pressure systolic abnormal,63
Blood pressure systolic decreased,96
Blood pressure systolic increased,515
Blood prolactin increased,483
Blood sodium abnormal,31
Blood sodium decreased,568
Blood test,6
Blood test abnormal,335
Blood testosterone abnormal,20
Blood testosterone decreased,227
Blood testosterone free increased,1
Blood thyroid stimulating hormone abnormal,28
Blood thyroid stimulating hormone decreased,90
Blood thyroid stimulating hormone increased,198
Blood thyroid stimulating hormone normal,7
Blood triglycerides increased,291
Blood urea abnormal,12
Blood urea decreased,11
Blood urea increased,56
Blood urea nitrogen/creatinine ratio increased,8
Blood uric acid abnormal,7
Blood urine,12
Blood urine present,496
Blood viscosity increased,17
Blue toe syndrome,7
Body fat disorder,9
Body height abnormal,6
Body height decreased,633
Body mass index decreased,25
Body mass index increased,75
Body temperature abnormal,82
Body temperature decreased,196
Body temperature fluctuation,73
Body temperature increased,665
Body tinea,90
Bone abscess,3
Bone atrophy,5
Bone cancer,82
Bone cancer metastatic,9
Bone contusion,47
Bone cyst,28
Bone decalcification,6
Bone deformity,15
Bone demineralisation,25
Bone density decreased,257
Bone disorder,336
Bone erosion,40
Bone graft,28
Bone hypertrophy,2
Bone lesion,71
Bone lesion excision,10
Bone loss,109
Bone marrow disorder,49
Bone marrow failure,302
Bone marrow oedema,46
Bone marrow toxicity,7
Bone marrow tumour cell infiltration,2
Bone pain,848
Bone scan abnormal,6
Bone tuberculosis,4
Borderline personality disorder,101
Boredom,16
Bowel movement irregularity,183
Bowen's disease,41
Brachial plexopathy,9
Bradyarrhythmia,68
Bradycardia,3517
Bradycardia foetal,34
Bradykinesia,485
Bradyphrenia,920
Bradypnoea,267
Brain abscess,43
Brain cancer metastatic,13
Brain compression,5
Brain death,205
Brain fog,103
Brain herniation,75
Brain hypoxia,51
Brain injury,609
Brain midline shift,25
Brain natriuretic peptide increased,28
Brain neoplasm,248
Brain neoplasm benign,9
Brain neoplasm malignant,51
Brain oedema,393
Brain operation,66
Brain stem haemorrhage,40
Brain stem infarction,12
Brain stem microhaemorrhage,1
Brain stem stroke,22
Brain stem syndrome,31
Breakthrough pain,134
Breast abscess,51
Breast cancer,1699
Breast cancer female,243
Breast cancer metastatic,190
Breast cancer stage I,39
Breast cancer stage II,43
Breast cellulitis,17
Breast cyst,71
Breast discharge,72
Breast discomfort,46
Breast disorder,131
Breast enlargement,134
Breast feeding,39
Breast hyperplasia,13
Breast inflammation,5
Breast injury,3
Breast mass,184
Breast necrosis,2
Breast neoplasm,18
Breast pain,330
Breast swelling,45
Breast tenderness,113
Breast ulceration,11
Breath odour,146
Breath sounds abnormal,120
Breech presentation,148
Bronchial carcinoma,4
Bronchial disorder,47
Bronchial hyperreactivity,63
Bronchial secretion retention,23
Bronchiectasis,308
Bronchiolitis,48
Bronchitis,3621
Bronchitis chronic,105
Bronchitis haemophilus,2
Bronchitis viral,29
Bronchoalveolar lavage abnormal,3
Bronchopneumonia,20
Bronchopulmonary aspergillosis,103
Bronchopulmonary disease,2
Bronchoscopy,8
Bronchospasm,328
Brow ptosis,19
Brugada syndrome,204
Bruxism,955
Bulbar palsy,2
Bullous impetigo,2
Bundle branch block,58
Bundle branch block left,224
Bundle branch block right,237
Bunion operation,21
Burn oesophageal,36
Burn oral cavity,27
Burning feet syndrome,7
Burning mouth syndrome,114
Burning sensation,2609
Burnout syndrome,32
Burns second degree,31
Burns third degree,15
Bursitis,488
Bursitis infective,13
Butterfly rash,19
Buttock injury,18
C-reactive protein abnormal,83
C-reactive protein increased,516
CADASIL,4
CD4 lymphocyte percentage decreased,2
CD4 lymphocytes abnormal,9
CD4 lymphocytes decreased,29
CFTR gene mutation,1
CNS ventriculitis,4
COVID-19,5340
COVID-19 immunisation,22
COVID-19 pneumonia,424
CREST syndrome,12
CSF culture negative,1
CSF oligoclonal band,1
CSF pressure decreased,2
CSF pressure increased,10
CSF test abnormal,10
CYP3A4 polymorphism,6
Cachexia,74
Caesarean section,383
Calcinosis,38
Calcium ionised decreased,2
Calculus bladder,28
Calculus urinary,48
Callus formation delayed,2
Camptocormia,105
Campylobacter gastroenteritis,13
Campylobacter infection,18
Campylobacter sepsis,7
Cancer in remission,6
Cancer pain,77
Cancer surgery,28
Candida infection,589
Capillary leak syndrome,45
Carbohydrate antigen 125 increased,48
Carbohydrate intolerance,2
Carbon dioxide,2
Carbon dioxide abnormal,7
Carbon dioxide increased,42
Carbon monoxide diffusing capacity decreased,4
Carboxyhaemoglobin increased,3
Carbuncle,5
Carcinoembryonic antigen increased,37
Carcinogenicity,2
Carcinoid heart disease,1
Carcinoid tumour,17
Carcinoid tumour of the gastrointestinal tract,4
Carcinoid tumour pulmonary,13
Cardiac ablation,49
Cardiac amyloidosis,13
Cardiac arrest,4297
Cardiac asthma,7
Cardiac death,33
Cardiac discomfort,74
Cardiac disorder,1766
Cardiac dysfunction,64
Cardiac failure,1781
Cardiac failure acute,163
Cardiac failure chronic,74
Cardiac failure congestive,1435
Cardiac fibrillation,23
Cardiac flutter,202
Cardiac hypertrophy,48
Cardiac infection,18
Cardiac monitoring,4
Cardiac monitoring abnormal,1
Cardiac murmur,332
Cardiac myxoma,6
Cardiac operation,181
Cardiac output decreased,25
Cardiac pacemaker insertion,109
Cardiac pacemaker replacement,19
Cardiac perforation,3
Cardiac procedure complication,3
Cardiac septal defect,50
Cardiac stress test abnormal,18
Cardiac tamponade,70
Cardiac valve disease,115
Cardiac valve rupture,2
Cardio-respiratory arrest,4099
Cardioactive drug level increased,9
Cardiogenic shock,567
Cardiomegaly,229
Cardiomyopathy,272
Cardiopulmonary failure,89
Cardiospasm,4
Cardiotoxicity,205
Cardiovascular disorder,272
Cardiovascular insufficiency,63
Cardiovascular symptom,31
Carotid artery aneurysm,24
Carotid artery bypass,2
Carotid artery disease,30
Carotid artery dissection,10
Carotid artery occlusion,51
Carotid artery stenosis,44
Carpal tunnel decompression,47
Carpal tunnel syndrome,619
Cartilage atrophy,53
Cartilage injury,95
Castleman's disease,10
Cat scratch disease,16
Cataplexy,616
Cataract,1677
Cataract congenital,18
Cataract nuclear,25
Cataract operation,111
Catarrh,10
Catatonia,583
Catecholamines urine increased,2
Catheter placement,44
Catheter site discharge,40
Catheter site erosion,1
Catheter site haemorrhage,19
Catheter site infection,55
Catheter site inflammation,6
Catheter site irritation,2
Catheter site pain,18
Catheter site rash,5
Catheter site swelling,17
Catheter site thrombosis,4
Catheterisation cardiac,80
Cauda equina syndrome,13
Cell death,110
Cellulitis,1773
Cellulitis staphylococcal,29
Central hypothyroidism,3
Central nervous system infection,22
Central nervous system inflammation,3
Central nervous system lesion,524
Central nervous system lymphoma,29
Central venous catheter removal,12
Central venous catheterisation,67
Cerebellar ataxia,39
Cerebellar haemorrhage,64
Cerebellar infarction,33
Cerebellar ischaemia,2
Cerebellar stroke,30
Cerebellar syndrome,134
Cerebral artery embolism,17
Cerebral artery occlusion,14
Cerebral artery thrombosis,24
Cerebral atrophy,81
Cerebral congestion,5
Cerebral cyst,10
Cerebral disorder,450
Cerebral fungal infection,1
Cerebral haematoma,289
Cerebral haemorrhage,1339
Cerebral haemorrhage neonatal,41
Cerebral hypoperfusion,28
Cerebral infarction,387
Cerebral ischaemia,77
Cerebral mass effect,4
Cerebral microhaemorrhage,26
Cerebral thrombosis,52
Cerebral vasoconstriction,36
Cerebral venous thrombosis,105
Cerebral ventricle dilatation,51
Cerebral ventricular rupture,2
Cerebrospinal fistula,3
Cerebrospinal fluid leakage,72
Cerebrovascular accident,3539
Cerebrovascular disorder,37
Cerumen impaction,10
Cervical cyst,7
Cervical dysplasia,45
Cervical incompetence,66
Cervical myelopathy,7
Cervical radiculopathy,48
Cervical spinal stenosis,98
Cervical vertebral fracture,179
Cervicobrachial syndrome,10
Cervicogenic vertigo,1
Cervix cancer metastatic,3
Cervix carcinoma,122
Cervix disorder,7
Chalazion,10
Change in seizure presentation,58
Change of bowel habit,28
Chapped lips,82
Cheilitis,135
Chemical burn,33
Chemical burn of skin,25
Chemical eye injury,1
Chemical injury,13
Chemical submission,10
Chemotherapeutic drug level increased,2
Chemotherapy,56
Chest X-ray abnormal,43
Chest discomfort,2503
Chest injury,65
Chest pain,4011
Chest wall cyst,2
Chest wall mass,5
Cheyne-Stokes respiration,10
Chikungunya virus infection,7
Child maltreatment syndrome,4
Chillblains,5
Chills,2640
Chlamydial infection,23
Chloasma,25
Choanal stenosis,2
Choking,576
Choking sensation,141
Cholangiocarcinoma,51
Cholangitis,101
Cholangitis sclerosing,44
Cholecystectomy,363
Cholecystitis,235
Cholecystitis acute,151
Cholecystitis chronic,35
Cholecystitis infective,62
Cholecystostomy,6
Cholelithiasis,688
Cholestasis,1091
Cholestatic liver injury,103
Cholinergic syndrome,33
Chondritis,18
Chondropathy,69
Chondrosarcoma metastatic,1
Chorea,155
Chorioretinopathy,31
Choroidal effusion,6
Choroidal neovascularisation,11
Chromatopsia,14
Chromaturia,457
Chronic cutaneous lupus erythematosus,6
Chronic disease,7
Chronic fatigue syndrome,76
Chronic gastritis,86
Chronic gastrointestinal bleeding,21
Chronic hepatitis C,17
Chronic inflammatory demyelinating polyradiculoneuropathy,39
Chronic kidney disease,10392
Chronic kidney disease-mineral and bone disorder,48
Chronic lymphocytic leukaemia,97
Chronic lymphocytic leukaemia stage 4,4
Chronic myeloid leukaemia,59
Chronic myeloid leukaemia recurrent,4
Chronic obstructive pulmonary disease,1524
Chronic respiratory failure,20
Chronic sinusitis,144
Chylothorax,10
Circadian rhythm sleep disorder,36
Circulatory collapse,801
Circumoral oedema,14
Circumstance or information capable of leading to device use error,10
Circumstance or information capable of leading to medication error,322
Clavicle fracture,204
Clear cell carcinoma of cervix,1
Clear cell renal cell carcinoma,112
Cleft lip,130
Cleft palate,183
Clonic convulsion,55
Clonus,360
Clostridium colitis,21
Clostridium difficile colitis,422
Clostridium difficile infection,907
Clostridium test positive,92
Clumsiness,151
Cluster headache,97
Coagulation test abnormal,15
Coagulation time prolonged,14
Coagulation time shortened,7
Coagulopathy,306
Coarctation of the aorta,71
Coating in mouth,14
Coccydynia,42
Cochlear injury,1
Coeliac artery occlusion,4
Coeliac artery stenosis,3
Coeliac disease,555
Cognitive disorder,2731
Cogwheel rigidity,205
Coital bleeding,40
Cold sweat,610
Cold-stimulus headache,29
Colectomy,81
Colitis,1183
Colitis ischaemic,402
Colitis microscopic,1063
Colitis ulcerative,961
Colon adenoma,18
Colon cancer,243
Colon cancer metastatic,34
Colon neoplasm,17
Colon operation,40
Colonic abscess,24
Colonic fistula,9
Colonoscopy,72
Colorectal adenocarcinoma,9
