index_pt,cluster,pt
131,11,Application site laceration
132,11,Application site pain
133,11,Application site papules
134,11,Application site reaction
135,11,Application site vesicles
136,7,Arm amputation
137,11,Arrhythmia supraventricular
138,7,Arrhythmic storm
139,11,Arterial insufficiency
140,11,Arteriosclerosis
141,11,Arteriovenous malformation
142,11,Arthralgia
143,11,Arthritis bacterial
144,11,Arthritis infective
145,11,Articular calcification
146,11,Asthenia
147,11,Asthmatic crisis
148,11,Atelectasis
149,11,Atheroembolism
150,11,Atrioventricular dissociation
151,11,Atrophic vulvovaginitis
152,7,Atrophy of globe
153,7,Attention-seeking behaviour
154,11,Atypical femur fracture
155,11,Autoimmune arthritis
156,11,Autoimmune hepatitis
157,3,Autoimmune pancreatitis
158,11,Autoinflammatory disease
159,11,Autoscopy
160,11,Aversion
161,11,Axillary mass
162,11,B-lymphocyte count decreased
163,11,Back pain
164,8,Bacterial diarrhoea
165,7,Bacterial food poisoning
166,11,Bacterial sepsis
167,11,Balance disorder
168,11,Bankruptcy
169,11,Basal cell carcinoma
170,7,Basal ganglia stroke
171,11,Basedow's disease
172,11,Basophil count abnormal
173,8,Basophil count decreased
174,7,Bed rest
175,11,Behcet's syndrome
176,11,Bell's palsy
177,11,Benign bone neoplasm
178,11,Benign breast neoplasm
179,11,Benign lung neoplasm
180,11,Benign neoplasm of skin
181,12,Benzodiazepine drug level decreased
182,11,Bicytopenia
183,11,Bile acid malabsorption
184,11,Bile duct cancer
185,11,Biliary adenoma
186,11,Biliary cirrhosis primary
187,7,Bilirubin conjugated abnormal
188,11,Bilirubin conjugated increased
189,11,Binge eating
190,11,Biopsy kidney abnormal
191,7,Biopsy liver
192,11,Bladder dysfunction
193,8,Bladder injury
194,8,Bladder irritation
195,11,Bladder operation
196,11,Bladder repair
197,7,Blast cell crisis
198,8,Blast cells present
199,11,Blepharochalasis
200,11,Blindness congenital
201,7,Blindness cortical
202,11,Blindness transient
203,11,Blister infected
204,11,Blood albumin decreased
205,11,Blood albumin increased
206,16,Blood alcohol
207,11,Blood blister
208,11,Blood calcium abnormal
209,11,Blood chloride increased
210,11,Blood cholesterol abnormal
211,7,Blood cholesterol decreased
212,11,Blood cholesterol increased
213,8,Blood chromogranin A increased
214,11,Blood corticotrophin decreased
215,11,Blood count abnormal
216,11,Blood creatine increased
217,11,Blood creatinine decreased
218,11,Blood culture negative
219,11,Blood culture positive
220,11,Blood gases abnormal
221,11,Blood glucose increased
222,11,Blood growth hormone increased
223,11,Blood homocysteine increased
224,11,Blood immunoglobulin A increased
225,11,Blood immunoglobulin E abnormal
226,7,Blood immunoglobulin G abnormal
227,11,Blood oestrogen decreased
228,11,Blood osmolarity decreased
229,5,Blood pressure diastolic abnormal
230,11,Blood pressure diastolic decreased
231,11,Blood pressure diastolic increased
232,11,Blood pressure inadequately controlled
233,8,Blood pressure orthostatic decreased
234,11,Blood pressure systolic abnormal
235,11,Blood sodium abnormal
236,11,Blood sodium decreased
237,11,Blood test
238,11,Blood testosterone abnormal
239,11,Blood testosterone increased
240,11,Blood thyroid stimulating hormone decreased
241,11,Blood triglycerides abnormal
242,11,Blood triglycerides increased
243,11,Blood urea decreased
244,11,Blood urea increased
245,11,Blood uric acid increased
246,11,Blood urine present
247,11,Blood viscosity decreased
248,8,Blood viscosity increased
249,11,Bloody discharge
250,11,Body fat disorder
251,11,Body temperature decreased
252,11,Body temperature increased
253,11,Bone contusion
254,11,Bone fissure
255,11,Bone graft
256,11,Bone lesion
257,11,Bone loss
258,8,Bone marrow toxicity
259,11,Bone marrow transplant
260,11,Bone neoplasm
261,11,Bone pain
262,11,Bowel movement irregularity
263,11,Bowen's disease
264,11,Brachial plexus injury
265,18,Brachiocephalic vein thrombosis
266,11,Brachioradial pruritus
267,11,Bradycardia neonatal
268,8,Brain abscess
269,11,Brain malformation
270,11,Brain neoplasm
271,11,Brain neoplasm malignant
272,11,Brain stem infarction
273,11,Brain stem thrombosis
274,11,Breakthrough pain
275,11,Breast abscess
276,11,Breast cancer
277,11,Breast cancer female
278,11,Breast cancer recurrent
279,11,Breast cancer stage I
280,11,Breast cancer stage II
281,11,Breast cancer stage III
282,11,Breast cyst
283,11,Breast discomfort
284,11,Breast disorder female
285,11,Breast dysplasia
286,11,Breast enlargement
287,7,Breast fibroma
288,11,Breast haematoma
289,11,Breast inflammation
290,11,Breast mass
291,11,Breast operation
292,11,Breast pain
293,11,Breast prosthesis implantation
294,11,Breast prosthesis user
295,11,Breast tenderness
296,11,Breath alcohol test positive
297,11,Bronchial secretion retention
298,11,Bronchiectasis
299,11,Bronchitis chronic
300,11,Bronchopneumopathy
301,7,Bronchopulmonary dysplasia
302,11,Bronchoscopy
303,11,Brucellosis
304,11,Bruxism
305,11,Burning mouth syndrome
306,11,Burning sensation
307,7,Bursa injury
308,11,Bursitis
309,11,Bursitis infective
310,11,Butterfly rash
311,7,C-reactive protein abnormal
312,11,CNS ventriculitis
313,11,COVID-19
314,11,COVID-19 treatment
315,10,CSF pressure increased
316,7,Caffeine consumption
317,11,Cancer fatigue
318,11,Cancer pain
319,11,Cancer surgery
320,11,Carbohydrate antigen 125 increased
321,11,Carbon dioxide decreased
322,11,Carbon dioxide increased
323,11,Carcinoid tumour
324,11,Carcinoid tumour of the gastrointestinal tract
325,11,Carcinoid tumour pulmonary
326,11,Cardiac disorder
327,10,Cardiac perforation
328,11,Cardiac stress test abnormal
329,11,Cardiac valve disease
330,11,Cardiac ventricular thrombosis
331,11,Cardiomyopathy
332,11,Cardiovascular symptom
333,11,Carnitine deficiency
334,11,Carotid artery aneurysm
335,8,Carotid artery stenosis
336,8,Carpal tunnel decompression
337,11,Cartilage atrophy
338,7,Cast application
339,10,Castleman's disease
340,11,Cataract subcapsular
341,7,Catheter placement
342,11,Catheter site haemorrhage
343,11,Catheterisation cardiac
344,11,Cellulitis orbital
345,11,Central nervous system infection
346,11,Central nervous system stimulation
347,11,Central sleep apnoea syndrome
348,11,Central venous catheter removal
349,11,Central venous catheterisation
350,8,Cerebellar stroke
351,8,Cerebral amyloid angiopathy
352,11,Cerebral arteriosclerosis
353,11,Cerebral thrombosis
354,11,Cerebral toxoplasmosis
355,11,Cerebral vasoconstriction
356,11,Cerebrovascular insufficiency
357,11,Cervical cord compression
358,11,Cervical cyst
359,11,Cervical dilatation
360,11,Cervical polyp
361,11,Cervical radiculopathy
362,11,Cervical spinal stenosis
363,7,Cervix carcinoma stage 0
364,11,Cervix inflammation
365,7,Cervix neoplasm
366,7,Chalazion
367,11,Change in sustained attention
368,11,Cheilitis
369,11,Chemical burn of skin
370,11,Chest X-ray abnormal
371,11,Chest pain
372,11,Chillblains
373,11,Cholangitis acute
374,11,Cholecystitis acute
375,11,Cholelithiasis
376,11,Cholelithotomy
377,11,Chondropathy
378,8,Chondrosarcoma
379,11,Chordee
380,11,Chorioretinal atrophy
381,11,Chorioretinopathy
382,11,Choroidal effusion
383,11,Choroidal haemorrhage
384,11,Choroidal neovascularisation
385,11,Chronic disease
386,11,Chronic fatigue syndrome
387,7,Chronic hepatic failure
388,11,Chronic hepatitis C
389,11,Chronic kidney disease
390,5,Chronic myeloid leukaemia
391,11,Chronic obstructive pulmonary disease
392,11,Chronic respiratory disease
393,7,Circumcision
394,8,Cirrhosis alcoholic
395,11,Clinical death
396,11,Clitoral engorgement
397,11,Clostridium difficile colitis
398,11,Clostridium difficile infection
399,11,Cluster headache
400,11,Coagulation test abnormal
401,10,Coital bleeding
402,11,Cold urticaria
403,11,Colitis
404,11,Colitis ischaemic
405,11,Colitis microscopic
406,11,Colitis ulcerative
407,11,Coloboma
408,11,Colon cancer metastatic
409,11,Colon cancer stage IV
410,11,Colon dysplasia
411,11,Colon injury
412,11,Colour blindness acquired
413,7,Colour vision tests abnormal
414,11,Complication associated with device
415,11,Complication of pregnancy
416,11,Compulsive cheek biting
417,11,Compulsive hoarding
418,11,Compulsive shopping
419,7,Computerised tomogram head abnormal
420,11,Computerised tomogram thorax abnormal
421,11,Concomitant disease aggravated
422,8,Concomitant disease progression
423,11,Concussion
424,11,Confusion postoperative
425,11,Congenital anomaly in offspring
426,11,Congenital diaphragmatic hernia
427,11,Congenital jaw malformation
428,11,Congenital nose malformation
429,5,Congenital nystagmus
430,11,Congenital pulmonary hypertension
431,11,Congenital skin dimples
432,11,Congenital tricuspid valve incompetence
433,11,Conjunctival oedema
434,11,Contraindicated drug administered
435,11,Contraindication to medical treatment
436,11,Conversion disorder
437,11,Convulsion
438,11,Convulsions local
439,11,Cor pulmonale acute
440,11,Corneal operation
441,11,Corneal scar
442,11,Corona virus infection
443,10,Coronary artery dissection
444,11,Coronary artery occlusion
445,11,Coronary artery stenosis
446,11,Coronavirus infection
447,11,Coronavirus pneumonia
448,11,Coronavirus test positive
449,11,Corpora cavernosa surgery
450,11,Corrective lens user
451,11,Corynebacterium infection
452,11,Cotard's syndrome
453,11,Cough
454,11,Cranial nerve disorder
455,11,Craniofacial fracture
456,11,Craniosynostosis
457,11,Craniotomy
458,11,Creatine urine abnormal
459,7,Creatinine urine decreased
460,11,Crying
461,11,Crystal arthropathy
462,11,Culture urine positive
463,11,Cutaneous symptom
464,11,Cutis laxa
465,11,Cyanosis central
466,11,Cystic fibrosis
467,11,Cystic fibrosis related diabetes
468,11,Cystic fibrosis respiratory infection suppression
469,11,Cystitis escherichia
470,11,Cystitis interstitial
471,11,Cystitis klebsiella
472,11,Cytokine release syndrome
473,11,Cytomegalovirus test positive
474,11,Cytoreductive surgery
475,7,Dactylitis
476,11,Dandy-Walker syndrome
477,11,Dark circles under eyes
478,11,Deafness bilateral
479,11,Deafness unilateral
480,7,Death
481,8,Death of relative
482,11,Debridement
483,8,Decidual cast
484,7,Decompression sickness
485,11,Decreased activity
486,11,Decreased appetite
487,11,Decreased vibratory sense
488,11,Deep vein thrombosis
489,11,Defaecation disorder
490,11,Defaecation urgency
491,11,Degenerative bone disease
492,11,Dehydration
493,11,Delirium febrile
494,11,Delirium tremens
495,11,Delivery
496,11,Dementia
497,11,Dementia Alzheimer's type
498,11,Dental cyst
499,7,Dental implantation
500,11,Dependence
501,11,Dependence on oxygen therapy
502,11,Dependence on respirator
503,11,Depression suicidal
504,11,Derealisation
505,11,Dermatitis acneiform
506,11,Dermatitis atopic
507,7,Dermatofibrosarcoma protuberans
508,11,Detoxification
509,11,Device colour issue
510,11,Device defective
511,7,Device deposit issue
512,11,Device dislocation
513,7,Device dispensing error
514,11,Device kink
515,11,Device occlusion
516,10,Device physical property issue
517,11,Device placement issue
518,11,Device related bacteraemia
519,11,Device related infection
520,11,Device use error
521,11,Diabetic coma
522,11,Diabetic gangrene
523,11,Diabetic hyperosmolar coma
524,11,Diabetic ketoacidosis
525,11,Diabetic neuropathy
526,8,Diabetic ulcer
527,11,Diarrhoea
528,11,Diarrhoea haemorrhagic
529,11,Diffuse large B-cell lymphoma recurrent
530,11,Diplegia
531,11,Diplopia
532,11,Discharge
533,11,Disease progression
534,11,Disruptive mood dysregulation disorder
535,11,Distractibility
536,11,Diverticulitis
537,11,Dizziness
538,11,Dizziness postural
539,11,Dopamine agonist withdrawal syndrome
540,11,Double inlet left ventricle
541,11,Dreamy state
542,11,Drowning
543,11,Drug administered at inappropriate site
544,11,Drug administered in wrong device
545,11,Drug delivery system malfunction
546,11,Drug delivery system removal
547,11,Drug dispensing error
548,11,Drug diversion
549,11,Drug effect decreased
550,11,Drug effective for unapproved indication
551,11,Drug interaction
552,11,Drug level abnormal
553,11,Drug screen
554,7,Drug screen false positive
555,11,Drug tolerance decreased
556,11,Drug use disorder
557,11,Drug withdrawal convulsions
558,11,Drug withdrawal headache
559,11,Drug withdrawal syndrome neonatal
560,11,Dry skin
561,11,Ductus arteriosus premature closure
562,11,Duodenal stenosis
563,11,Duodenal ulcer
564,11,Dysentery
565,11,Dysgeusia
566,11,Dyshidrotic eczema
567,11,Dyskinesia
568,11,Dysmorphism
569,11,Dyspareunia
570,11,Dysphagia
571,11,Dysphonia
572,11,Dysphoria
573,11,Dyspnoea
574,11,Dyspnoea at rest
575,11,Dysstasia
576,11,Ear haemorrhage
577,11,Ear infection
578,11,Ear infection bacterial
579,10,Ear inflammation
580,11,Ear injury
581,11,Ear pruritus
582,11,Ear swelling
583,7,"Ear, nose and throat infection"
584,11,Ecchymosis
585,11,Eczema nummular
586,11,Ehlers-Danlos syndrome
587,11,Electric shock sensation
588,11,Electrocardiogram PR prolongation
589,11,Electrocardiogram QT interval
590,11,Electrocardiogram QT shortened
591,11,Electrolyte imbalance
592,11,Embedded device
593,11,Embolism
594,11,Emergency care
595,11,Emotional poverty
596,11,Emphysematous cystitis
597,11,Encapsulation reaction
598,11,Encephalopathy
599,11,End stage renal disease
600,11,Endometrial ablation
601,11,Endometrial adenocarcinoma
602,11,Endometrial cancer
603,7,Endometrial thickening
604,11,Endophthalmitis
605,11,Endoscopy
606,8,Endotracheal intubation complication
607,11,Endovenous ablation
608,7,Energy increased
609,11,Enlarged clitoris
610,8,Enlarged uvula
611,11,Enteric neuropathy
612,11,Enteritis infectious
613,11,Enterococcal bacteraemia
614,10,Enterococcal infection
615,11,Enterococcal sepsis
616,10,Enterovirus test positive
617,11,Enzyme abnormality
618,11,Eosinophil percentage increased
619,11,Eosinophilic oesophagitis
620,11,Eosinophilic pneumonia chronic
621,11,Epicondylitis
622,11,Epigastric discomfort
623,11,Epistaxis
624,11,Erection increased
625,11,Erythema
626,11,Erythema nodosum
627,11,Erythema of eyelid
628,11,Escherichia bacteraemia
629,11,Escherichia infection
630,11,Exercise lack of
631,11,Exomphalos
632,11,Exposure to SARS-CoV-2
633,11,Exposure to fungus
634,11,Exposure to toxic agent
635,11,Exposure via body fluid
636,7,Exposure via breast milk
637,11,Exposure via direct contact
638,11,Exposure via father
639,5,External ear cellulitis
640,11,Extradural haematoma
641,7,Extradural neoplasm
642,11,Extranodal marginal zone B-cell lymphoma (MALT type)
643,11,Extraocular muscle paresis
644,11,Extrasystoles
645,11,Eye abscess
646,11,Eye allergy
647,11,Eye burns
648,11,Eye complication associated with device
649,11,Eye discharge
650,11,Eye disorder
651,11,Eye haemorrhage
652,7,Eye injury
653,11,Eye movement disorder
654,11,Eye symptom
655,11,Eye ulcer
656,11,Eyelid cyst
657,11,Eyelid disorder
658,11,Eyelid irritation
659,11,Eyelid operation
660,11,Eyelid pain
661,11,Eyelid rash
662,11,Eyelid skin dryness
663,11,Eyelids pruritus
664,11,Face injury
665,11,Facial nerve disorder
666,11,Facial pain
667,11,Facial spasm
668,11,Faecal calprotectin increased
669,11,Faeces hard
670,11,Faeces pale
671,11,Failure to thrive
672,11,Fall
673,11,Fallopian tube cyst
674,11,Fallopian tube operation
675,11,Fallot's tetralogy
676,11,Family stress
677,11,Fanconi syndrome acquired
678,11,Fatigue
679,11,Fear of falling
680,11,Fear of injection
681,11,Feeling cold
682,7,Feeling drunk
683,11,Feeling jittery
684,11,Feeling of body temperature change
685,11,Feelings of worthlessness
686,11,Female genital operation
687,11,Female genital tract fistula
688,10,Female orgasmic disorder
689,7,Fibromuscular dysplasia
690,11,Finger amputation
691,11,Fishbane reaction
692,11,Flank pain
693,11,Flat affect
694,11,Flatulence
695,11,Fluid intake reduced
696,11,Fluid retention
697,11,Flushing
698,11,Foaming at mouth
699,11,Focal segmental glomerulosclerosis
700,11,Foetal exposure during pregnancy
701,11,Foetal heart rate deceleration abnormality
702,11,Follicular thyroid cancer
703,11,Food aversion
704,11,Food poisoning
705,11,Food refusal
706,11,Foot amputation
707,11,Foot deformity
708,11,Foot fracture
709,5,Forced expiratory volume decreased
710,11,Forearm fracture
711,11,Foreign body
712,11,Foreign body aspiration
713,11,Foreign body in reproductive tract
714,11,Fracture pain
715,11,Frustration
716,11,Frustration tolerance decreased
717,11,Full blood count increased
718,11,Fumbling
719,11,Fungal foot infection
720,11,Fungal test positive
721,11,Furuncle
722,7,Gallbladder necrosis
723,11,Gangrene
724,6,Gastric cancer stage IV
725,11,Gastric disorder
726,11,Gastric haemorrhage
727,11,Gastric infection
728,11,Gastric operation
729,11,Gastric perforation
730,11,Gastric polyps
731,11,Gastritis erosive
732,11,Gastritis haemorrhagic
733,11,Gastroduodenal ulcer
734,11,Gastrointestinal arteriovenous malformation
735,11,Gastrointestinal disorder
736,11,Gastrointestinal haemorrhage
737,11,Gastrointestinal inflammation
738,11,Gastrointestinal lymphoma
739,11,Gastrointestinal malformation
740,11,Gastrointestinal oedema
741,11,Gastrointestinal pain
742,11,Gastrointestinal scarring
743,8,Gastrointestinal sounds abnormal
744,11,Gastrointestinal stoma complication
745,11,Gastrointestinal stromal tumour
746,11,Gastrointestinal surgery
747,8,Gastrointestinal tract irritation
748,11,Gastrointestinal ulcer haemorrhage
749,6,Gastrostomy
750,11,General physical health deterioration
751,11,Generalised tonic-clonic seizure
752,11,Genital discomfort
753,11,Genital herpes
754,11,Genital hypoaesthesia
755,8,Genito-pelvic pain/penetration disorder
756,11,Gestational diabetes
757,11,Gingival bleeding
758,11,Gingival blister
759,10,Gingival disorder
760,11,Gingival graft
761,11,Gingival operation
762,11,Gingival pain
763,11,Gingival recession
764,11,Gingival swelling
765,5,Glassy eyes
766,8,Glaucomatous optic disc atrophy
767,11,Glioblastoma
768,11,Glioblastoma multiforme
769,11,Glioma
770,8,Glomerular filtration rate abnormal
771,5,Glomerulonephritis minimal lesion
772,11,Glomerulonephropathy
773,14,Glomerulosclerosis
774,11,Glossodynia
775,11,Glucose tolerance impaired
776,7,Glucose urine present
777,11,Gluten sensitivity
778,10,Glycosuria
779,11,Glycosylated haemoglobin abnormal
780,11,Granulocyte count increased
781,10,Granulocytopenia
782,8,Graves' disease
783,11,Grimacing
784,8,Grunting
785,11,Gun shot wound
786,11,Guttate psoriasis
787,11,HLA-B*5701 assay positive
788,11,Haemangioma congenital
789,11,Haematocrit decreased
790,11,Haematological infection
791,11,Haematuria
792,11,Haemochromatosis
793,11,Haemodialysis
794,11,Haemodynamic instability
795,11,Haemoglobinaemia
796,11,Haemoperitoneum
797,11,Haemophagocytic lymphohistiocytosis
798,11,Haemorrhage in pregnancy
799,11,Haemorrhage urinary tract
800,11,Haemorrhagic arteriovenous malformation
801,11,Haemorrhagic disorder
802,10,Haemorrhagic ovarian cyst
803,11,Haemorrhagic transformation stroke
804,11,Haemorrhoids
805,11,Haemorrhoids thrombosed
806,11,Hair disorder
807,11,Hair injury
808,11,Hair texture abnormal
809,11,Hallucination
810,11,"Hallucination, olfactory"
811,11,"Hallucination, visual"
812,7,Halo vision
813,11,Hand fracture
814,8,Hanging
815,11,Hearing impaired
816,11,Heart disease congenital
817,8,Heart injury
818,11,Heart rate abnormal
819,11,Heart rate increased
820,11,Heart rate irregular
821,11,Heart sounds abnormal
822,8,Heat exhaustion
823,11,Hemianaesthesia
824,11,Hemiparesis
825,11,Hemiplegia
826,4,Heparin-induced thrombocytopenia
827,8,Hepatic adenoma
828,11,Hepatic cancer
829,11,Hepatic cyst
830,11,Hepatic fibrosis
831,11,Hepatic haematoma
832,11,Hepatic lesion
833,11,Hepatic mass
834,10,Hepatic vascular thrombosis
835,11,Hepatitis D
836,11,Hepatitis E
837,11,Hepatitis acute
838,11,Hepatitis toxic
839,11,Hepatitis viral
840,11,Hepatomegaly
841,11,Herbal interaction
842,11,Hernia repair
843,8,Herpes dermatitis
844,11,Herpes ophthalmic
845,10,Hiccups
846,11,Hidradenitis
847,7,High density lipoprotein decreased
848,11,High density lipoprotein increased
849,11,Histamine intolerance
850,11,Hodgkin's disease
851,11,Hodgkin's disease nodular sclerosis
852,11,Hordeolum
853,11,Hormone receptor positive breast cancer
854,11,Hospice care
855,11,Hostility
856,11,Huerthle cell carcinoma
857,11,Human chorionic gonadotropin increased
858,11,Human papilloma virus test positive
859,11,Hyperacusis
860,11,Hyperammonaemia
861,11,Hyperbilirubinaemia neonatal
862,11,Hypercapnia
863,11,Hypercapnic coma
864,11,Hyperglycaemia
865,11,Hyperkalaemia
866,11,Hyperkeratosis
867,11,Hypermetabolism
868,11,Hyperparathyroidism
869,11,Hyperphagia
870,11,Hyperpyrexia
871,11,Hyperreflexia
872,11,Hypersensitivity
873,11,Hypersexuality
874,11,Hypersomnia
875,11,Hypertensive encephalopathy
876,11,Hypertensive nephropathy
877,11,Hypertensive urgency
878,11,Hyperthyroidism
879,11,Hypertransaminasaemia
880,11,Hypertrichosis
881,11,Hypervigilance
882,11,Hypervolaemia
883,11,Hypoacusis
884,11,Hypoaesthesia
885,11,Hypoaesthesia eye
886,11,Hypoaesthesia oral
887,11,Hypoglycaemia neonatal
888,11,Hypokinesia
889,11,Hypomenorrhoea
890,11,Hyponatraemic encephalopathy
891,11,Hypoparathyroidism
892,11,Hypoperfusion
893,11,Hypopnoea
894,8,Hyporeflexia
895,11,Hypovitaminosis
896,11,Idiopathic pancreatitis
897,11,Ill-defined disorder
898,11,Immune effector cell-associated neurotoxicity syndrome
899,11,Immune thrombocytopenic purpura
900,11,Immune-mediated enterocolitis
901,11,Immune-mediated hepatitis
902,11,Immune-mediated hypothyroidism
903,11,Immunisation reaction
904,10,Immunoglobulins decreased
905,11,Immunosuppressant drug level increased
906,11,Impaired healing
907,8,Impetigo
908,11,Implant site bruising
909,11,Implant site cellulitis
910,11,Implant site erythema
911,11,Implant site haemorrhage
912,11,Implant site hypoaesthesia
913,11,Implant site infection
914,11,Implant site pruritus
915,11,Implantable defibrillator insertion
916,11,Imprisonment
917,11,Impulse-control disorder
918,11,Inadequate analgesia
919,7,Inadequate diet
920,11,Inappropriate schedule of drug administration
921,10,Inappropriate schedule of product discontinuation
922,13,Incision site dermatitis
923,11,Incision site haemorrhage
924,11,Incision site infection
925,11,Incision site swelling
926,11,Incisional hernia
927,11,Incontinence
928,11,Incorrect disposal of product
929,11,Incorrect dose administered
930,11,Incorrect dose administered by product
931,7,Incorrect drug administration rate
932,11,Incorrect drug dosage form administered
933,8,Incorrect product formulation administered
934,11,Incorrect route of drug administration
935,11,Increased tendency to bruise
936,11,Increased upper airway secretion
937,11,Infantile haemangioma
938,11,Infantile spasms
939,11,Infected cyst
940,11,Infected dermal cyst
941,11,Infected skin ulcer
942,11,Infection
943,8,Infection susceptibility increased
944,8,Infective exacerbation of chronic obstructive airways disease
945,7,Infective myositis
946,11,Infective pulmonary exacerbation of cystic fibrosis
947,11,Infertility male
948,11,Inflammatory bowel disease
949,7,Inflammatory pain
950,11,Influenza
951,11,Influenza like illness
952,11,Infrequent bowel movements
953,7,Infusion
954,11,Infusion related hypersensitivity reaction
955,11,Infusion related reaction
956,11,Infusion site bruising
957,11,Infusion site discolouration
958,11,Infusion site irritation
959,11,Infusion site oedema
960,8,Infusion site reaction
961,11,Infusion site swelling
962,11,Infusion site urticaria
963,11,Initial insomnia
964,11,Injection related reaction
965,11,Injection site atrophy
966,11,Injection site cyst
967,11,Injection site discomfort
968,11,Injection site dryness
969,11,Injection site erythema
970,11,Injection site extravasation
971,7,Injection site hyperaesthesia
972,11,Injection site hypersensitivity
973,11,Injection site indentation
974,11,Injection site induration
975,11,Injection site inflammation
976,11,Injection site necrosis
977,11,Injection site nodule
978,11,Injection site pruritus
979,11,Injection site rash
980,11,Injection site reaction
981,11,Injection site ulcer
982,11,Injection site urticaria
983,11,Injection site vesicles
984,11,Injury
985,11,Instillation site erythema
986,11,Instillation site lacrimation
987,11,Instillation site pain
988,11,Insulin resistance
989,11,Insulin-like growth factor increased
990,11,Intensive care
991,11,Intentional self-injury
992,11,Intentional underdose
993,11,Intercepted drug dispensing error
994,7,Intercepted product dispensing error
995,11,Intercepted product selection error
996,11,Intercepted product storage error
997,11,Intermenstrual bleeding
998,11,Intermittent claudication
999,11,International normalised ratio fluctuation
1000,11,International normalised ratio increased
1001,11,Intervertebral disc disorder
1002,11,Intervertebral disc injury
1003,11,Intervertebral disc operation
1004,11,Intestinal fistula
1005,11,Intestinal ischaemia
1006,7,Intestinal mass
1007,11,Intestinal polyp
1008,11,Intestinal ulcer
