pt,mean_mae_xgboost,std_mae_xgboost,z_mae_xgboost
Colorectal cancer,0.013763817733145741,0.045522898958776786,"[-0.20900077  0.07611737 -0.28666169 -0.15264432 -0.30053862 -0.19958937
 -0.24837363 -0.2093772  -0.19996043 -0.16081398 -0.23125223 -0.15984582
 -0.14907732 -0.25591349 -0.22230795 -0.26195963 -0.27182727 -0.15180708
 -0.27879139 -0.13454346 -0.28799695 -0.20450851 -0.22577452  5.17196493
 -0.03566509  0.09700042 -0.28404433 -0.22280767]"
Peritoneal dialysis complication,0.014492119661293254,0.022887519549301842,"[-0.61044266 -0.49500024 -0.4740492  -0.47944168  2.17088428  0.06264305
 -0.42360396 -0.63106466 -0.41092232  0.47455792 -0.58078982  2.68936773
 -0.2331847  -0.29620854  1.207441   -0.49167005 -0.19034097 -0.4720937
 -0.63152382 -0.46648709 -0.62325348 -0.62981323  0.42490926 -0.52902271
 -0.39895422  3.00609333 -0.62926763 -0.33876186]"
Hepatic cancer stage III,0.01458136572611249,0.04174846904443897,"[ 0.16197031  0.56432655 -0.34868973 -0.34926708  0.09052765 -0.34834895
 -0.33357838 -0.2316366  -0.34239626 -0.26631046  4.92592835 -0.34868973
 -0.06073321 -0.34882713 -0.13271546 -0.33903313 -0.3179466  -0.3271532
  1.08264854 -0.22193745 -0.06785408 -0.34834895 -0.34834895 -0.34868973
 -0.34868973 -0.34868973 -0.34882713 -0.34868973]"
Prostate cancer stage II,0.014996593376498871,0.024877425827541346,"[-0.54718477  3.55413926 -0.19552032  0.05848137 -0.03577527 -0.6014725
 -0.21509307 -0.17360816 -0.52098311 -0.60033618 -0.56593081 -0.4565645
  3.22612561 -0.57008578 -0.52451108 -0.24869142 -0.6022372   0.66319943
 -0.41392022 -0.47947232 -0.60059084 -0.04195172 -0.10640726 -0.14871891
 -0.19166062  0.78734335 -0.23597901 -0.21259392]"
Polyomavirus-associated nephropathy,0.015860153994189243,0.05237683569994922,"[-0.30197476 -0.30197476 -0.30197476 -0.30197476  0.03273989 -0.30197476
 -0.30197476 -0.30175062 -0.30197476  0.0363004  -0.16869616  4.80140967
 -0.30207602 -0.30197476  1.73864128 -0.28700505 -0.30197476 -0.08418958
 -0.30197476 -0.30197476 -0.27497795 -0.28412075 -0.30197476 -0.07457773
 -0.30197476 -0.30197476 -0.30207602 -0.30197476]"
Ultrafiltration failure,0.017123948064504884,0.03952760092415539,"[ 0.07574402 -0.43009313 -0.43274941  0.47817641 -0.09437316 -0.43274941
 -0.05699628 -0.3901804  -0.36977406 -0.33500895 -0.36116545 -0.41604853
  1.45114577  1.05440136 -0.43304931 -0.43246434 -0.2369299  -0.17292289
 -0.43304931 -0.39917871 -0.4331445  -0.43285729 -0.43274941  4.64712442
 -0.14007947 -0.29323317 -0.43274995 -0.11504495]"
Occupational exposure to product,0.017226137867608675,0.029723404074878307,"[ 0.16850989 -0.57739065 -0.57912241 -0.43147052 -0.49406942 -0.56471528
 -0.55882094 -0.36410416 -0.43401581 -0.38422311 -0.56515179  2.84124842
  3.37135247 -0.57912241  0.3994886  -0.55226121 -0.57912241  1.24185925
 -0.57912241  0.09945728 -0.57719074 -0.57250654 -0.57912241  1.31861425
 -0.2312758  -0.31341753 -0.18825998  0.26395539]"
Pancreatic carcinoma stage IV,0.017389889432005406,0.020000764405515358,"[ 0.61912789  1.54237624 -0.85015124 -0.68946451  0.97776679 -0.70023159
  0.0479193  -0.58875374 -0.02242062 -0.12450127  3.43058756 -0.79630142
 -0.39821238 -0.27458441 -0.61729762 -0.75334939 -0.82826958 -0.82494183
  0.25157304  0.68134913 -0.59791751 -0.64839855  0.54573242 -0.62004943
 -0.67128384  1.72276731 -0.86894119  1.05587045]"
Device adhesion issue,0.017990799772742472,0.020466827849211857,"[ 0.1908982  -0.55822715 -0.59599996 -0.75916921  1.01830266  0.00788711
 -0.42278351 -0.24136634 -0.19996935 -0.02981468  0.02454035 -0.841673
  4.3247011  -0.6212476  -0.69903134 -0.26604671 -0.24197218  1.09412452
 -0.73218311  0.88915374  0.98723881 -0.63108106 -0.2590658   0.08330978
 -0.75712634  0.13022917 -0.56781783 -0.32581025]"
Intercepted product administration error,0.018394959950701877,0.023442009889332607,"[-0.06633062 -0.45532928  0.02686533 -0.49287443 -0.04356777  0.48878881
 -0.59940876 -0.5995138  -0.56285615  0.22017169 -0.73129029  2.41301807
  0.12553377 -0.62506446  0.22858013 -0.69080504  0.33561647  0.68865652
 -0.29559308 -0.72396621 -0.69185893 -0.68919343  1.00762235 -0.69104412
 -0.74437947  3.80515837 -0.16781101 -0.46912466]"
Intercepted medication error,0.018947383826291186,0.02561418936536074,"[-0.58547668 -0.39553714 -0.67957738 -0.46537233 -0.39939155  0.31747348
 -0.60668358 -0.72662759 -0.06722346 -0.0812009   1.0193713   3.6507683
  0.36619476 -0.44067317  0.70834945 -0.71777308 -0.17142733  0.61006659
 -0.42359856 -0.64466447 -0.65526609 -0.53213651  0.50863702 -0.48836605
 -0.53546732  2.59980505 -0.50248157 -0.6617212 ]"
Intercepted product storage error,0.019604114121249055,0.03438747727238581,"[ 1.10163807 -0.55464265 -0.56681619 -0.44693261  2.74543198 -0.56681619
  1.08108399 -0.54537444 -0.53712335  0.40858639 -0.25928959 -0.44677231
 -0.14231285 -0.2577761  -0.56762376 -0.55346694 -0.49464663 -0.49662021
 -0.56348548 -0.50573387 -0.56954639 -0.55321798 -0.53716975  0.15158389
 -0.33102077  1.21931269 -0.56827083  3.35702189]"
Diabetic retinal oedema,0.019790405194564185,0.056745473814725625,"[ 0.16242367  0.56473548 -0.34818014 -0.34818014  0.09098902 -0.34783941
 -0.33307047 -0.24491133 -0.34188737 -0.26580995  4.92585776 -0.34818014
 -0.06025532 -0.34831753 -0.1322296  -0.33852461 -0.31744041 -0.32664601
  1.0830006  -0.22144177 -0.06737546 -0.34783941 -0.34783941 -0.34818014
 -0.34818014 -0.34818014 -0.34831753 -0.34818014]"
Detachment of retinal pigment epithelium,0.020271773409807597,0.036889962456926086,"[ 0.81272842  1.8853029  -0.5479816  -0.47433283  0.62236186 -0.54707362
 -0.50771577 -0.27278016 -0.53088835 -0.32832247  2.75963686 -0.5479816
  0.21931053 -0.54834775  0.06410013 -0.52289298 -0.4660632  -0.49059523
  3.26597808 -0.21023617  0.20021434 -0.54707362 -0.54707362 -0.5479816
 -0.5479816  -0.5479816  -0.54834775 -0.5479816 ]"
Skin hypopigmentation,0.020751883643565776,0.05950234000301523,"[ 0.16242392  0.56473566 -0.34818015 -0.34818015  0.09098874 -0.34783942
 -0.33307047 -0.24491138 -0.34188739 -0.26580997  4.92585765 -0.34818015
 -0.06025522 -0.34831754 -0.13222971 -0.33852461 -0.31744044 -0.32664601
  1.08300089 -0.22144181 -0.06737545 -0.34783942 -0.34783942 -0.34818015
 -0.34818015 -0.34818015 -0.34831754 -0.34818015]"
Breast cancer stage I,0.020835590039629124,0.01847677140002532,"[-0.7633878   0.00720728 -0.67082318 -0.47852731 -0.78067699 -0.3701373
  0.54332346 -0.65255418  0.080791    0.19208092  2.09043054  1.00011994
 -1.09704859 -0.78697955 -0.23978743 -0.5934033  -0.31401214 -0.41181586
 -0.30101999 -0.5190253   0.08138399  0.06664997 -0.47634115  0.38317753
 -0.01601804  0.79818706 -0.70577442  3.93398083]"
Immune-mediated hepatic disorder,0.02238333354588448,0.046102946320905065,"[-0.31288779 -0.2239616  -0.48328663 -0.48328663 -0.35282401 -0.48535452
 -0.43671292  0.43788972 -0.4654119  -0.3192482  -0.08635624 -0.48328663
 -0.087173    0.99180167  0.9046159  -0.30180709 -0.18190471  4.57328359
  0.0290235  -0.4396019  -0.25427345 -0.48535452 -0.3991257  -0.48457846
 -0.48536159 -0.48328663  1.28175634 -0.48328663]"
Viral mutation identified,0.023239858754583842,0.06665548101827312,"[ 0.16250928  0.56480889 -0.34807911 -0.34807911  0.09107638 -0.3477384
 -0.33296986 -0.24481348 -0.34431487 -0.26571139  4.92579521 -0.34807911
 -0.06016325 -0.3482165  -0.13213533 -0.33842388 -0.31734031 -0.3265456
  1.08305778 -0.22134459 -0.06728302 -0.3477384  -0.3477384  -0.34807911
 -0.34807911 -0.34807911 -0.3482165  -0.34807911]"
Virologic failure,0.023669289573490022,0.024566805009376472,"[ 1.83157958  1.80997542 -0.8710514  -0.41949563 -0.44773938 -0.95436414
  1.60211613  1.43056141 -0.08343894 -0.79070988 -0.55270454  2.29945062
  1.11779225 -0.63188102 -0.18453254 -0.44869531 -0.65650656  0.31271616
 -0.67478976 -0.69906165 -0.60783791 -0.78005125 -0.89600923  0.44478451
  1.157719   -0.66340831 -0.91405146 -0.73036618]"
Bile duct cancer,0.02400666245244387,0.048229545017981386,"[-0.23289281 -0.00893452 -0.49546248 -0.49551667 -0.01139529 -0.49679855
 -0.49165417 -0.46380497 -0.48901872 -0.17208095  2.31601648  4.04429046
 -0.33780886 -0.49697932  1.27515122 -0.47302589 -0.46971909  0.66410431
  0.25341247 -0.42758823 -0.32596239 -0.4816939  -0.49594998  0.28811539
 -0.48471068 -0.49679034 -0.49670792 -0.4965946 ]"
Pancreatic carcinoma stage III,0.024021830491348237,0.04008705801320215,"[-2.50925569e-01  1.50232076e-01 -5.96809638e-01 -5.92601787e-01
  2.38698137e-01 -5.95511989e-01  1.46757351e+00 -5.27087125e-01
 -5.91630311e-01 -2.05837629e-01  2.47504705e+00  5.04601069e-01
  4.55459778e-01 -3.77176921e-01 -4.76818779e-01 -5.89679798e-01
 -4.91925363e-01 -5.80340908e-01 -7.52895647e-02  4.49779165e-04
 -2.31902705e-01 -4.65815332e-01 -4.87616095e-01 -4.23307861e-01
 -5.80323094e-01 -3.70195113e-01 -5.97454482e-01  3.81618867e+00]"
Device mechanical issue,0.024491301398364168,0.027470035257910308,"[-0.28401907  3.7996038  -0.6898915  -0.69154668 -0.15480021 -0.88620222
  0.06863074 -0.40889801 -0.75052526 -0.51135577 -0.80712954  0.0754958
  1.46613924 -0.6200416  -0.34234383 -0.61342409 -0.86213488  0.31293456
  0.80930809 -0.52857986 -0.51719811  0.34658681 -0.74275321  1.55882975
  0.92764266 -0.2360823  -0.54349046  0.82524519]"
Ocular toxicity,0.02615186299818981,0.07498523483213962,"[ 0.16242025  0.56482521 -0.34818288 -0.34818288  0.09098541 -0.34784216
 -0.3330732  -0.24491422 -0.34189014 -0.26581278  4.92584485 -0.34818288
 -0.06025869 -0.34832027 -0.13223262 -0.33852738 -0.3174432  -0.32664878
  1.08299579 -0.22144475 -0.0673786  -0.34784216 -0.34784216 -0.34818288
 -0.34818288 -0.34818288 -0.34832027 -0.34818288]"
Lung carcinoma cell type unspecified stage I,0.027062978151104405,0.048275925041995384,"[ 0.1476977   0.33206637 -0.55764903 -0.2513664  -0.27790804 -0.55764903
 -0.13769072 -0.50761398 -0.55934129 -0.5053635   4.21168991 -0.55670692
  0.40418175 -0.12317656 -0.35586375 -0.54581825 -0.37076615  1.16365337
  0.75303555 -0.54631832 -0.52258803 -0.37207353 -0.55764903  1.94323245
 -0.43424728 -0.46433879 -0.55884551 -0.19258301]"
Factor VIII inhibition,0.027068331456969345,0.05034678387440159,"[ 0.55855851  0.35551811 -0.48385715 -0.53469911  3.90314979 -0.53469911
 -0.40126225 -0.43172855  0.06241067  0.74125035  2.69611474 -0.53469911
 -0.18022788 -0.31817688 -0.48384256 -0.42296028  0.02874829 -0.25995359
  0.06073496 -0.53690253 -0.49619461 -0.53469911 -0.53690253 -0.53634047
 -0.53747503  0.43108247 -0.537187   -0.53576014]"
Arteriovenous fistula site complication,0.027074384454331746,0.0471254068268802,"[-0.39373988 -0.53203252 -0.56508691 -0.48480541 -0.38297535 -0.56881427
 -0.01232547 -0.57307859 -0.53037941 -0.56864972 -0.26751954  0.38781303
  3.7647625  -0.57330799 -0.54053244 -0.5726579  -0.49513034  0.82348491
 -0.5507219   0.61976645 -0.22717527 -0.55941389 -0.43809209  0.42557746
 -0.55021848 -0.33876841  1.2888825   2.41513893]"
Hepatitis B reactivation,0.02800917783044366,0.05704740272057972,"[-0.48950696 -0.48775347 -0.48950696 -0.48779539  0.72184508 -0.24785161
  1.39058453 -0.48950696 -0.42911588 -0.48965471 -0.48965471  0.7453593
  0.899734   -0.37251062 -0.36835728 -0.49078741 -0.48593558 -0.48965471
 -0.49043784 -0.24660268 -0.44579119 -0.44813251  0.08976312 -0.13081611
 -0.44233773  0.72949812 -0.48950696  4.42443312]"
Renal cancer,0.028186638962796686,0.04833808647399653,"[-2.14266448e-01  1.49282976e-02 -4.63651329e-01 -3.67646802e-01
 -3.18415824e-01 -3.99130296e-01  4.78694833e+00 -1.76128570e-01
 -5.10480756e-02 -2.58772212e-01 -4.89461475e-01 -5.03599321e-01
 -3.52689583e-01 -7.66452817e-03 -2.36118946e-01 -4.51270300e-03
 -2.25140118e-01 -4.78542443e-01 -3.09419477e-01  2.44183130e-01
  1.51354234e-02 -1.23873336e-02 -3.22288345e-01 -1.77682320e-01
 -2.06706599e-01 -5.69658317e-01 -4.89831161e-01  1.57356704e+00]"
Haematological malignancy,0.028618404279113076,0.11116742849866838,"[-2.12081508e-01 -2.56859798e-01 -2.57332505e-01 -2.02228948e-01
 -2.31613307e-01 -2.56810208e-01 -2.37810044e-01 -2.55524297e-01
 -2.57310998e-01 -2.50405440e-01  5.15387332e+00 -2.20383196e-01
  2.94103829e-01 -2.20418831e-01 -2.57332505e-01 -2.56818691e-01
 -2.34687771e-01  1.42103445e-01 -2.57332505e-01 -1.18919060e-01
 -2.57332505e-01 -2.43391440e-01 -2.57332505e-01 -2.50758634e-03
 -2.46849254e-01 -2.09644724e-01 -2.46598285e-01 -1.42554684e-01]"
Gastric cancer stage IV,0.029454448359596683,0.04187464816491835,"[-0.57946886 -0.61757355 -0.69278383 -0.56637451 -0.30137209 -0.6968664
  0.6379945  -0.12913862 -0.2315117  -0.42044289  0.14824091 -0.17447433
  0.96457795  0.42525965  0.42430605 -0.6073198  -0.50112837  1.66983342
 -0.21259014 -0.63399972 -0.48637285 -0.63981694 -0.60400886  0.47387368
 -0.61220949 -0.6419496   0.37578097  4.22953541]"
Retinal vascular occlusion,0.029975230937962456,0.08594798772625478,"[ 0.16241997  0.5648251  -0.34818284 -0.34818284  0.09098526 -0.34784211
 -0.33307319 -0.24491428 -0.3418901  -0.26581277  4.92584494 -0.34818284
 -0.06025855 -0.34832023 -0.13223262 -0.33852734 -0.31744319 -0.32664874
  1.08299569 -0.22144475 -0.06737874 -0.34784211 -0.34784211 -0.34818284
 -0.34818284 -0.34818284 -0.34832023 -0.34818284]"
Transplant,0.03073703856971435,0.04672650732588822,"[ 1.05011713 -0.54553201 -0.65692487 -0.48569332  3.99302095 -0.55061191
 -0.40778556 -0.64143431 -0.56467228  0.36192446  0.33463221 -0.3518246
  1.98111555 -0.20427864 -0.65239989 -0.45923325  0.20351252  0.58088027
 -0.65750432 -0.38974691 -0.6577989  -0.5916941  -0.65692487  0.77990287
 -0.59705357  0.55023414 -0.58398613 -0.18024067]"
Hepatic cancer stage IV,0.03100083824520214,0.12200408687011237,"[-0.23390334 -0.21562271 -0.25395431 -0.14443611  5.16655161 -0.14993787
 -0.23547758 -0.24158859 -0.2539939  -0.23076215 -0.25080918 -0.25397496
 -0.15017953 -0.13859414 -0.25402127 -0.2459692  -0.23635523 -0.24126278
 -0.25402127 -0.2397901  -0.25402597 -0.24198632 -0.03230856  0.03610414
 -0.18985575  0.23141337 -0.25401332 -0.23722499]"
Abortion incomplete,0.03159113513527422,0.04910090086746534,"[-0.29539525  0.10539558 -0.64096249 -0.6428851   0.19378053 -0.63966602
  1.42153128 -0.5713038  -0.63578789 -0.25034863  2.42808211  0.45943991
  0.41034369 -0.421531   -0.52108144  0.62386461 -0.53617422 -0.62450881
 -0.11991977 -0.04425012 -0.27638952 -0.51008806 -0.53186893 -0.46761962
 -0.62449105 -0.41455526 -0.64160675  3.76799601]"
Device use error,0.031616359849946575,0.0201029174650875,"[ 0.53533344  0.35520079 -0.37304461 -1.5660515   0.34102836 -0.13474708
  0.03576928 -0.65119251 -0.4122022   0.53464454 -0.85798702  1.06644643
 -0.7063294   3.92737561 -0.33276116 -0.383064    0.32784561 -1.46140855
  0.16262869 -0.86604608  1.02880624  0.22186036 -0.17265159 -0.17251069
  0.45214681  0.54309954 -1.03705814 -0.4051312 ]"
Hepatic cancer,0.03163514657207388,0.02117342287727138,"[-0.55778655  1.0172425  -0.80169297 -0.83938071 -0.88026917 -0.3234669
 -0.6506628  -0.97299682 -0.17459383  0.94680797 -0.43832097  2.35083782
  0.01713915 -1.01549565  0.13550458 -0.87861204 -0.20491274 -0.51687345
 -0.33576576 -0.04591763  0.24638648  0.08595655  0.02170172 -0.32407568
  0.61297475  3.25298317 -1.08755455  1.36084355]"
Wrong technique in device usage process,0.031684656477836144,0.023636035752538823,"[-0.15119748  1.40361744 -0.76590408 -0.82662689  0.8766817   0.57863931
 -0.1675893  -0.51787662  0.00604323  0.54612392 -1.32406003  0.1070198
 -1.2647546  -1.13733028 -0.44983344 -0.22303183 -0.09441124 -1.22639229
 -0.72868567 -0.61470029  2.91637662  1.20088699 -0.28061889  0.26045284
 -0.08501221  2.18063531 -0.75237932  0.53392728]"
Immune-mediated adverse reaction,0.03219175682213514,0.06153302277496262,"[ 1.32878162  3.14644243 -0.50736682 -0.50031999  0.65787641 -0.51663525
 -0.20040038 -0.34421405  0.48769616 -0.51793439  3.38223416 -0.52261362
 -0.42272416 -0.51963981 -0.42738605 -0.318695   -0.52221953 -0.39940004
 -0.06206922  0.21427722 -0.29184369 -0.43333572 -0.33669271 -0.47060621
 -0.50919439 -0.52185378 -0.52189505 -0.35026815]"
Birth mark,0.032968556449790166,0.108875917081204,"[-0.30197473 -0.30197473 -0.30197473 -0.30197473  0.03274004 -0.30197473
 -0.30197473 -0.30175059 -0.30197473  0.03630024 -0.16869619  4.80140994
 -0.30207599 -0.30197473  1.73864061 -0.28700505 -0.30197473 -0.0841896
 -0.30197473 -0.30197473 -0.27497795 -0.28412074 -0.30197473 -0.07457777
 -0.30197473 -0.30197473 -0.30207599 -0.30197473]"
Oesophageal carcinoma,0.03310192975604607,0.03266036035789096,"[-0.5562911  -0.67697102 -0.2876708  -0.6154024  -0.51378123 -0.83354728
  0.20843025 -0.43582554 -0.0103832  -0.41353843 -0.69070476 -0.96078293
  1.13167084  0.70617854  1.02428548 -0.83861707 -0.08576583  0.15994699
 -0.35523332  4.01383299 -0.99255217  1.04936807  0.19482932  0.07512847
  1.07333696 -0.02111039 -0.75633336 -0.59249706]"
Appendix cancer,0.033358174569411474,0.056615910565217566,"[-0.37968308 -0.5863026   0.10050017 -0.25628037 -0.46261338 -0.58694149
 -0.43600244  0.46668778  0.1430278  -0.58816941 -0.25761205 -0.58545184
  0.10797761 -0.0431163  -0.58834168  0.82296022  0.71239296 -0.46335956
 -0.58834168 -0.57665007  4.38085409 -0.58821836  1.03660559  1.25974577
 -0.48193576 -0.53701057 -0.58824562 -0.43647572]"
Blood parathyroid hormone abnormal,0.03417919146422143,0.08544994052659441,"[-0.3850449  -0.39079845 -0.3894873   0.11526419 -0.20317047 -0.38847239
 -0.39920446 -0.33166619 -0.39721416 -0.3486699  -0.28050721 -0.39960345
  3.51344421 -0.38635876 -0.39499723 -0.3902421   0.3306206  -0.15573287
 -0.28016638 -0.29804681 -0.27570938  0.2763775  -0.33505681 -0.35675614
 -0.399428    3.56496738 -0.34468578 -0.26965474]"
Myelosuppression,0.034776081161784225,0.0573198376606385,"[-0.4677729  -0.55387333 -0.58830096 -0.31667168 -0.45416642 -0.47785811
 -0.42710135 -0.49492221 -0.54721303 -0.09529304 -0.47863203  0.71471166
  0.22285877  0.31394465 -0.44365738 -0.21781644  4.63161247  0.06651932
  0.15682118 -0.57368082  1.46750719 -0.56231446 -0.34937427 -0.51422674
 -0.03476801  0.1193421  -0.18724902  0.09157487]"
Bloody peritoneal effluent,0.03581717761554485,0.07166724360085794,"[-0.49660883 -0.49146593 -0.46749162 -0.49622391 -0.27256866  0.34425718
 -0.49781974 -0.46755215 -0.01381729 -0.24450422 -0.48320475  3.01872054
 -0.18727947 -0.29749506  0.85193142 -0.48799768 -0.14912091 -0.36551901
 -0.49525943 -0.45754616 -0.48993336 -0.4299452   1.29944327 -0.40063985
 -0.34407733  3.5203336  -0.49926711 -0.49934834]"
Fungal peritonitis,0.03617729311046714,0.07880103003187783,"[-0.44739624 -0.40386135 -0.4590963  -0.4590963  -0.15058451 -0.45760651
  0.48315248 -0.30676551 -0.41606532 -0.17229007 -0.34857072  3.06420978
  0.10903498 -0.45827284  0.794003   -0.45696402 -0.45758139 -0.3226956
 -0.43570113 -0.37834843 -0.32715057 -0.21252722 -0.35645484  0.05737453
 -0.37632094 -0.44084206 -0.45898372  3.79540083]"
Nasal cavity cancer,0.03625994350388691,0.10247976539963412,"[ 0.15799366  0.56096099 -0.35324745 -0.35324745  0.08642539 -0.35290633
 -0.33812043 -0.24986008 -0.34677104 -0.27067259  4.92684448 -0.35324745
 -0.06499209 -0.353385   -0.12348031 -0.34404916 -0.20505831 -0.33168858
  1.0795761  -0.22654768 -0.07233923 -0.35290633 -0.35290633 -0.35324745
 -0.35324745 -0.35324745 -0.353385   -0.35324745]"
Atypical haemolytic uraemic syndrome,0.03633269844233322,0.11998570763840882,"[-0.30197475 -0.30197475 -0.30197475 -0.30197475  0.03274003 -0.30197475
 -0.30197475 -0.30175061 -0.30197475  0.03630034 -0.16869619  4.80140979
 -0.30207601 -0.30197475  1.73864098 -0.28700504 -0.30197475 -0.08418954
 -0.30197475 -0.30197475 -0.27497793 -0.28412073 -0.30197475 -0.07457777
 -0.30197475 -0.30197475 -0.30207601 -0.30197475]"
Incorrect disposal of product,0.03651526289394984,0.03977347670226847,"[ 0.30917504 -0.91368204 -0.7190073  -0.45788945  1.8004821  -0.82867934
  0.05693621 -0.89133198 -0.84459329  1.18513921 -0.12198348  2.27184401
  2.46201955 -0.51263276  0.42081393 -0.91501346 -0.35602118  0.90072519
 -0.90447436 -0.22826177 -0.78475782 -0.89199949 -0.82563905  0.51924518
 -0.8281082  -0.53606815  0.31422477  1.31953796]"
Gouty arthritis,0.03662980199633879,0.12240307648483019,"[ 0.40589817 -0.23968978 -0.29736537 -0.29761572  5.10197113 -0.2978088
 -0.29604501 -0.29633575  0.01504195 -0.2035416  -0.16084698 -0.29489896
 -0.28797909  0.22385305 -0.2989646  -0.01967761  0.2656402  -0.29736537
 -0.2991023  -0.2989646  -0.2991023  -0.2991023  -0.2988591  -0.21351019
 -0.29868394 -0.28509282 -0.2991023  -0.13275   ]"
Ovarian hyperstimulation syndrome,0.03680235306747894,0.06492378998069297,"[-0.16720258 -0.53978613 -0.56229057 -0.17886684 -0.27321877 -0.56438801
 -0.45717365 -0.56562271 -0.56652751 -0.55036     0.4076851   2.77341137
  0.80753127  0.42956032  0.19638413 -0.49045341 -0.29900509  0.68790043
 -0.56520404 -0.53754501 -0.25462554 -0.41969238 -0.56548661  3.7964017
 -0.17825397 -0.4145965  -0.56026286 -0.38831214]"
