index_pt,pt
157,Analgesic drug level increased
158,Anaphylactic reaction
159,Anaphylactic shock
160,Anaphylactoid reaction
161,Anaphylactoid shock
162,Anaplastic astrocytoma
163,Anaplastic large cell lymphoma T- and null-cell types
164,Anaplastic large-cell lymphoma
165,Anaplastic thyroid cancer
166,Anastomotic haemorrhage
167,Anastomotic leak
168,Anastomotic stenosis
169,Anastomotic ulcer
170,Angina bullosa haemorrhagica
171,Angina unstable
172,Angiocardiogram
173,Angioedema
174,Angiofibroma
175,Angiogram
176,Angiogram abnormal
177,Angioimmunoblastic T-cell lymphoma
178,Angiokeratoma
179,Angiolymphoid hyperplasia with eosinophilia
180,Angiopathy
181,Angiosarcoma
182,Anhidrosis
183,Anisocytosis
184,Ankle deformity
185,Ankylosing spondylitis
186,Anorectal discomfort
187,Anorectal disorder
188,Anosmia
189,Anterior chamber flare
190,Anterior chamber inflammation
191,Anterior spinal artery syndrome
192,Anti factor Xa activity decreased
193,Anti-JC virus antibody index
194,Anti-erythrocyte antibody positive
195,Anti-erythropoietin antibody positive
196,Anti-glomerular basement membrane disease
197,Anti-interferon antibody positive
198,Anti-neutrophil cytoplasmic antibody positive vasculitis
199,Anti-thyroid antibody
200,Antibiotic level below therapeutic
201,Antibiotic therapy
202,Antibody test
203,Antibody test abnormal
204,Antibody test negative
205,Antibody test positive
206,Anticipatory anxiety
207,Anticoagulation drug level abnormal
208,Anticoagulation drug level above therapeutic
209,Anticoagulation drug level below therapeutic
210,Anticoagulation drug level decreased
211,Anticoagulation drug level increased
212,Anticonvulsant drug level below therapeutic
213,Anticonvulsant drug level increased
214,Antinuclear antibody increased
215,Antiphospholipid antibodies positive
216,Antiphospholipid syndrome
217,Antisynthetase syndrome
218,Aortic aneurysm
219,Aortic aneurysm repair
220,Aortic disorder
221,Aortic intramural haematoma
222,Aortic rupture
223,Aortic valve prolapse
224,Aortic valve repair
225,Aortitis
226,Apgar score abnormal
227,Aphagia
228,Aphonia
229,Aplasia
230,Aplasia pure red cell
231,Aplastic anaemia
232,Apocrine breast carcinoma
233,Appendiceal abscess
234,Appendicitis noninfective
235,Appendix cancer
236,Application site acne
237,Application site bruise
238,Application site dermatitis
239,Application site discharge
240,Application site discomfort
241,Application site erosion
242,Application site erythema
243,Application site exfoliation
244,Application site haemorrhage
245,Application site hypersensitivity
246,Application site hypoaesthesia
247,Application site infection
248,Application site inflammation
249,Application site irritation
250,Application site laceration
251,Application site mass
252,Application site pain
253,Application site papules
254,Application site paraesthesia
255,Application site pruritus
256,Application site rash
257,Application site reaction
258,Application site scab
259,Application site scar
260,Application site swelling
261,Application site ulcer
262,Application site urticaria
263,Application site vesicles
264,Application site warmth
265,Arm amputation
266,Arrhythmic storm
267,Arterial bypass operation
268,Arterial haemorrhage
269,Arterial insufficiency
270,Arterial rupture
271,Arterial therapeutic procedure
272,Arteriovenous fistula
273,Arteriovenous fistula site complication
274,Arteriovenous fistula site infection
275,Arthralgia
276,Arthritis bacterial
277,Arthritis enteropathic
278,Arthritis infective
279,Arthritis reactive
280,Arthropathy
281,Arthropod sting
282,Arthroscopic surgery
283,Arthroscopy
284,Articular calcification
285,Artificial menopause
286,Asbestosis
287,Aspartate aminotransferase increased
288,Aspergillus infection
289,Aspiration bone marrow abnormal
290,Aspiration pleural cavity
291,Asplenia
292,Asthenia
293,Asthenopia
294,Asthenospermia
295,Asthmatic crisis
296,"Astrocytoma, low grade"
297,Asymptomatic COVID-19
298,Atelectasis
299,Atheroembolism
300,Atonic seizures
301,Atopy
302,Atrial fibrillation
303,Atrial flutter
304,Atrial septal defect repair
305,Atrial thrombosis
306,Atrioventricular dissociation
307,Atrophic glossitis
308,Atrophic vulvovaginitis
309,Atrophy
310,Atrophy of globe
311,Atypical femur fracture
312,Atypical fracture
313,Atypical haemolytic uraemic syndrome
314,Atypical mycobacterial infection
315,Atypical mycobacterium test positive
316,Auditory disorder
317,Auricular swelling
318,Autoimmune arthritis
319,Autoimmune colitis
320,Autoimmune dermatitis
321,Autoimmune disorder
322,Autoimmune enteropathy
323,Autoimmune hepatitis
324,Autoimmune hypothyroidism
325,Autoimmune lymphoproliferative syndrome
326,Autoimmune myositis
327,Autoimmune neutropenia
328,Autoimmune pancreatitis
329,Autoinflammatory disease
330,Aversion
331,Axial spondyloarthritis
332,Axillary pain
333,Azotaemia
334,B precursor type acute leukaemia
335,B-cell lymphoma
336,B-cell lymphoma recurrent
337,B-cell small lymphocytic lymphoma
338,B-lymphocyte count abnormal
339,B-lymphocyte count decreased
340,BK virus infection
341,BRAF gene mutation
342,BRASH syndrome
343,BRCA2 gene mutation
344,Back pain
345,Bacterial abdominal infection
346,Bacterial colitis
347,Bacterial diarrhoea
348,Bacterial disease carrier
349,Bacterial food poisoning
350,Bacterial infection
351,Bacterial prostatitis
352,Bacterial pyelonephritis
353,Bacterial sepsis
354,Bacterial translocation
355,Bacteroides infection
356,Balanitis candida
357,Balanoposthitis
358,Bartholin's abscess
359,Basal cell carcinoma
360,Basal ganglia haematoma
361,Basal ganglia haemorrhage
362,Basedow's disease
363,Basilar artery aneurysm
364,Basosquamous carcinoma
365,Bed rest
366,Behcet's syndrome
367,Bell's palsy
368,Benign bone neoplasm
369,Benign breast neoplasm
370,Benign hepatic neoplasm
371,Benign hydatidiform mole
372,Benign intracranial hypertension
373,Benign neoplasm
374,Benign neoplasm of adrenal gland
375,Benign ovarian tumour
376,Benign renal neoplasm
377,Benign salivary gland neoplasm
378,Beta 2 microglobulin increased
379,Bile duct cancer
380,Bile duct stenosis
381,Bile duct stone
382,Biliary anastomosis complication
383,Biliary cirrhosis
384,Biliary cyst
385,Biliary dilatation
386,Biliary tract disorder
387,Biliary tract infection
388,Bilirubin conjugated abnormal
389,Bilirubin conjugated increased
390,Biloma
391,Biopsy
392,Biopsy bone marrow
393,Biopsy kidney
394,Biopsy kidney abnormal
395,Biopsy liver
396,Biopsy liver abnormal
397,Biopsy lung
398,Biopsy lung abnormal
399,Biopsy lymph gland
400,Biopsy skin
401,Birth mark
402,Bladder cancer
403,Bladder cancer recurrent
404,"Bladder cancer stage I, with cancer in situ"
405,Bladder cancer stage III
406,Bladder cancer stage IV
407,Bladder diverticulum
408,Bladder dysfunction
409,Bladder injury
410,Bladder neoplasm
411,Bladder operation
412,Bladder papilloma
413,Bladder perforation
414,Bladder sphincter atony
415,Bladder tamponade
416,Blast cell count increased
417,Blast cell crisis
418,Blast cells present
419,Blast crisis in myelogenous leukaemia
420,Blastic plasmacytoid dendritic cell neoplasia
421,Blastomycosis
422,Bleeding time abnormal
423,Bleeding varicose vein
424,Blepharitis
425,Blepharochalasis
426,Blepharoplasty
427,Blighted ovum
428,Blindness
429,Blindness cortical
430,Blindness transient
431,Blindness unilateral
432,Blister
433,Blister infected
434,Blood 25-hydroxycholecalciferol decreased
435,Blood HIV RNA increased
436,Blood albumin abnormal
437,Blood albumin decreased
438,Blood alkaline phosphatase abnormal
439,Blood alkaline phosphatase decreased
440,Blood bilirubin abnormal
441,Blood bilirubin decreased
442,Blood bilirubin increased
443,Blood blister
444,Blood brain barrier defect
445,Blood calcitonin increased
446,Blood calcium abnormal
447,Blood calcium increased
448,Blood carbon monoxide increased
449,Blood chloride abnormal
450,Blood chloride increased
451,Blood cholesterol abnormal
452,Blood cholesterol decreased
453,Blood chromogranin A increased
454,Blood corticotrophin decreased
455,Blood corticotrophin increased
456,Blood count abnormal
457,Blood creatine abnormal
458,Blood creatine decreased
459,Blood creatine increased
460,Blood creatine phosphokinase MB increased
461,Blood creatine phosphokinase abnormal
462,Blood creatinine decreased
463,Blood culture positive
464,Blood disorder
465,Blood electrolytes abnormal
466,Blood electrolytes decreased
467,Blood fibrinogen decreased
468,Blood fibrinogen increased
469,Blood follicle stimulating hormone decreased
470,Blood gastrin increased
471,Blood glucose decreased
472,Blood glucose increased
473,Blood growth hormone abnormal
474,Blood growth hormone increased
475,Blood homocysteine increased
476,Blood immunoglobulin A increased
477,Blood immunoglobulin M decreased
478,Blood insulin decreased
479,Blood insulin increased
480,Blood iron decreased
481,Blood iron increased
482,Blood ketone body increased
483,Blood ketone body present
484,Blood lactate dehydrogenase decreased
485,Blood magnesium increased
486,Blood oestrogen decreased
487,Blood parathyroid hormone abnormal
488,Blood parathyroid hormone increased
489,Blood phosphorus abnormal
490,Blood phosphorus increased
491,Blood potassium abnormal
492,Blood potassium increased
493,Blood pressure decreased
494,Blood pressure immeasurable
495,Blood pressure inadequately controlled
496,Blood pressure normal
497,Blood pressure orthostatic abnormal
498,Blood pressure orthostatic decreased
499,Blood product transfusion dependent
500,Blood sodium decreased
501,Blood test
502,Blood testosterone abnormal
503,Blood testosterone decreased
504,Blood testosterone increased
505,Blood thyroid stimulating hormone abnormal
506,Blood thyroid stimulating hormone normal
507,Blood triglycerides increased
508,Blood urea increased
509,Blood urea nitrogen/creatinine ratio increased
510,Blood uric acid abnormal
511,Blood uric acid increased
512,Blood urine
513,Blood urine present
514,Blood viscosity abnormal
515,Blood viscosity decreased
516,Blood viscosity increased
517,Bloody discharge
518,Bloody peritoneal effluent
519,Blue toe syndrome
520,Body fat disorder
521,Body height below normal
522,Body height increased
523,Body surface area increased
524,Body temperature
525,Body temperature abnormal
526,Body temperature decreased
527,Body temperature increased
528,Bone abscess
529,Bone atrophy
530,Bone callus excessive
531,Bone cancer metastatic
532,Bone cyst
533,Bone decalcification
534,Bone deformity
535,Bone demineralisation
536,Bone density abnormal
537,Bone density decreased
538,Bone density increased
539,Bone development abnormal
540,Bone erosion
541,Bone fissure
542,Bone fistula
543,Bone graft
544,Bone hyperpigmentation
545,Bone hypertrophy
546,Bone infarction
547,Bone lesion
548,Bone loss
549,Bone marrow failure
550,Bone marrow infiltration
551,Bone marrow myelogram abnormal
552,Bone marrow necrosis
553,Bone marrow toxicity
554,Bone marrow transplant
555,Bone neoplasm
556,Bone operation
557,Bone pain
558,Bone sequestrum
559,Bone swelling
560,Bone tuberculosis
561,Botulism
562,Bowel movement irregularity
563,Bowen's disease
564,Brain abscess
565,Brain cancer metastatic
566,Brain contusion
567,Brain lobectomy
568,Brain mass
569,Brain natriuretic peptide abnormal
570,Brain neoplasm
571,Brain neoplasm benign
572,Brain neoplasm malignant
573,Brain operation
574,Brain stem infarction
575,Brain stem thrombosis
576,Brain tumour operation
577,Breakthrough COVID-19
578,Breakthrough haemolysis
579,Breakthrough pain
580,Breast abscess
581,Breast cancer
582,Breast cancer female
583,Breast cancer in situ
584,Breast cancer male
585,Breast cancer recurrent
586,Breast cancer stage I
587,Breast cancer stage II
588,Breast cancer stage III
589,Breast cancer stage IV
590,Breast cyst
591,Breast discharge
592,Breast discolouration
593,Breast disorder female
594,Breast enlargement
595,Breast haematoma
596,Breast inflammation
597,Breast injury
598,Breast mass
599,Breast operation
600,Breast pain
601,Breast reconstruction
602,Breast tenderness
603,Breath alcohol test positive
604,Breath sounds
605,Bronchial carcinoma
606,Bronchial fistula
607,Bronchial irritation
608,Bronchial secretion retention
609,Bronchial wall thickening
610,Bronchiolitis obliterans syndrome
611,Bronchitis chronic
612,Bronchomalacia
613,Bronchopneumopathy
614,Bronchoscopy
615,Bronchostenosis
616,Brow ptosis
617,Buccal mucosal roughening
618,Bulbar palsy
619,Burkholderia test positive
620,Burning feet syndrome
621,Burning sensation
622,Burns first degree
623,Bursitis infective
624,Butterfly rash
625,C-reactive protein
626,C-reactive protein abnormal
627,C-reactive protein increased
628,C-telopeptide increased
629,CAR T-cell-related encephalopathy syndrome
630,CD4 lymphocytes abnormal
631,CD4 lymphocytes decreased
632,CD4 lymphocytes increased
633,CNS ventriculitis
634,COVID-19
635,COVID-19 immunisation
636,CSF pressure increased
637,Calcification of muscle
638,Calcinosis
639,Calculus bladder
640,Campylobacter gastroenteritis
641,Campylobacter infection
642,Cancer fatigue
643,Cancer in remission
644,Cancer pain
645,Cancer surgery
646,Candida infection
647,Candida pneumonia
648,Candida sepsis
649,Candida test positive
650,Capillary disorder
651,Capillary fragility
652,Capillary leak syndrome
653,Carbohydrate antigen 125 increased
654,Carbohydrate antigen 15-3 increased
655,Carbon dioxide abnormal
656,Carbon dioxide increased
657,Carcinoembryonic antigen increased
658,Carcinogenicity
659,Carcinoid heart disease
660,Carcinoid tumour
661,Carcinoid tumour pulmonary
662,Cardiac ablation
663,Cardiac amyloidosis
664,Cardiac assistance device user
665,Cardiac disorder
666,Cardiac dysfunction
667,Cardiac failure
668,Cardiac failure high output
669,Cardiac fibrillation
670,Cardiac function test abnormal
671,Cardiac infection
672,Cardiac pacemaker battery replacement
673,Cardiac pacemaker insertion
674,Cardiac pacemaker replacement
675,Cardiac perforation
676,Cardiac procedure complication
677,Cardiac sarcoidosis
678,Cardiac stress test
679,Cardiac stress test abnormal
680,Cardiac tamponade
681,Cardiac valve disease
682,Cardiac valve replacement complication
683,Cardiac valve vegetation
684,Cardiac ventricular thrombosis
685,Cardioactive drug level increased
686,Cardiolipin antibody positive
687,Cardiomyopathy
688,Cardiomyopathy acute
689,Cardiorenal syndrome
690,Cardiovascular disorder
691,Cardiovascular symptom
692,Carditis
693,Carnitine deficiency
694,Carotid arteriosclerosis
695,Carotid artery dissection
696,Carotid artery occlusion
697,Carotid artery stenosis
698,Carotid artery thrombosis
699,Carpal tunnel decompression
700,Carpal tunnel syndrome
701,Cast application
702,Castleman's disease
703,Cat scratch disease
704,Cataract
705,Cataract cortical
706,Cataract nuclear
707,Cataract operation
708,Cataract subcapsular
709,Catarrh
710,Catheter management
711,Catheter placement
712,Catheter site cellulitis
713,Catheter site erosion
714,Catheter site haemorrhage
715,Catheter site infection
716,Catheter site inflammation
717,Catheter site irritation
718,Catheter site pain
719,Catheter site related reaction
720,Catheter site thrombosis
721,Catheterisation cardiac
722,Catheterisation cardiac abnormal
723,Cauda equina syndrome
724,Cavernous sinus thrombosis
725,Cell marker increased
726,Cellulite
727,Cellulitis
728,Cellulitis orbital
729,Central hypothyroidism
730,Central nervous system haemorrhage
731,Central nervous system infection
732,Central nervous system inflammation
733,Central nervous system lesion
734,Central nervous system leukaemia
735,Central nervous system lymphoma
736,Central nervous system necrosis
737,Central nervous system neoplasm
738,Central obesity
739,Central serous chorioretinopathy
740,Central venous catheter removal
741,Central venous catheterisation
742,Cerebellar ischaemia
743,Cerebral amyloid angiopathy
744,Cerebral artery embolism
745,Cerebral calcification
746,Cerebral cyst
747,Cerebral fungal infection
748,Cerebral haemorrhage
749,Cerebral infarction
750,Cerebral small vessel ischaemic disease
751,Cerebral thrombosis
752,Cerebral toxoplasmosis
753,Cerebral venous sinus thrombosis
754,Cerebral ventricular rupture
755,Cerebrovascular accident
756,Cerebrovascular insufficiency
757,Cervical conisation
758,Cervical dilatation
759,Cervical polyp
760,Cervicitis
761,Cervix carcinoma stage I
762,Cervix carcinoma stage II
763,Cervix disorder
764,Cervix neoplasm
765,Change of bowel habit
766,Chapped lips
767,Charles Bonnet syndrome
768,Cheilitis
769,Chemical burn
770,Chemical burn of skin
771,Chemical burns of eye
772,Chemical peritonitis
773,Chemotherapeutic drug level increased
774,Chemotherapy toxicity attenuation
775,Chest X-ray abnormal
776,Chest discomfort
777,Chest pain
778,Chest tube insertion
779,Chest wall mass
780,Chest wall tumour
781,Chikungunya virus infection
782,Chillblains
783,Chloroma
784,Chloropsia
785,Choking
786,Cholangitis acute
787,Cholangitis infective
788,Cholangitis sclerosing
789,Cholecystitis acute
790,Cholecystitis chronic
791,Cholelithiasis
792,Cholelithotomy
793,Cholesteatoma
794,Choluria
795,Chondrocalcinosis
796,Chondrocalcinosis pyrophosphate
797,Chondrolysis
798,Chondropathy
799,Chondrosarcoma
800,Chorioretinal atrophy
801,Chorioretinitis
802,Chorioretinopathy
803,Choroidal neovascularisation
804,Chromatopsia
805,Chromaturia
806,Chronic allograft nephropathy
807,Chronic cutaneous lupus erythematosus
808,Chronic disease
809,Chronic graft versus host disease
810,Chronic graft versus host disease in skin
811,Chronic hepatic failure
812,Chronic hepatitis
813,Chronic hepatitis B
814,Chronic hepatitis C
815,Chronic inflammatory demyelinating polyradiculoneuropathy
816,Chronic leukaemia
817,Chronic lymphocytic leukaemia
818,Chronic lymphocytic leukaemia recurrent
819,Chronic myeloid leukaemia
820,Chronic myeloid leukaemia recurrent
821,Chronic myeloid leukaemia transformation
822,Chronic myelomonocytic leukaemia
823,Chronic obstructive pulmonary disease
824,Chronic pigmented purpura
825,Chronic respiratory disease
826,Chronic throat clearing
827,Chylothorax
828,Circumcision
829,Circumstance or information capable of leading to device use error
830,Circumstance or information capable of leading to medication error
831,Cirrhosis alcoholic
832,Citrobacter infection
833,Clinically isolated syndrome
834,Clonal evolution
835,Clostridial sepsis
836,Clostridium bacteraemia
837,Clostridium difficile infection
838,Coagulation factor deficiency
839,Coagulation test abnormal
840,Coagulation time abnormal
841,Coagulation time prolonged
842,Coccidioidomycosis
843,Coccydynia
844,Coital bleeding
845,Cold sweat
846,Colectomy
847,Colectomy total
848,Colitis
849,Colitis ulcerative
850,Colon adenoma
851,Colon cancer
852,Colon cancer metastatic
853,Colon cancer recurrent
854,Colon cancer stage I
855,Colon cancer stage II
856,Colon cancer stage III
857,Colon cancer stage IV
858,Colon dysplasia
859,Colon injury
860,Colon neoplasm
861,Colon operation
862,Colonic abscess
863,Colonic fistula
864,Colonoscopy
865,Colorectal adenocarcinoma
866,Colorectal cancer
867,Colorectal cancer metastatic
868,Colorectal cancer recurrent
869,Colorectal cancer stage II
870,Colorectal cancer stage III
871,Colorectal cancer stage IV
872,Colorectal carcinoma stage 0
873,Colostomy
874,Colour blindness
875,Colour blindness acquired
876,Colposcopy
877,Coma hepatic
878,Combined immunodeficiency
879,Combined pulmonary fibrosis and emphysema
880,Complication associated with device
881,Complication of delivery
882,Complication of device insertion
883,Complication of device removal
884,Complication of pregnancy
885,Complications of transplant surgery
886,Complications of transplanted heart
887,Complications of transplanted kidney
888,Complications of transplanted liver
889,Complications of transplanted lung
890,Compression fracture
891,Computerised tomogram abnormal
892,Concomitant disease aggravated
893,Concomitant disease progression
894,Condition aggravated
895,Congenital cystic kidney disease
896,Congenital eye disorder
897,Congenital eyelid malformation
898,Congenital intestinal malformation
899,Congenital neurological disorder
900,Congenital renal disorder
901,Congenital teratoma
902,Congenital umbilical hernia
903,Conjunctival disorder
904,Conjunctival erosion
905,Conjunctival filtering bleb leak
906,Conjunctival hyperaemia
907,Conjunctival oedema
908,Conjunctivitis bacterial
909,Conjunctivitis viral
910,Contact lens intolerance
911,Contracted bladder
912,Contraindicated device used
913,Contraindication to medical treatment
914,Contraindication to vaccination
915,Contrast encephalopathy
916,Contrast media allergy
917,Convulsion
918,Coombs direct test positive
919,Coombs negative haemolytic anaemia
920,Coombs test positive
921,Corneal degeneration
922,Corneal disorder
923,Corneal epithelium defect
924,Corneal infection
925,Corneal lesion
926,Corneal oedema
927,Corneal perforation
928,Corneal scar
929,Corneal transplant
930,Corona virus infection
931,Coronary angioplasty
932,Coronary artery dilatation
933,Coronary artery disease
934,Coronary artery dissection
935,Coronary artery occlusion
936,Coronary artery reocclusion
937,Coronary artery stenosis
938,Coronary artery thrombosis
939,Coronary revascularisation
940,Coronavirus infection
941,Coronavirus test positive
942,Corpora cavernosa surgery
943,Corrective lens user
944,Corynebacterium infection
945,Costochondritis
946,Costovertebral angle tenderness
947,Cough
948,Counterfeit product administered
949,Cow's milk intolerance
950,Cranial nerve disorder
951,Craniectomy
952,Craniopharyngioma
953,Creatinine renal clearance abnormal
954,Creatinine urine increased
955,Crime
956,Critical illness
957,Cross sensitivity reaction
958,Croup infectious
959,Cryoglobulinaemia
960,Cryptococcal cutaneous infection
961,Cryptosporidiosis infection
962,Crystal nephropathy
963,Culture positive
964,Culture urine positive
965,Cushingoid
966,Cutaneous symptom
967,Cutaneous tuberculosis
968,Cyanopsia
969,Cyst
970,Cyst removal
971,Cystic fibrosis
972,Cystic fibrosis respiratory infection suppression
973,Cystitis
974,Cystitis escherichia
975,Cystitis radiation
976,Cystitis viral
977,Cystocele
978,Cystoid macular oedema
979,Cytogenetic abnormality
980,Cytogenetic analysis abnormal
981,Cytokine release syndrome
982,Cytokine storm
983,Cytomegalovirus chorioretinitis
984,Cytomegalovirus colitis
985,Cytomegalovirus enterocolitis
986,Cytomegalovirus gastrointestinal infection
987,Cytomegalovirus hepatitis
988,Cytomegalovirus infection
989,Cytomegalovirus infection reactivation
990,Cytomegalovirus test positive
991,Cytopenia
992,Cytotoxic oedema
993,DNA antibody positive
994,Dacryocystitis
995,Dacryostenosis acquired
996,Dandruff
997,Dandy-Walker syndrome
998,Dark circles under eyes
999,Daydreaming
1000,Deafness bilateral
1001,Deafness permanent
1002,Deafness unilateral
1003,Death
1004,Debridement
1005,Decreased activity
1006,Decreased gait velocity
1007,Decreased immune responsiveness
1008,Decreased insulin requirement
1009,Deep vein thrombosis
1010,Deep vein thrombosis postoperative
1011,Defaecation urgency
1012,Degenerative bone disease
1013,Dehydration
1014,Delayed delivery
1015,Delayed puberty
1016,Delivery
1017,Delusion of parasitosis
1018,Dementia Alzheimer's type
1019,Demodicidosis
1020,Demyelinating polyneuropathy
1021,Demyelination
1022,Dengue fever
1023,Dental caries
1024,Dental cleaning
1025,Dental cyst
1026,Dental fistula
1027,Dental implantation
1028,Dental necrosis
1029,Dental operation
1030,Dental plaque
1031,Dental prosthesis placement
1032,Dental restoration failure
1033,Dependence
1034,Dependence on oxygen therapy
1035,Dependence on respirator
1036,Dermal absorption impaired
1037,Dermatitis
1038,Dermatitis acneiform
1039,Dermatitis allergic
1040,Dermatitis diaper
1041,Dermatitis herpetiformis
1042,Dermatitis infected
1043,Dermatitis psoriasiform
1044,Dermatofibrosarcoma protuberans
1045,Dermatophytosis of nail
1046,Dermatosis
1047,Dermoid cyst
1048,Desmoid tumour
1049,Detachment of retinal pigment epithelium
1050,Detoxification
1051,Developmental glaucoma
1052,Device adhesion issue
1053,Device alarm issue
1054,Device allergy
1055,Device breakage
1056,Device colour issue
1057,Device connection issue
1058,Device damage
1059,Device defective
1060,Device delivery system issue
1061,Device dependence
1062,Device deployment issue
1063,Device deposit issue
1064,Device difficult to use
1065,Device dispensing error
1066,Device effect incomplete
1067,Device electrical finding
1068,Device expulsion
1069,Device extrusion
1070,Device failure
1071,Device ineffective
1072,Device information output issue
1073,Device inversion
1074,Device issue
1075,Device kink
1076,Device leakage
1077,Device loosening
1078,Device malfunction
1079,Device material issue
1080,Device mechanical issue
1081,Device misuse
1082,Device occlusion
1083,Device operational issue
1084,Device physical property issue
1085,Device placement issue
1086,Device power source issue
1087,Device programming error
1088,Device related infection
1089,Device related thrombosis
1090,Device safety feature issue
1091,Device use error
1092,Device use issue
1093,Diabetes mellitus
1094,Diabetes mellitus inadequate control
1095,Diabetic coma
1096,Diabetic complication
1097,Diabetic foot
1098,Diabetic foot infection
1099,Diabetic gangrene
1100,Diabetic gastroparesis
1101,Diabetic hyperglycaemic coma
1102,Diabetic hyperosmolar coma
1103,Diabetic ketoacidosis
1104,Diabetic ketoacidotic hyperglycaemic coma
1105,Diabetic metabolic decompensation
1106,Diabetic nephropathy
1107,Diabetic retinal oedema
1108,Diabetic retinopathy
1109,Diabetic ulcer
1110,Diabetic vascular disorder
1111,Diagnostic procedure
1112,Dialysis
1113,Dialysis device insertion
1114,Diaphragm muscle weakness
1115,Diaphragmalgia
1116,Diarrhoea
1117,Diarrhoea haemorrhagic
1118,Diarrhoea infectious
1119,Diastolic dysfunction
1120,Diastolic hypertension
1121,Differentiation syndrome
1122,Diffuse large B-cell lymphoma
1123,Diffuse large B-cell lymphoma recurrent
1124,Diffuse large B-cell lymphoma refractory
1125,Diffuse large B-cell lymphoma stage IV
1126,Diplegia
1127,Diplopia
1128,Discomfort
1129,Discouragement
1130,Disease complication
1131,Disease progression
1132,Disease recurrence
1133,Disease risk factor
1134,Disease susceptibility
