pt,no_events_global
Actinomycotic abdominal infection,7
Actinomycotic pulmonary infection,40
Actinomycotic sepsis,14
Actinomycotic skin infection,10
Action tremor,113
Activated partial thromboplastin time,11
Activated partial thromboplastin time abnormal,90
Activated partial thromboplastin time prolonged,1623
Activated partial thromboplastin time ratio,1
Activated partial thromboplastin time ratio abnormal,3
Activated partial thromboplastin time ratio decreased,4
Activated partial thromboplastin time ratio increased,5
Activated partial thromboplastin time shortened,145
Activated PI3 kinase delta syndrome,5
Activated protein C resistance,16
Activated protein C resistance test positive,1
Activation syndrome,155
Activities of daily living impaired,7447
Acupuncture,15
Acute abdomen,555
Acute allograft nephropathy,14
Acute aortic syndrome,13
Acute aseptic arthritis,1
Acute bilineal leukaemia,2
Acute biphenotypic leukaemia,70
Acute cardiac event,92
Acute chest syndrome,348
Acute coronary syndrome,4686
Acute cutaneous lupus erythematosus,130
Acute disseminated encephalomyelitis,227
"Acute encephalitis with refractory, repetitive partial seizures",5
Acute endocarditis,16
Acute erythroid leukaemia,27
Acute fatty liver of pregnancy,20
Acute febrile neutrophilic dermatosis,1200
Acute flaccid myelitis,10
Acute focal bacterial nephritis,17
Acute generalised exanthematous pustulosis,4825
Acute graft versus host disease,2087
Acute graft versus host disease in intestine,518
Acute graft versus host disease in liver,150
Acute graft versus host disease in skin,785
Acute graft versus host disease oral,7
Acute haemolytic transfusion reaction,17
Acute haemorrhagic conjunctivitis,9
Acute haemorrhagic leukoencephalitis,20
Acute haemorrhagic oedema of infancy,25
Acute haemorrhagic ulcerative colitis,60
Acute hepatic failure,7097
Acute hepatitis B,196
Acute hepatitis C,130
Acute HIV infection,196
Acute interstitial pneumonitis,386
Acute kidney injury,131509
Acute left ventricular failure,389
Acute leukaemia,773
Acute leukaemia in remission,1
Acute lung injury,528
Acute lymphocytic leukaemia,1930
Acute lymphocytic leukaemia (in remission),14
Acute lymphocytic leukaemia recurrent,1691
Acute lymphocytic leukaemia refractory,96
Acute macular neuroretinopathy,70
Acute macular outer retinopathy,21
Acute megakaryocytic leukaemia,29
Acute monocytic leukaemia,97
Acute motor axonal neuropathy,86
Acute motor-sensory axonal neuropathy,177
Acute myeloid leukaemia,8637
Acute myeloid leukaemia (in remission),10
Acute myeloid leukaemia recurrent,912
Acute myeloid leukaemia refractory,86
Acute myelomonocytic leukaemia,121
Acute myocardial infarction,15451
Acute myopia,103
Acute necrotising myelitis,1
Acute oesophageal mucosal lesion,15
Acute on chronic liver failure,91
Acute painful neuropathy of rapid glycaemic control,17
Acute phase reaction,184
Acute phosphate nephropathy,51
Acute polyneuropathy,163
Acute post asthmatic amyotrophy,3
Acute postoperative sialadenitis,19
Acute prerenal failure,321
Acute promyelocytic leukaemia,497
Acute promyelocytic leukaemia differentiation syndrome,168
Acute psychosis,1319
Acute pulmonary histoplasmosis,86
Acute pulmonary oedema,2371
Acute respiratory distress syndrome,7284
Acute respiratory failure,8944
Acute right ventricular failure,87
Acute sinusitis,814
Acute stress disorder,135
Acute tonsillitis,25
Acute undifferentiated leukaemia,1
Acute vestibular syndrome,40
Acute zonal occult outer retinopathy,8
Adactyly,88
Adams-Oliver syndrome,6
Adams-Stokes syndrome,63
ADAMTS13 activity abnormal,40
ADAMTS13 activity assay,1
ADAMTS13 activity decreased,132
ADAMTS13 activity increased,5
ADAMTS13 inhibitor screen assay,4
Adaptive servo-ventilation,1
ADCY5-related dyskinesia,3
Addison's disease,689
Adductor vocal cord weakness,4
Adenine phosphoribosyl transferase deficiency,1
Adenocarcinoma,1280
Adenocarcinoma gastric,627
Adenocarcinoma metastatic,78
Adenocarcinoma of appendix,40
Adenocarcinoma of colon,1466
Adenocarcinoma of salivary gland,30
Adenocarcinoma of the cervix,86
Adenocarcinoma pancreas,773
Adenoidal disorder,144
Adenoidal hypertrophy,230
Adenoid cystic carcinoma,79
Adenoid cystic carcinoma of salivary gland,3
Adenoidectomy,161
Adenoiditis,68
Adenolipoma,1
Adenolymphoma,5
Adenoma benign,358
Adenomatous polyposis coli,53
Adenomyosis,231
Adenopathy syphilitic,3
Adenosine deaminase 2 deficiency,1
Adenosine deaminase abnormal,6
Adenosine deaminase decreased,1
Adenosine deaminase increased,7
Adenosquamous carcinoma of the cervix,11
Adenosquamous cell carcinoma,5
Adenosquamous cell lung cancer,28
Adenosquamous cell lung cancer recurrent,1
Adenosquamous cell lung cancer stage I,1
Adenosquamous cell lung cancer stage IV,4
Adenotonsillectomy,134
Adenoviral conjunctivitis,16
Adenoviral encephalitis,6
Adenoviral haemorrhagic cystitis,78
Adenoviral hepatitis,69
Adenoviral meningitis,1
Adenoviral upper respiratory infection,17
Adenovirus encephalomyeloradiculitis,2
Adenovirus infection,1365
Adenovirus interstitial nephritis,11
Adenovirus reactivation,29
Adenovirus test,2
Adenovirus test positive,42
Adenylosuccinate lyase deficiency,1
Adhesiolysis,26
Adhesion,598
Adhesive tape use,96
Adipomastia,6
Adiposis dolorosa,30
Adjacent segment degeneration,13
Adjusted calcium,2
Adjusted calcium decreased,61
Adjusted calcium increased,38
Adjustment disorder,590
Adjustment disorder with anxiety,33
Adjustment disorder with depressed mood,537
Adjustment disorder with disturbance of conduct,6
Adjustment disorder with mixed anxiety and depressed mood,65
Adjustment disorder with mixed disturbance of emotion and conduct,5
Adjuvant therapy,3
Administration related reaction,116
Administration site abscess,19
Administration site abscess sterile,1
Administration site acne,5
Administration site anaesthesia,1
Administration site atrophy,4
Administration site bruise,210
Administration site calcification,7
Administration site cellulitis,22
Administration site coldness,5
Administration site cyst,1
Administration site dermatitis,6
Administration site discharge,29
Administration site discolouration,96
Administration site discomfort,120
Administration site dryness,12
Administration site dysaesthesia,1
Administration site eczema,1
Administration site erosion,4
Administration site erythema,183
Administration site exfoliation,1
Administration site extravasation,685
Administration site fibrosis,2
Administration site granuloma,4
Administration site haematoma,18
Administration site haemorrhage,48
Administration site hyperaesthesia,2
Administration site hypersensitivity,16
Administration site hypertrichosis,3
Administration site hypertrophy,4
Administration site hypoaesthesia,2
Administration site indentation,38
Administration site induration,40
Administration site infection,37
Administration site inflammation,26
Administration site injury,25
Administration site irritation,78
Administration site ischaemia,1
Administration site joint discomfort,1
Administration site joint erythema,4
Administration site joint infection,3
Administration site joint inflammation,2
Administration site joint movement impairment,3
Administration site laceration,12
Administration site macule,1
Administration site mass,12
Administration site movement impairment,10
Administration site necrosis,26
Administration site nerve damage,7
Administration site nodule,21
Administration site odour,45
Administration site oedema,29
Administration site pain,527
Administration site pallor,1
Administration site papule,3
Administration site paraesthesia,6
Administration site phlebitis,6
Administration site photosensitivity reaction,1
Administration site plaque,8
Administration site pruritus,60
Administration site pustule,2
Administration site rash,67
Administration site reaction,174
Administration site recall reaction,4
Administration site scab,25
Administration site scar,40
Administration site streaking,4
Administration site swelling,131
Administration site thrombosis,9
Administration site ulcer,13
Administration site urticaria,16
Administration site vasculitis,3
Administration site vesicles,1
Administration site warmth,35
Administration site wound,32
Adnexal torsion,187
Adnexa uteri cyst,51
Adnexa uteri mass,83
Adnexa uteri pain,495
Adolescence,7
Adrenal adenoma,198
Adrenal androgen deficiency,2
Adrenal atrophy,19
Adrenal calcification,6
Adrenal cortex necrosis,23
Adrenal cyst,44
Adrenal disorder,1067
Adrenalectomy,35
Adrenal gland abscess,3
Adrenal gland cancer,260
Adrenal gland cancer metastatic,25
Adrenal gland injury,29
Adrenal gland operation,13
Adrenal gland tuberculosis,2
Adrenal haematoma,41
Adrenal haemorrhage,301
Adrenal insufficiency,6798
Adrenal insufficiency neonatal,14
Adrenalitis,42
Adrenal mass,286
Adrenal medulla hyperfunction,1
Adrenal neoplasm,231
Adrenal suppression,443
Adrenal thrombosis,5
Adrenergic syndrome,34
Adrenocortical carcinoma,49
Adrenocortical insufficiency acute,816
Adrenocortical insufficiency neonatal,1
Adrenocortical steroid therapy,3
Adrenocorticotropic hormone deficiency,576
Adrenogenital syndrome,72
Adrenoleukodystrophy,11
Adrenomegaly,94
Adulterated product,54
Adult failure to thrive,121
Adult polyglucosan body disease,1
Adult T-cell lymphoma/leukaemia,357
Adult T-cell lymphoma/leukaemia recurrent,12
Adult T-cell lymphoma/leukaemia refractory,3
Adult T-cell lymphoma/leukaemia stage III,1
Adult T-cell lymphoma/leukaemia stage IV,1
Advanced sleep phase,5
Adventitial cystic disease,6
Adverse drug reaction,55511
Adverse event,57210
Adverse event following immunisation,46
Adverse food reaction,396
Adverse reaction,8778
Aerococcus urinae infection,3
Aeromona infection,10
Aeromonas infection,125
Aeromonas test positive,25
Aerophagia,70
Aerophobia,3
Aesthesioneuroblastoma,10
Affective ambivalence,2
Affective disorder,3737
Affect lability,5336
Afferent loop syndrome,3
African trypanosomiasis,14
Afterbirth pain,12
Age-related macular degeneration,918
Ageusia,11715
Aggression,19051
Agitated depression,123
Agitation,27111
Agitation neonatal,461
Agitation postoperative,30
Agnosia,65
Agonal death struggle,9
Agonal respiration,24
Agonal rhythm,26
Agoraphobia,487
Agranulocytosis,9486
Agraphia,262
Aicardi-Goutieres syndrome,2
Aicardi's syndrome,4
Aichmophobia,1
AIDS cholangiopathy,19
AIDS dementia complex,40
AIDS related complex,8
AIDS related complication,18
AIDS retinopathy,1
Air embolism,224
Airway burns,26
Airway complication of anaesthesia,146
Airway peak pressure,2
Airway peak pressure decreased,2
Airway peak pressure increased,79
Airway remodelling,109
Airway secretion clearance therapy,5
Akathisia,5635
Akinaesthesia,4
Akinesia,1010
Alagille syndrome,4
Alanine aminotransferase,82
Alanine aminotransferase abnormal,1055
Alanine aminotransferase decreased,334
Alanine aminotransferase increased,26140
Albinism,10
Albright's disease,5
Albumin CSF abnormal,1
Albumin CSF increased,1
Albumin globulin ratio,1
Albumin globulin ratio abnormal,12
Albumin globulin ratio decreased,60
Albumin globulin ratio increased,70
Albuminuria,240
Albumin urine,15
Albumin urine absent,2
Albumin urine present,177
Alcaligenes infection,12
Alcohol abuse,1507
Alcohol detoxification,41
Alcoholic,116
Alcoholic coma,2
Alcoholic encephalopathy,2
Alcoholic hangover,25
Alcoholic ketoacidosis,4
Alcoholic liver disease,177
Alcoholic pancreatitis,82
Alcoholic psychosis,7
Alcoholic seizure,25
Alcohol induced persisting dementia,7
Alcohol interaction,1042
Alcohol intolerance,322
Alcoholism,2328
Alcohol poisoning,927
Alcohol problem,69
Alcohol rehabilitation,17
Alcohol septal ablation,2
Alcohol test,1
Alcohol test false positive,87
Alcohol test negative,1
Alcohol test positive,21
Alcohol use,911
Alcohol use disorder,76
Alcohol withdrawal syndrome,275
Aldolase abnormal,4
Aldolase decreased,2
Aldolase increased,48
Aldosterone urine increased,1
Aleukaemic leukaemia,4
Alexander disease,4
Alexia,18
Alexithymia,13
Algophobia,3
Alice in wonderland syndrome,59
Alien limb syndrome,16
Alkalosis,101
Alkalosis hypochloraemic,50
Alkalosis hypokalaemic,14
Alkaptonuria,2
ALK gene rearrangement assay,1
ALK gene rearrangement positive,3
Allergic bronchitis,53
Allergic bronchopulmonary mycosis,5
Allergic colitis,22
Allergic cough,498
Allergic cystitis,2
Allergic eosinophilia,22
Allergic gastroenteritis,8
Allergic granulomatous angiitis,109
Allergic hepatitis,21
Allergic keratitis,7
Allergic lymphangitis,1
Allergic myocarditis,4
Allergic oedema,420
Allergic pharyngitis,15
Allergic reaction to excipient,1213
Allergic respiratory disease,83
Allergic respiratory symptom,190
Allergic sinusitis,473
Allergic stomatitis,4
Allergic transfusion reaction,73
Allergy alert test positive,1
Allergy prophylaxis,7
Allergy test,13
Allergy test negative,59
Allergy test positive,181
Allergy to animal,566
Allergy to arthropod bite,144
Allergy to arthropod sting,208
Allergy to chemicals,641
Allergy to fermented products,12
Allergy to immunoglobulin therapy,44
Allergy to metals,342
Allergy to plants,213
Allergy to sting,2
Allergy to surgical sutures,20
Allergy to synthetic fabric,18
Allergy to vaccine,164
Allergy to venom,10
Allodynia,339
Allogenic bone marrow transplantation therapy,17
Allogenic stem cell transplantation,49
Alloimmune hepatitis,3
Alloimmunisation,24
Alopecia,137924
Alopecia areata,887
Alopecia scarring,65
Alopecia syphilitic,1
Alopecia totalis,131
Alopecia universalis,119
Alpers disease,6
Alpers' disease,3
Alpha-1 anti-trypsin,3
Alpha-1 anti-trypsin abnormal,6
Alpha-1 anti-trypsin decreased,10
Alpha-1 anti-trypsin deficiency,50
Alpha-1 antitrypsin deficiency,25
Alpha-1 anti-trypsin increased,4
Alpha 1 foetoprotein,3
Alpha 1 foetoprotein abnormal,39
Alpha 1 foetoprotein amniotic fluid increased,4
Alpha 1 foetoprotein decreased,13
Alpha 1 foetoprotein increased,296
Alpha 1 globulin abnormal,3
Alpha 1 globulin decreased,3
Alpha 1 globulin increased,29
Alpha 1 microglobulin,1
Alpha 1 microglobulin increased,6
Alpha 2 globulin,2
Alpha 2 globulin abnormal,1
Alpha 2 globulin decreased,4
Alpha 2 globulin increased,9
Alpha-2 macroglobulin increased,1
Alpha globulin increased,1
Alpha haemolytic streptococcal infection,260
Alpha hydroxybutyrate dehydrogenase,1
Alpha hydroxybutyrate dehydrogenase decreased,1
Alpha hydroxybutyrate dehydrogenase increased,19
Alpha tumour necrosis factor,3
Alpha tumour necrosis factor decreased,2
Alpha tumour necrosis factor increased,21
Alphaviral infection,1
Alport's syndrome,20
Alstroem syndrome,1
Altered pitch perception,25
Altered state of consciousness,9905
Altered visual depth perception,318
Alternaria infection,180
Aluminium overload,1
Alveolar aeration excessive,4
Alveolar-arterial oxygen gradient increased,6
Alveolar bone resorption,64
Alveolar capillary dysplasia,18
Alveolar lung disease,105
Alveolar osteitis,168
Alveolar oxygen partial pressure decreased,5
Alveolar proteinosis,325
Alveolar rhabdomyosarcoma,32
Alveolar soft part sarcoma,34
Alveolar soft part sarcoma metastatic,5
Alveolitis,666
Alveolitis allergic,505
Alveolitis necrotising,1
Alveoloplasty,6
Amaurosis,436
Amaurosis fugax,406
Amblyopia,228
Amblyopia congenital,5
Amblyopia strabismic,2
Amegakaryocytic thrombocytopenia,14
Ameloblastoma,40
Amenorrhoea,6101
Amenorrhoea-galactorrhoea syndrome,1
American trypanosomiasis,138
Amimia,15
Amino acid level,1
Amino acid level abnormal,54
Amino acid level decreased,193
Amino acid level increased,537
Amino acid metabolism disorder,7
Aminoaciduria,53
Ammonia,23
Ammonia abnormal,211
Ammonia decreased,35
Ammonia increased,2443
Amnesia,28535
Amnestic disorder,225
Amniocentesis,3
Amniocentesis abnormal,53
Amniorrhexis,48
Amniorrhoea,93
Amniotic band syndrome,83
Amniotic cavity disorder,7
Amniotic cavity infection,475
Amniotic fluid index,1
Amniotic fluid index abnormal,5
Amniotic fluid index decreased,27
Amniotic fluid index increased,3
Amniotic fluid volume,1
Amniotic fluid volume decreased,222
Amniotic fluid volume increased,125
Amniotic infection syndrome of Blane,1
Amniotic membrane graft,8
Amniotic membrane rupture test positive,1
Amoeba test positive,4
Amoebiasis,111
Amoebic brain abscess,6
Amoebic colitis,34
Amoebic dysentery,47
Amoebic lung abscess,1
Amoebic skin ulcer,1
Amoeboma,1
Amphetamines,11
Amphetamines negative,24
Amphetamines positive,463
Amplified musculoskeletal pain syndrome,6
Ampulla of Vater stenosis,7
Ampullary polyp,6
Amputation,755
Amputation of penis,9
Amputation stump pain,66
Amputee,47
Amusia,4
Amygdalohippocampectomy,3
Amygdalotomy,7
Amylase,6
Amylase abnormal,54
Amylase decreased,44
Amylase increased,1702
Amyloid arthropathy,3
Amyloidoma,7
Amyloidosis,904
Amyloidosis senile,18
Amyloid related imaging abnormalities,24
Amyloid related imaging abnormality-microhaemorrhages and haemosiderin deposits,100
Amyloid related imaging abnormality-oedema/effusion,131
Amyotrophic lateral sclerosis,1099
Amyotrophy,141
Anaemia,92573
Anaemia folate deficiency,74
Anaemia Heinz body,2
Anaemia macrocytic,750
Anaemia megaloblastic,177
Anaemia neonatal,203
Anaemia of chronic disease,232
Anaemia of malignant disease,126
Anaemia of pregnancy,113
Anaemia postoperative,431
Anaemia prophylaxis,2
Anaemia splenic,1
Anaemia vitamin B12 deficiency,180
Anaemia vitamin B6 deficiency,7
Anaemic hypoxia,5
Anaemic retinopathy,1
Anaesthesia,129
Anaesthesia dolorosa,2
Anaesthesia oral,18
Anaesthesia procedure,6
Anaesthesia reversal,2
Anaesthetic complication,1097
Anaesthetic complication cardiac,18
Anaesthetic complication foetal,2
Anaesthetic complication neonatal,5
Anaesthetic complication neurological,328
Anaesthetic complication pulmonary,37
Anaesthetic complication vascular,7
Anal abscess,2982
Anal atresia,256
Anal blister,8
Anal cancer,602
Anal cancer metastatic,15
Anal cancer recurrent,5
Anal cancer stage 0,18
Anal cancer stage I,7
Anal cancer stage II,18
Anal cancer stage III,28
Anal cancer stage IV,5
Anal candidiasis,19
Anal chlamydia infection,6
Anal cyst,14
Anal dilatation,6
Anal dilation procedure,5
Anal eczema,3
Anal erosion,44
Anal erythema,29
Anal examination abnormal,1
Anal fissure,1814
Anal fissure excision,7
Anal fissure haemorrhage,55
Anal fistula,2160
Anal fistula excision,8
Anal fistula infection,76
Anal fistula repair,5
Anal fungal infection,31
Analgesic drug level,7
Analgesic drug level above therapeutic,102
Analgesic drug level below therapeutic,3
Analgesic drug level decreased,7
Analgesic drug level increased,681
Analgesic drug level therapeutic,4
Analgesic intervention supportive therapy,3
Analgesic therapy,51
Anal haemorrhage,1091
Anal hypoaesthesia,24
Anal incontinence,4329
Anal infection,108
Anal inflammation,179
Anal injury,66
Anal lesion excision,2
Anal neoplasm,18
Anal papillitis,1
Anal pap smear abnormal,1
Anal paraesthesia,13
Anal polyp,43
Anal prolapse,48
Anal pruritus,412
Anal rash,15
Anal skin tags,44
Anal spasm,23
Anal sphincter atony,146
Anal sphincter hypertonia,13
Anal sphincterotomy,3
Anal squamous cell carcinoma,205
Anal stenosis,144
Anal tinea,2
Anal ulcer,280
Anal ulcer haemorrhage,9
Anamnestic reaction,28
Anaphylactic reaction,28440
Anaphylactic shock,12385
Anaphylactic transfusion reaction,11
Anaphylactoid reaction,1533
Anaphylactoid shock,169
Anaphylactoid syndrome of pregnancy,33
Anaphylaxis treatment,3
Anaplastic astrocytoma,97
Anaplastic large-cell lymphoma,213
Anaplastic large cell lymphoma T- and null-cell types,111
Anaplastic large cell lymphoma T- and null-cell types recurrent,6
Anaplastic large cell lymphoma T- and null-cell types refractory,2
Anaplastic large cell lymphoma T- and null-cell types stage I,1
Anaplastic large cell lymphoma T- and null-cell types stage II,2
Anaplastic large cell lymphoma T- and null-cell types stage III,5
Anaplastic large cell lymphoma T- and null-cell types stage IV,7
Anaplastic lymphoma kinase gene mutation,47
Anaplastic meningioma,15
Anaplastic oligodendroglioma,22
Anaplastic thyroid cancer,60
Anastomotic complication,105
Anastomotic erosion,2
Anastomotic fistula,39
Anastomotic haemorrhage,88
Anastomotic infection,10
Anastomotic leak,278
Anastomotic stenosis,131
Anastomotic ulcer,174
Anastomotic ulcer haemorrhage,93
Anastomotic ulcer perforation,5
Andersen-Tawil syndrome,4
Androgen deficiency,153
Androgenetic alopecia,93
Androgen insensitivity syndrome,2
Androgen receptor gene overexpression,3
Androgens abnormal,14
Androgens decreased,1
Androgens increased,8
Andropause,8
Anembryonic gestation,87
Anencephaly,302
Aneurysm,2486
Aneurysmal bone cyst,12
Aneurysm arteriovenous,3
Aneurysmectomy,7
Aneurysm perforation,3
Aneurysm recanalisation,5
Aneurysm repair,55
Aneurysm ruptured,437
Aneurysm thrombosis,5
Angelman's syndrome,3
Anger,10665
Angina bullosa haemorrhagica,222
Angina gangrenous,1
Anginal equivalent,19
Angina pectoris,12574
Angina unstable,2716
Angiocardiogram,33
Angiocentric lymphoma,302
Angiocentric lymphoma recurrent,1
Angiocentric lymphoma stage III,1
Angiodermatitis,44
Angiodysplasia,142
Angioedema,22319
Angiofibroma,68
