pt,mean_mae_rf,std_mae_rf,z_mae_rf
Haematological malignancy,0.00847187579415672,0.014519898833219544,"[-2.77176498e-02  1.18964518e-01 -3.57064094e-01 -2.92758551e-02
 -2.92403563e-01 -4.12900654e-01 -2.87252549e-01 -2.68224709e-01
 -2.86951941e-01 -3.00990364e-01 -1.39377044e-01 -4.52247843e-01
  4.55135331e+00 -4.04898115e-01 -3.43413064e-01 -9.27319426e-02
 -3.62385705e-01  4.59647104e-02 -1.62156802e-01 -3.49430649e-01
 -5.47556862e-01 -1.18840134e-01 -5.83466586e-01  2.17362053e+00
 -3.30685585e-01 -1.39749195e-03 -3.44819412e-01 -3.93714456e-01]"
Bladder cancer stage III,0.009044315331067579,0.021716449283071412,"[-0.03804534  0.00892578 -0.20377362 -0.11160388 -0.17762932 -0.30480584
 -0.1678806  -0.16167687 -0.10894514 -0.21751046 -0.10894514 -0.41647303
  5.16688627 -0.3544357  -0.24897225 -0.14483816 -0.2126361  -0.10495703
 -0.14217942 -0.28619464 -0.3172133  -0.12268198 -0.37925063 -0.02209288
 -0.28885338 -0.07482461 -0.19092303 -0.26846969]"
Prostate cancer stage IV,0.009203223665488116,0.012040730530822575,"[ 0.1197606  -0.26710551 -0.40006711 -0.47419182  2.12676021 -0.69988225
  0.06081472 -0.32441878 -0.28304164 -0.12496059 -0.03415893 -0.30625606
 -0.03003778 -0.13542557 -0.46874504 -0.55122136 -0.25128443  4.21600319
 -0.2154588  -0.56896935 -0.2997493  -0.42078689 -0.31412891  1.42942482
 -0.61668649 -0.64241746 -0.51390178 -0.00986768]"
Nocardiosis,0.009818730322390704,0.02421889174524084,"[-4.33035825e-04  2.73902329e-02 -2.84848672e-01 -7.15369448e-02
 -1.20558894e-01 -2.69391300e-01 -2.26110660e-01 -2.29202134e-01
 -1.89012968e-01 -2.78224084e-01 -3.43586683e-01 -3.74501427e-01
  4.08803026e-02 -3.17730717e-01 -2.90589981e-01 -2.16836237e-01
 -1.47057246e-01 -2.47231911e-02 -5.51962949e-02 -2.05795257e-01
 -2.90589981e-01 -1.85479855e-01 -3.52419467e-01  5.15923758e+00
 -1.42640854e-01 -8.37422459e-02 -3.68318478e-01 -1.58981504e-01]"
IgA nephropathy,0.012355923241832,0.030477134780250555,"[-4.33035825e-04  2.73902329e-02 -2.84848672e-01 -7.15369448e-02
 -1.20558894e-01 -2.69391300e-01 -2.26110660e-01 -2.29202134e-01
 -1.89012968e-01 -2.78224084e-01 -3.43586683e-01 -3.74501427e-01
  4.08803026e-02 -3.17730717e-01 -2.90589981e-01 -2.16836237e-01
 -1.47057246e-01 -2.47231911e-02 -5.51962949e-02 -2.05795257e-01
 -2.90589981e-01 -1.85479855e-01 -3.52419467e-01  5.15923758e+00
 -1.42640854e-01 -8.37422459e-02 -3.68318478e-01 -1.58981504e-01]"
Prostate cancer stage II,0.012651874420978693,0.022986676164043894,"[-0.27009908  3.61439326 -0.10504687 -0.13351871 -0.25096962 -0.44218608
 -0.46154371 -0.35277936 -0.34230326 -0.33419989 -0.30751844 -0.52039317
  3.51072488 -0.5132554  -0.37600113 -0.03363337 -0.24603179 -0.10215325
 -0.14528622 -0.26383305 -0.47453594 -0.02297676 -0.42452398  0.08039804
 -0.31349848 -0.0876978  -0.32211662 -0.35941419]"
Fulminant type 1 diabetes mellitus,0.014039405479384105,0.032302006477626696,"[-0.28250919 -0.39737556 -0.09668289 -0.28561368 -0.11752737 -0.03082322
 -0.30091442 -0.12174061 -0.27585669 -0.02483597 -0.41134579  5.15346428
 -0.32597214 -0.31931965 -0.03547996  0.08382141 -0.20755777 -0.15056808
 -0.06053768 -0.43462952 -0.10067439 -0.1827218  -0.01640948 -0.20755777
 -0.1831653  -0.21421026 -0.18626979 -0.2669867 ]"
Ultrafiltration failure,0.014630396674408044,0.036087353620396175,"[-4.33035825e-04  2.73902329e-02 -2.84848672e-01 -7.15369448e-02
 -1.20558894e-01 -2.69391300e-01 -2.26110660e-01 -2.29202134e-01
 -1.89012968e-01 -2.78224084e-01 -3.43586683e-01 -3.74501427e-01
  4.08803026e-02 -3.17730717e-01 -2.90589981e-01 -2.16836237e-01
 -1.47057246e-01 -2.47231911e-02 -5.51962949e-02 -2.05795257e-01
 -2.90589981e-01 -1.85479855e-01 -3.52419467e-01  5.15923758e+00
 -1.42640854e-01 -8.37422459e-02 -3.68318478e-01 -1.58981504e-01]"
Occupational exposure to product,0.01520061727277047,0.026213929164691743,"[-0.04563606 -0.34044113 -0.32429777 -0.17502972 -0.27907053 -0.46717578
 -0.33063351 -0.26426046 -0.21169466 -0.20134195 -0.28341895  3.30074835
  3.82507261 -0.49812568 -0.21376962 -0.26686967 -0.18792892  0.02661229
 -0.22367824 -0.53175182 -0.39461949 -0.33506543 -0.37589737 -0.02106809
 -0.39307087 -0.18981331 -0.11677858 -0.48099565]"
Venoocclusive disease,0.015710400714608993,0.03466124544072527,"[-0.17562189 -0.23489199 -0.32847636 -0.25984782 -0.03947892 -0.19121928
 -0.29215671 -0.20993616  0.11716349  0.01355223 -0.09206442 -0.30040105
 -0.1511117  -0.32847636 -0.10654771 -0.12437331 -0.16715473 -0.25093502
 -0.1421989  -0.06955961 -0.26608678 -0.22553355 -0.25360886 -0.09585236
 -0.2114959  -0.39086594 -0.38462698  5.16180659]"
Device adhesion issue,0.015896317830617963,0.018486679792785385,"[-0.13807961 -0.74434728 -0.12139202 -0.08550047  0.95083413 -0.49855859
 -0.17171332 -0.01429892 -0.07753243  0.06248052 -0.32469288 -0.47974253
  4.6734459  -0.44708394 -0.63395882 -0.35225959  0.13770385 -0.08283979
 -0.58251158  0.11665281  1.11349366 -0.4130147  -0.64329128 -0.77830453
 -0.30098795  0.46056223 -0.35245373 -0.27260914]"
Multiple use of single-use product,0.016123060998789445,0.018952748421051543,"[-0.37494896  3.48360924 -0.41127283 -0.34322714  2.61339838 -0.77220478
 -0.1956155  -0.52109776 -0.4389771  -0.32361332  1.34989503 -0.52561063
  0.07107365 -0.18106264 -0.68132523 -0.69887718 -0.39599035 -0.00630828
 -0.45660361 -0.29572441 -0.48479104 -0.31658519 -0.38005142  1.65436575
 -0.34654097 -0.0481694  -0.64290178 -0.33084253]"
Pancreatic carcinoma stage IV,0.016777685342752358,0.017003683857034334,"[-0.50573909  1.50413245 -0.35213914 -0.08899476  0.17678542 -0.55685434
 -0.47971439 -0.36370369 -0.53306208 -0.19504706  3.9578568  -0.8449826
  0.10582393 -0.54938552 -0.71423371 -0.53950184 -0.33073804 -0.22652879
 -0.37861549  0.06668148 -0.38821065 -0.08560001 -0.34589021 -0.39326176
 -0.18179165  1.94010437 -0.90875074  1.21136111]"
Hepatic cancer stage III,0.01692466558301166,0.039600122821136834,"[-3.19251274e-01  1.07562576e-01 -2.64520232e-01 -3.53237485e-01
 -2.35830573e-01 -2.66727129e-01 -3.06892652e-01 -2.14202984e-01
 -2.37375401e-01 -4.27389219e-01  5.13399083e+00 -3.51251278e-01
 -1.51747803e-01 -2.60547818e-01 -2.54368507e-01 -1.15334006e-01
 -3.01596099e-01  4.51073952e-02 -8.75271052e-02  1.93190174e-01
  8.72591249e-02 -1.01674890e-03 -1.85513325e-01 -1.30340904e-01
 -3.10865066e-01 -3.53237485e-01 -3.22340930e-01 -1.15996075e-01]"
Peritoneal dialysis complication,0.017585333859313167,0.018812187231947417,"[-0.25840698 -0.5417708  -0.10642488 -0.41411997  2.00605972 -0.48613452
 -0.3547686  -0.34365042 -0.59102105  0.19042031 -0.3491566   2.96996771
  0.10586133 -0.53153629 -0.42953309 -0.21604289  0.19301952 -0.51852279
 -0.50301143 -0.43420265 -0.34955667 -0.62287042 -0.48069008 -0.09530222
 -0.18252078  3.32906139 -0.488303   -0.49684385]"
Granulocyte count decreased,0.019474898884476927,0.04803680846158696,"[-4.33035825e-04  2.73902329e-02 -2.84848672e-01 -7.15369448e-02
 -1.20558894e-01 -2.69391300e-01 -2.26110660e-01 -2.29202134e-01
 -1.89012968e-01 -2.78224084e-01 -3.43586683e-01 -3.74501427e-01
  4.08803026e-02 -3.17730717e-01 -2.90589981e-01 -2.16836237e-01
 -1.47057246e-01 -2.47231911e-02 -5.51962949e-02 -2.05795257e-01
 -2.90589981e-01 -1.85479855e-01 -3.52419467e-01  5.15923758e+00
 -1.42640854e-01 -8.37422459e-02 -3.68318478e-01 -1.58981504e-01]"
Intercepted product storage error,0.0207586762898692,0.03145975992605751,"[ 0.18171617 -0.44458397 -0.365749   -0.53898759  3.41471584 -0.51191723
  0.04975432 -0.41324215 -0.14755659  0.21095472 -0.18980147 -0.46527904
 -0.16931455 -0.40908344 -0.33397771 -0.39013158 -0.18174537 -0.10923628
 -0.43542318 -0.30473617 -0.27997931 -0.39149247 -0.35018621  0.40990549
 -0.39842341 -0.4165808  -0.61308867  3.59346967]"
Polyomavirus-associated nephropathy,0.020793328828041042,0.047841501798712126,"[-0.28250919 -0.39737556 -0.09668289 -0.28561368 -0.11752737 -0.03082322
 -0.30091442 -0.12174061 -0.27585669 -0.02483597 -0.41134579  5.15346428
 -0.32597214 -0.31931965 -0.03547996  0.08382141 -0.20755777 -0.15056808
 -0.06053768 -0.43462952 -0.10067439 -0.1827218  -0.01640948 -0.20755777
 -0.1831653  -0.21421026 -0.18626979 -0.2669867 ]"
Intercepted medication error,0.02085706626258313,0.022356541070370318,"[-0.15334609 -0.20803028 -0.14932357 -0.17944113  0.00636892 -0.45612274
 -0.22130233 -0.1659869  -0.1968607  -0.01717553  0.86917516  4.0816507
  0.14690442 -0.5864563  -0.50577019 -0.51515867  0.11221658 -0.42894442
 -0.33868183 -0.5488902  -0.31830508 -0.53887744 -0.44112347 -0.80158078
 -0.09098166  2.62983926 -0.53280288 -0.45099283]"
Pancreatic carcinoma stage III,0.0218040026034143,0.03431243354783098,"[-0.27614121 -0.11617665 -0.46722077 -0.40638309 -0.02568685 -0.23995438
 -0.32712643 -0.43047684 -0.24779295 -0.22887718  2.62460784 -0.48301896
 -0.10556086 -0.48181959 -0.30123197 -0.26874802 -0.21299273 -0.12006872
 -0.1964666   0.07674584 -0.20117426 -0.15175445 -0.27585349 -0.17153389
 -0.31521298 -0.40298396 -0.56865991  4.32156304]"
Virologic failure,0.021874200152436744,0.03426509316075023,"[-0.44812069  4.68469004 -0.28666017 -0.1313615  -0.3267811  -0.37862013
 -0.39973502 -0.45675421 -0.30185813 -0.42114494  0.57731215  1.65838552
  0.11420312 -0.51919279 -0.46884726 -0.26667151 -0.27179574  0.0267159
 -0.29416787 -0.2050626  -0.44921215 -0.17496071 -0.44680743  0.38882155
 -0.1539909  -0.23310123 -0.48686074 -0.32842146]"
Breast cancer stage I,0.022483664409443358,0.01951195710173955,"[-0.37102793 -0.44876238 -0.15006863 -0.28174862 -0.33148028 -0.37831047
  0.12467393 -0.20369539 -0.15343285  0.01575324  1.94220831  0.92687956
 -0.99115002 -0.63565095 -0.42055049 -0.56298208  0.04121257 -0.92338557
 -0.34195179 -0.15728297 -0.22572684 -0.28091663 -0.66759295  0.35323329
 -0.13212207  0.64136777 -0.64970196  4.26221221]"
Diabetic retinal oedema,0.023001862105096926,0.05381947194224004,"[-3.19251274e-01  1.07562576e-01 -2.64520232e-01 -3.53237485e-01
 -2.35830573e-01 -2.66727129e-01 -3.06892652e-01 -2.14202984e-01
 -2.37375401e-01 -4.27389219e-01  5.13399083e+00 -3.51251278e-01
 -1.51747803e-01 -2.60547818e-01 -2.54368507e-01 -1.15334006e-01
 -3.01596099e-01  4.51073952e-02 -8.75271052e-02  1.93190174e-01
  8.72591249e-02 -1.01674890e-03 -1.85513325e-01 -1.30340904e-01
 -3.10865066e-01 -3.53237485e-01 -3.22340930e-01 -1.15996075e-01]"
Intercepted product administration error,0.02349973465661475,0.021609117130363224,"[-0.27662314 -0.57143835 -0.08695313 -0.17333528  0.13090653 -0.56356818
 -0.40276906 -0.2297705  -0.28326963  0.1830909  -0.43786009  2.91518935
 -0.01397    -0.491595   -0.4653965  -0.34377783  0.34292215  1.69357169
 -0.24726804 -0.45744404 -0.45112734 -0.5982034  -0.55425969 -0.77750246
 -0.19470424  3.49162772 -0.45709754 -0.67937488]"
Immune-mediated hepatic disorder,0.023557998215165906,0.04160130787659639,"[-0.46235951  0.13116623 -0.2837958  -0.34621562 -0.12649603 -0.49301749
 -0.16222748 -0.06001594 -0.27398531 -0.27962458  1.51925589 -0.2948107
  0.10450114 -0.05039056 -0.20951511 -0.29975273 -0.13475362  4.84004208
 -0.28966001 -0.32856825 -0.21025225 -0.42212573 -0.46553375 -0.05816106
 -0.18360054 -0.50631358 -0.35689074 -0.29689897]"
Skin hypopigmentation,0.024119361478623903,0.056434183129717264,"[-3.19251274e-01  1.07562576e-01 -2.64520232e-01 -3.53237485e-01
 -2.35830573e-01 -2.66727129e-01 -3.06892652e-01 -2.14202984e-01
 -2.37375401e-01 -4.27389219e-01  5.13399083e+00 -3.51251278e-01
 -1.51747803e-01 -2.60547818e-01 -2.54368507e-01 -1.15334006e-01
 -3.01596099e-01  4.51073952e-02 -8.75271052e-02  1.93190174e-01
  8.72591249e-02 -1.01674890e-03 -1.85513325e-01 -1.30340904e-01
 -3.10865066e-01 -3.53237485e-01 -3.22340930e-01 -1.15996075e-01]"
Lung carcinoma cell type unspecified stage I,0.024293377128827766,0.04428295676152263,"[-0.26187462  0.25346946 -0.31413176 -0.29067053 -0.2852191  -0.38991049
 -0.25095827 -0.484534   -0.27854946 -0.5122074   4.66237938 -0.32601019
  0.14311064 -0.36241929 -0.38745533 -0.30486534 -0.34864256  0.13560947
 -0.06174908 -0.14407818 -0.29401705 -0.0764402  -0.45541569  1.90047044
 -0.35678307 -0.37178789 -0.47854073 -0.05877917]"
Mucormycosis,0.025411298410172232,0.04556105304668831,"[-0.33803204  4.0401673  -0.3448429  -0.2771851  -0.28375202 -0.28277427
 -0.43474761 -0.37219886 -0.22220212 -0.32653491 -0.10660133 -0.48094323
 -0.06381877 -0.47551072 -0.196429   -0.02505944 -0.35025644 -0.26698803
 -0.16994547 -0.04944349 -0.39370117 -0.20002528 -0.2769618  -0.0973345
 -0.19477075 -0.3996349  -0.45937548  3.04890231]"
Renal cancer,0.025724283560350388,0.04584466558097191,"[ 0.15200902 -0.23301286 -0.25351534 -0.20537805 -0.47081989 -0.22937855
  5.06435817  0.16006751  0.00736022 -0.32048667 -0.44322145 -0.51945512
 -0.51568432  0.24321004 -0.20645415  0.03770397  0.04736206 -0.51937728
  0.09497262  0.11693914 -0.27513193 -0.07916116 -0.26226998 -0.38741733
 -0.23182306 -0.46697971 -0.0609198  -0.24349609]"
Oesophageal carcinoma,0.026383958844085904,0.029631563952750066,"[ 0.12522739 -0.86932552 -0.15716992 -0.5045872  -0.51919458 -0.60639762
 -0.35085349 -0.00599627 -0.24557928  0.27562074 -0.71155525 -0.85799901
 -0.69013676  1.79500955 -0.51880071 -0.56872936  0.23020465  0.01021612
 -0.02024475  4.44123516 -0.38933016 -0.14898743  0.0981957  -0.11749151
  0.32996768  0.51037116 -0.39352738 -0.14014195]"
Abortion incomplete,0.0266823300341393,0.041989339886353484,"[-0.27614121 -0.11617665 -0.46722077 -0.40638309 -0.02568685 -0.23995438
 -0.32712643 -0.43047684 -0.24779295 -0.22887718  2.62460784 -0.48301896
 -0.10556086 -0.48181959 -0.30123197 -0.26874802 -0.21299273 -0.12006872
 -0.1964666   0.07674584 -0.20117426 -0.15175445 -0.27585349 -0.17153389
 -0.31521298 -0.40298396 -0.56865991  4.32156304]"
Device mechanical issue,0.026949325585092828,0.02614931202952579,"[-0.47078708  3.01563574 -0.29210333 -0.31342392 -0.15611067 -0.81591404
 -0.69927518 -0.68606302 -0.29950215 -0.50851603 -0.99283452  0.56294279
  2.46118469 -0.5699506  -0.52746351 -0.56971199 -0.33931427  0.78359042
  0.29098435 -0.48832447 -0.6974394   0.16346354 -0.45398684  2.32424778
 -0.21070277 -0.36569401 -0.72542974  0.58049821]"
Viral mutation identified,0.027018060250431308,0.06321652259882161,"[-3.19251274e-01  1.07562576e-01 -2.64520232e-01 -3.53237485e-01
 -2.35830573e-01 -2.66727129e-01 -3.06892652e-01 -2.14202984e-01
 -2.37375401e-01 -4.27389219e-01  5.13399083e+00 -3.51251278e-01
 -1.51747803e-01 -2.60547818e-01 -2.54368507e-01 -1.15334006e-01
 -3.01596099e-01  4.51073952e-02 -8.75271052e-02  1.93190174e-01
  8.72591249e-02 -1.01674890e-03 -1.85513325e-01 -1.30340904e-01
 -3.10865066e-01 -3.53237485e-01 -3.22340930e-01 -1.15996075e-01]"
Bile duct cancer,0.027156306159140494,0.043588085836637404,"[-0.41890982 -0.23598324 -0.20492012 -0.41863619 -0.31952488 -0.28230819
 -0.35139522 -0.24970818 -0.41943379 -0.25748774  2.60147846  4.35789896
 -0.14736432 -0.45820219 -0.1989472  -0.0917828  -0.35774147  0.07591766
 -0.18162814 -0.39259315 -0.1173829  -0.26747226 -0.31134399 -0.24703693
 -0.21227159 -0.38583126 -0.34395333 -0.16343618]"
Factor VIII inhibition,0.027925971714259108,0.04760953646676519,"[-0.35950911 -0.17161994 -0.42562884 -0.4065815   4.28310377 -0.55883003
  0.02051444 -0.01945994 -0.36777177 -0.19364742  2.66493229 -0.46668418
 -0.16512931 -0.20762454 -0.47583433 -0.38213928 -0.22065267  0.1454442
 -0.49196415 -0.26286506 -0.16230952 -0.2821317  -0.29651776 -0.23476071
 -0.4093929  -0.19620135 -0.2087807  -0.147958  ]"
Hepatitis B reactivation,0.027973203968941436,0.050034309679970676,"[-0.37548241 -0.31033751 -0.29636141 -0.2969748   0.05111656 -0.29958911
 -0.45738652 -0.18615103 -0.17089561 -0.08806554 -0.14135385 -0.41950581
 -0.08734967 -0.31617263 -0.26062098 -0.23941231 -0.12932512 -0.30075852
 -0.17192827 -0.13661581 -0.30537962 -0.26894922 -0.20368296 -0.21229999
 -0.0604947   1.10491708 -0.41867497  4.99773472]"
Device electrical finding,0.028206056325650843,0.0648967803855642,"[-0.28250919 -0.39737556 -0.09668289 -0.28561368 -0.11752737 -0.03082322
 -0.30091442 -0.12174061 -0.27585669 -0.02483597 -0.41134579  5.15346428
 -0.32597214 -0.31931965 -0.03547996  0.08382141 -0.20755777 -0.15056808
 -0.06053768 -0.43462952 -0.10067439 -0.1827218  -0.01640948 -0.20755777
 -0.1831653  -0.21421026 -0.18626979 -0.2669867 ]"
Gastric cancer stage IV,0.028394688693490048,0.03749320732904978,"[-0.08717841 -0.31419818 -0.46620022 -0.3387056   0.03047962 -0.42290499
 -0.33129044 -0.2642281  -0.26201456  0.11175882  0.0612615   0.94179717
  0.10858122 -0.62789995 -0.3310734  -0.30479634 -0.17452058  1.76723786
 -0.26494226 -0.38665788 -0.34519979 -0.35506972 -0.48657053  0.08478261
 -0.58413027 -0.64239299 -0.6524249   4.53650034]"
Transplant,0.02854602891723342,0.043419771479153636,"[ 0.00528038 -0.06041994 -0.27865854 -0.39693938  4.29381855 -0.6043022
 -0.04051453 -0.52819791 -0.35520972  0.04860183 -0.06368299 -0.49333817
  2.28936304 -0.41467365 -0.55752538 -0.26600839 -0.11052496 -0.13769136
 -0.40577517 -0.49591366 -0.53387511 -0.55277073 -0.558418    0.95818918
 -0.38649392  0.06974313 -0.18692786 -0.23713455]"
Vascular stent thrombosis,0.030152674919937155,0.052628313515474145,"[ 0.1068724  -0.10242703 -0.38400982 -0.35037408  2.58831425 -0.5054376
 -0.07936377 -0.4593777  -0.22765525 -0.00615155 -0.257541   -0.39083812
 -0.07247398 -0.32798037 -0.47976968 -0.3280425  -0.21986757 -0.19479821
 -0.25373666 -0.43032798 -0.28601883 -0.43417496 -0.39655241  4.33799698
 -0.27480381 -0.09864003 -0.36958436 -0.10323635]"
Ocular toxicity,0.030395317781735227,0.07111858792367431,"[-3.19251274e-01  1.07562576e-01 -2.64520232e-01 -3.53237485e-01
 -2.35830573e-01 -2.66727129e-01 -3.06892652e-01 -2.14202984e-01
 -2.37375401e-01 -4.27389219e-01  5.13399083e+00 -3.51251278e-01
 -1.51747803e-01 -2.60547818e-01 -2.54368507e-01 -1.15334006e-01
 -3.01596099e-01  4.51073952e-02 -8.75271052e-02  1.93190174e-01
  8.72591249e-02 -1.01674890e-03 -1.85513325e-01 -1.30340904e-01
 -3.10865066e-01 -3.53237485e-01 -3.22340930e-01 -1.15996075e-01]"
Appendix cancer,0.031582771083620294,0.05095368801472118,"[-2.69331992e-01 -3.18144505e-01 -5.55618811e-01 -4.10149518e-01
 -2.60756195e-01 -5.08955906e-01 -2.28843961e-01  1.88511626e-01
  2.65974081e-02 -4.97970329e-01  3.33133096e-03 -2.61682456e-01
 -3.29571234e-01 -2.40254541e-02 -2.72911673e-01 -1.69134618e-01
 -7.89756905e-02  1.37613552e-01  1.66786872e-01 -3.94728570e-01
  4.86008840e+00 -6.60970635e-02 -3.93607534e-01  1.29524900e+00
 -2.47429059e-01 -3.19938471e-01 -5.69318098e-01 -5.00987050e-01]"
Arteriovenous fistula site complication,0.031663139632947875,0.052941974170659344,"[-0.27201732 -0.10623928 -0.31972836 -0.22039572 -0.1321241  -0.25764868
 -0.28147516 -0.32514168  0.01425071 -0.1439548  -0.10158939 -0.51983705
  3.98074689 -0.5759446  -0.24028096 -0.25235997 -0.22913238 -0.02784308
 -0.36560717 -0.21072422 -0.43541245 -0.38711974 -0.36824758 -0.30657408
 -0.39021441 -0.27867927 -0.36598698  3.11928085]"
Wrong technique in device usage process,0.03228161578976101,0.017523863603826597,"[-0.64010983  0.81231014 -0.50325022 -0.59206861  0.97561266 -0.45268251
 -0.26987891  0.2851571   0.38706411 -0.25763921 -1.44035237 -0.00390188
 -0.72190104 -0.60391369 -0.29027711 -0.15004706  0.29736417 -1.04824399
 -0.49437515 -0.09808749  3.65193308 -0.0984267  -0.7495212   0.56435701
 -0.35441247  2.34141513 -0.66513909  0.11901514]"
Unintentional medical device removal,0.03243825195424298,0.031549211763813784,"[ 0.14296513  0.77469493 -0.08782245 -0.45055653  3.12312106 -0.57301043
 -0.11630268 -0.42972592 -0.22406555  0.17217219 -0.88883046  1.4368026
 -0.3467452  -0.47481165 -0.45541549 -0.55147705  0.07711911 -0.35095025
 -0.42286622 -0.5957923  -0.58711976 -0.33213105 -0.31694037  3.31383657
 -0.33724155 -0.53159738 -0.61161142 -0.35569787]"
Tumour pseudoprogression,0.03369709493254939,0.05302830639210244,"[-0.27614121 -0.11617665 -0.46722077 -0.40638309 -0.02568685 -0.23995438
 -0.32712643 -0.43047684 -0.24779295 -0.22887718  2.62460784 -0.48301896
 -0.10556086 -0.48181959 -0.30123197 -0.26874802 -0.21299273 -0.12006872
 -0.1964666   0.07674584 -0.20117426 -0.15175445 -0.27585349 -0.17153389
 -0.31521298 -0.40298396 -0.56865991  4.32156304]"
