pt,mean_mae_xgboost,std_mae_xgboost,z_mae_xgboost
Appetite disorder,0.03235171398752459,0.03009404392075947,"[ 1.16614326  0.12454145 -1.03758331 -0.42840647  1.05506463 -0.9709684
  0.71182562 -0.36057148  0.73859583  0.85786828 -0.71866141  0.38605724
 -0.09151498 -0.81353562 -0.85160915 -0.54923102  0.91087346 -1.05759122
 -0.18202203 -0.4753669  -0.88926387  0.53106142 -0.91088768  3.52204455
  0.00365447 -0.60304061 -1.06988027  1.00240422]"
Chemotherapy,0.03236429999185707,0.026501460653793076,"[-0.01372822 -1.13769626 -1.20095311  0.83460998 -0.2370399  -1.09395328
  0.18353696  0.03319576 -1.03209429  0.73930729  1.49599281  0.24664665
  0.48614404  0.00695345 -0.90842279 -1.03874487  0.84431615 -0.94794764
 -0.1260474   0.1311561  -0.02067701 -0.24385167 -0.25460437  2.02537203
 -0.1350458   3.11072558 -1.13350609 -0.6136441 ]"
Arthritis infective,0.03246833908791151,0.02578111170940568,"[ 0.40636737  2.03458936 -1.10976083  0.66066671 -1.2347643  -0.94196982
 -0.65510074 -0.60218865 -0.42651505  0.27670894  1.89707883  0.35264121
  1.50200714 -1.20650133 -1.19417911 -0.43835252  0.1742392  -1.11812867
  0.00583371 -0.83874109 -0.37985757  1.25638575 -0.89164875  1.70648656
  1.2173687   0.44893135 -0.38793698 -0.51365943]"
Partial seizures,0.032522099292057946,0.03482603154687752,"[ 0.11582314 -0.28105511 -0.69254051 -0.67886514 -0.90846164 -0.83892507
  0.17729476 -0.38425828 -0.0651791   0.01221607  2.64659396 -0.57128156
  1.2081259  -0.87502002 -0.25761126 -0.82725602 -0.41990193 -0.05822259
  1.07768268  0.73994155 -0.34332585  0.29173592 -0.82870295  3.30682977
  0.27764549 -0.56112623 -0.78245397 -0.47970202]"
Dyskinesia,0.032597882546430514,0.02924517434878183,"[ 0.26940758 -0.37162403 -1.05930354  0.50245893  0.24370891 -1.00298804
  0.56742235 -0.64916646 -0.29217158  0.36683102  0.82876528  2.39408254
 -0.77137876 -0.70648453 -0.85439571 -0.85553354  1.23974443 -0.6335299
  0.01895098 -0.42506507 -0.7333103   0.68587294 -0.68036095  3.17001562
 -0.61433555  0.54356037 -1.03869468 -0.1424783 ]"
Limb operation,0.03287808240757191,0.03172834767723519,"[ 0.22839578  0.18330357 -0.95635907  0.27118437 -0.49513648 -0.99914623
 -0.27658763 -0.69316067  0.02547712  0.30678485  4.21282097  1.42090285
 -0.64607688 -0.75471144 -0.39790873 -0.83746761 -0.46979039  0.52163233
 -0.39650636 -0.38423377 -0.88509175  0.07951989 -0.35816682 -0.0701536
  0.25321117  1.20467252 -0.34171609  0.2543081 ]"
Self-injurious ideation,0.03300666840873511,0.04021547839637756,"[ 1.01629212 -0.36194046 -0.6679832  -0.23703468 -0.02478068 -0.55807794
  0.21088032 -0.23433711 -0.71528199 -0.07428302  0.64492154  0.36625615
 -0.50515863 -0.28741049 -0.71982665 -0.37611665  1.42659366  0.17059796
  0.04543623 -0.74109448 -0.76463731 -0.09041182 -0.81517871  4.3552509
 -0.57856498  0.46729221 -0.54946661 -0.40193566]"
Biliary tract disorder,0.03305930095656654,0.025684505166200383,"[ 0.34851251 -0.10595048 -1.12047372 -0.19348481  1.4530133   0.16023858
  0.06838022  0.04117921 -0.58841191  0.22894634  1.42266215  3.51977281
 -0.55889119 -1.19216245 -0.39019495 -0.47923582  0.52727956 -1.23119685
 -0.93596187  0.05122369 -0.12271051  0.14720764  0.60836801 -1.19006235
 -1.0002174   1.30636112 -0.41768431 -0.35650653]"
Hip fracture,0.03313907984146156,0.031111822240416937,"[ 0.74299203 -0.26276761 -0.75829967  0.39019813 -0.99687324 -1.01613384
  0.12921857 -0.21572712  0.07329902  1.07704347  1.445094    1.86767292
 -0.67387884 -1.06493781 -0.88812237 -1.02315778  0.58786056 -0.92346361
  0.98288859 -0.83985479 -0.71799691  0.32851484 -0.82788538  2.55404922
 -0.53315948  1.5346724  -1.02575186  0.05450656]"
Pelvic prolapse,0.03318964826342249,0.03653499326343569,"[ 1.88494153  0.08154922 -0.69708583 -0.62496203  1.10966036 -0.6620624
 -0.43746743 -0.81131179 -0.55744958  1.77231413  1.19106412  0.02135102
 -0.4754823  -0.42103358 -0.52830416 -0.82595087  0.55848068  0.65167971
 -0.18312651 -0.8360537  -0.6733497  -0.63000366 -0.67324585  3.19278802
 -0.8518147   0.56607901 -0.84004312 -0.30116058]"
Tardive dyskinesia,0.03323100430762778,0.026625226264331642,"[ 0.46373492 -1.09359355 -0.92185115  0.26996536  1.52269389 -1.02010101
  0.43310776 -0.26101594 -0.29287225  1.81291257  2.07817648  1.53346817
 -0.2315351  -0.93011636 -0.72161916 -0.74760884  0.86077963 -0.23661575
 -0.54216152 -1.16323496 -0.16751521 -0.25767272 -0.56344125  1.82573937
 -0.59998075  1.07388556 -0.89877903 -1.22474917]"
Drug tolerance,0.03327981482576341,0.02486576597519593,"[-0.16710941 -0.9067386  -1.11129442  0.10972192  1.37132272  0.20698367
  0.6760758  -0.69566994 -0.91728118  1.55430018  1.43973501  1.29235264
 -0.20093976 -1.31621867 -0.91693837 -1.07003501  1.11150064 -0.93612777
 -0.47272236  0.44155017 -0.65626887  0.71083696  0.0805842  -1.100089
 -0.00618759  0.41246481 -1.31869203  2.38488427]"
Pulmonary hypertension,0.03328199104361831,0.026928093490056662,"[ 0.89452511 -0.6013658  -0.24658408  0.00834294 -0.10989862 -1.19428461
 -0.10356873  0.03713664 -0.20261673  0.34381217 -1.03019462  1.94584231
 -1.08796526 -1.21551642 -0.90947369 -0.7146913   1.31133216  0.39624067
  0.79709641  0.31340596 -0.61535473  0.31023055 -0.83704877  3.17054501
 -0.52666639  0.8730843  -1.1875577   0.18119323]"
Throat cancer,0.03334236996586141,0.030404802648761085,"[ 0.13132744 -0.47512411 -0.94294541 -0.15901203  0.56865487 -0.89907698
  0.30796726 -0.20764543 -0.22479143  0.12503097  4.17386108  0.78986671
 -0.11750701 -0.97685716 -0.81391352 -0.87429145  0.79389983  1.10029649
 -0.59265885 -0.0254732   0.17202876 -0.15033611 -0.47458985  0.96240303
 -0.60919294 -0.12553694 -1.06208376 -0.39430027]"
Pyoderma gangrenosum,0.033382039123173585,0.03741534768489151,"[ 0.79284006  1.4752211  -0.82081097 -0.34236184  0.66556767 -0.80887564
 -0.43162266 -0.07829094  0.39342803 -0.2345026   3.99569619  1.36790802
 -0.27428907 -0.63690426 -0.57158977 -0.07674484 -0.60576522 -0.65526519
 -0.806956   -0.37574472  0.27696005  0.40035712 -0.49554104 -0.82784243
  0.46799279 -0.80733764 -0.75872235 -0.22680384]"
Somnambulism,0.0334913217828476,0.028256521633799787,"[ 0.74815394 -0.57696116 -0.99521405  0.56140625  0.2925507  -0.89284503
  0.45982396 -0.65092956  0.08789178  0.10327802 -0.82860056  2.60164515
  0.42240682 -0.80807093 -0.61702828 -0.60940394  1.02137777 -0.6970976
 -0.26785745 -0.57029106 -1.11086269  0.27875691 -0.79148311  2.63216909
 -0.81842498  0.74193668 -1.11786059  1.40153388]"
Haemorrhage,0.03356219604307927,0.027086533462725437,"[ 0.66425828  0.56482197 -0.8077096   0.45409311 -0.4519267  -1.22776904
  0.26604296 -0.57147757 -0.39767425  0.05582433  0.39148565  2.21981878
 -0.74749354 -1.10380918 -1.01946262 -0.89487738  1.05617074 -0.08551763
  0.12992882 -0.58916298 -0.27461897  0.80622582 -0.74450497  3.15643246
 -0.12301453  0.98747122 -1.19204769 -0.52150747]"
Cystitis noninfective,0.03367137661542046,0.03922983902802821,"[ 0.56001861  0.6116827  -0.76018777 -0.44999169  0.45705148 -0.83497411
 -0.71710717 -0.03902952 -0.32558827  0.53346314 -0.15010024  2.72276957
 -0.81378542 -0.77898195  0.32651612 -0.57204995  0.30707758  3.53395062
 -0.6420833  -0.79410307 -0.76395097 -0.62449044 -0.23824733 -0.2257185
 -0.84138902  0.25173556  0.31556839 -0.04805505]"
Potentiating drug interaction,0.033723281055665376,0.026842259653392736,"[ 1.0414049  -1.09613904 -0.26044982 -0.64781249  2.29175697 -1.18403795
  0.38456189  0.14822724 -0.82549135 -0.64365474  0.50193927  0.21162737
 -1.18505651 -0.8776567  -0.5123302  -0.70331402  1.54980645  0.27105521
 -0.77890083  0.40447632 -0.08245196 -0.49509497 -0.97686935  2.56668524
  1.19235806 -0.4410085  -0.76694447  0.91331397]"
Bone neoplasm,0.03377894683603234,0.03134456346344933,"[ 0.2898466  -0.73547415 -0.7976482  -0.33275078  0.07801323 -0.82137974
  0.34142211 -0.28568775 -0.75847646  0.32498728 -0.48846935  3.69927047
 -0.67130527 -1.04339104 -0.2049104  -0.2375707   1.714112    0.37675021
 -0.2677405  -0.50256934 -0.07354143  0.11357355 -0.78847586  1.80179705
 -0.80356469  0.26038105 -0.95540538  0.76820748]"
Blood calcium increased,0.033873659420669465,0.025472066960303654,"[ 0.62607788 -0.35624661 -0.89517048  0.39143859 -0.27515663 -0.80332624
  0.55992694 -0.46807051  0.09819867  1.61929671  1.91247784  1.88926951
 -1.27571473 -1.27421002 -1.13957543 -0.49733653  0.64753304  0.13913704
 -0.24699818 -1.14943909 -1.32134076 -0.1050395  -0.69327339  2.04832769
 -0.27574413  1.42210352 -0.5100567  -0.06708849]"
Reduced facial expression,0.03391892240875868,0.03942570163470794,"[-0.66575557 -0.73439131 -0.63327926 -0.41018041 -0.54331757 -0.79969432
 -0.22961434  0.31327689 -0.78050951 -0.42904631 -0.49478287  0.65908403
  1.71726341 -0.27694387 -0.61945119 -0.38448345 -0.11342169  1.15607453
 -0.1312354  -0.26044233 -0.53550208 -0.77115948 -0.51791968 -0.26459443
  0.84339172  3.45143048 -0.68594746  2.14115149]"
Personality change,0.03400055749947969,0.033804988922197535,"[ 0.7918731   0.42465974 -0.42410459  0.03532606 -0.4210443  -0.8967706
  0.43309882 -0.70728841 -0.10603093 -0.44329044  2.7177339   0.43414683
 -0.68248219 -0.14644253 -0.8758384  -0.99484894  0.72540444 -0.62433634
  0.68334595 -0.89906595 -0.77037198  0.47497019 -0.66113851  3.26820647
  0.39134558 -0.47159573 -0.73623198 -0.51922925]"
Electrocardiogram abnormal,0.034100865549452825,0.025588477623772508,"[ 0.22467714  3.42217468 -0.55518694  0.20028006 -0.00568295 -1.21273714
 -0.15317443  0.23050067 -0.25569269  0.50968885  0.52243833  1.66037781
  0.88027909 -1.24883538 -1.16637009 -0.45835551 -0.45249544 -1.27556235
 -0.80098754 -0.78120487 -0.09197416  1.02579687  0.49417811 -0.38494094
  1.21852027 -0.57200215 -0.84725379 -0.1264555 ]"
Glossitis,0.03411427647015893,0.03525702395977114,"[ 1.09829123  0.36046212 -0.68497672 -0.84269105  0.63539941  0.07636235
 -0.35621836  0.85360015 -0.39649018  0.11325185  4.15913376 -0.52840409
  0.96217361 -0.36867504 -0.62915475 -0.88985467 -0.07246537 -0.17897804
 -0.50391286  0.9929441  -0.34961333 -0.63630961 -0.4289096  -0.1363414
 -0.83084713 -0.81606261 -0.8832164   0.28150263]"
Anxiety disorder,0.03411452747346993,0.037475440600465496,"[-0.2755376  -0.58793867 -0.54344803  0.04731071  0.49218948 -0.66947007
  0.15524723 -0.67291869 -0.53524115  0.61919533  3.22678743  1.90192957
 -0.7846142  -0.42555404 -0.64272938 -0.81482252 -0.10427869 -0.89346356
  0.32458963 -0.63392442 -0.55951097  0.09106185 -0.23980993  0.85334168
 -0.6152773   2.45936675 -0.55075767 -0.62172277]"
Failure to thrive,0.0341353043539649,0.030932923173267374,"[ 1.27047419 -0.89279626 -0.97423056  0.47705235 -0.72342345 -1.0061171
  0.06592394 -0.76996909  0.00921347  0.48952891 -0.38410889  1.37231302
 -0.66180438 -0.7929412  -0.72951347 -0.82973818  1.12278045  2.34333911
  0.45400386 -1.01681437 -0.0577868   0.60169266 -0.83756844  2.39662566
 -0.68703322  1.16655201 -0.92417326 -0.48148094]"
Chromaturia,0.03421103968220246,0.029550706875642117,"[-0.06075999  0.62252172 -0.94797649 -0.12563598 -0.07570416 -1.12859894
  0.12501094  0.10799452  0.60709219  1.19139619  3.57799531  2.15296347
 -0.40433599 -1.14312585 -0.69299178 -0.65174932  0.0089464  -0.33629004
 -0.79509544 -0.59291418 -0.6409774   0.47407301 -0.31513822  0.01135592
  0.28458293  0.53000605 -0.84490951 -0.93773536]"
Generalised oedema,0.03427433083977251,0.028436846057777073,"[-0.13537818  0.64517497 -0.72723732  0.0230233   0.96391054 -1.13885838
 -0.79069274 -1.17907799 -0.14822354  0.94646589 -0.42310284  1.98175383
 -0.09370611 -1.13301359  0.21034549 -0.95789094 -0.1772015   1.24448352
 -0.38472128  0.21732895 -1.00065146  1.04605994 -0.39728204 -1.01299593
 -0.29355473  0.97949165 -1.12087712  2.8564276 ]"
Adrenal insufficiency,0.03438779003735062,0.04093032201126297,"[-0.12486579 -0.06703933 -0.75079995 -0.13237775 -0.47275069 -0.77669789
 -0.28229524 -0.4889214   0.02095274  1.00208272  4.40100368  1.354358
 -0.75912668 -0.57398738 -0.25617983 -0.49469221 -0.18595923  0.19190432
 -0.79499103  0.15763727 -0.46211039  0.22486268 -0.22010209 -0.72172759
  0.04572058  0.96566322 -0.31782476 -0.48173598]"
Acute respiratory failure,0.03440986147966025,0.025974798379023514,"[ 0.46261382  0.369715   -0.4219457   0.26023569 -0.88412998 -1.31584645
  0.11765715 -0.29783075  0.33137201 -0.86855984 -0.09560979  2.30301077
 -0.91805887 -1.11877977 -0.62117699 -1.07604633  0.06633715 -0.53545579
  0.5841087  -0.9472982   0.89886124  0.90419502 -0.9801447   2.4481765
  0.68312604  1.58322717 -1.3189945   0.38724138]"
Hypersomnia,0.034421478707955706,0.03218550956859595,"[ 0.54316172 -0.76955204 -0.98455031 -0.03893724  0.50927102 -1.06208535
  0.57292329 -0.39890975 -0.27276903  1.32867319  1.42626431  1.25036819
 -0.96988056 -1.00521759 -0.85550851 -0.46265733  1.41234806 -0.83584603
  0.09203742 -0.96132585 -0.24018032 -0.17253838 -0.77793416  2.83340726
 -0.78523404  1.49627546 -0.85446431 -0.01713912]"
Orchitis,0.03449125323273544,0.043846875254102684,"[-0.10553907  3.25161378 -0.72111723 -0.35271067 -0.67784624 -0.57900713
 -0.59334803 -0.16540599 -0.14511943  0.25166607  2.94193386  0.28169567
  0.6445542  -0.70355007 -0.60714278 -0.68890901 -0.70033401 -0.41602161
  0.02333529  0.35690397 -0.66562854  0.69755511 -0.16910483 -0.69547368
  1.28207196 -0.73539377 -0.72541392 -0.28426391]"
Gastrointestinal infection,0.03450466153588432,0.033226046484190926,"[-0.425676   -0.02988878 -0.8906527   0.76869647  0.15155829 -1.03409935
  0.30651816 -0.12382145 -0.11679475  1.66913806  1.53893809 -0.22232533
 -0.44136999  0.08020333 -0.9762295  -0.88200223  0.74487285 -0.542698
 -0.55924859 -0.76715023 -0.92003655 -0.10713194 -0.61229873  1.64463624
 -0.00612448  3.3292075  -0.60330421 -0.97291618]"
Suicidal behaviour,0.034559675335636426,0.03390574331388379,"[ 0.8955709  -0.3290351  -0.69044352  0.12635965 -0.73464519 -0.92705965
  0.28717791 -1.01425668 -0.29858206 -0.05930896  1.04411474  0.37791036
  1.38442663 -0.64699136 -0.78183792 -0.97376718  1.50931256  0.62517599
 -0.12535683  0.01602975 -0.66174332  0.45772907 -0.84156304  3.44441822
 -1.00796138 -0.96107699 -0.7698861   0.65528951]"
Pupil fixed,0.03456606909665944,0.0437141716420096,"[-0.66555117  0.07093896 -0.21815723 -0.63884729  0.63872648 -0.7136342
 -0.26321292 -0.72673566 -0.16325317  1.39720161  2.09887638 -0.26982351
  3.9479756  -0.42046908 -0.47433559 -0.65084931  0.68464007 -0.37729427
  0.24628862 -0.24009544 -0.60652467 -0.41877991 -0.51826272  0.24577458
 -0.48104301 -0.71182732 -0.1918442  -0.57988161]"
Blood glucose fluctuation,0.0345702480497496,0.031226544741152773,"[ 0.29395061 -0.34428396 -0.39359217  0.32817685 -0.58187761 -0.68045668
  0.37793306 -0.75517995  0.23656883 -0.06946839  2.64243963  0.29720133
  2.98669876 -0.62269849 -0.99898859 -0.40231     0.36848508  1.80271061
 -0.18579967 -0.81729824 -0.8933247  -0.1991145  -1.06590724  0.37213569
  0.62710954 -0.64522552 -0.82222205 -0.85566222]"
Aortic aneurysm,0.0345996849914662,0.033874899300314315,"[ 0.80353203 -0.1362908  -0.51776077  0.11098756  0.23522168 -0.74988069
  0.10519402 -0.42598639  0.16025469 -0.16471242 -0.14708541  4.16161676
 -0.95989953 -0.72100001 -0.13863012 -0.60694427  0.78778635 -0.78067471
 -0.94774126 -0.58029562 -0.65313175  0.09718344 -0.10926831  1.96684212
 -0.1138063  -0.11089882 -0.11386437 -0.45074709]"
Decreased appetite,0.03465495209685374,0.027504173295741247,"[ 0.46422821 -0.49031308 -1.16824813  0.55816307 -0.11380155 -1.19646704
  0.66360138 -0.72059948 -0.00352587  0.39330381  1.98547523  1.34640097
 -0.61988635 -1.14616682 -1.10416344 -0.48095746  0.99620943 -1.09799028
  0.48999724 -0.39590321 -0.22570424  0.33878847 -0.82062835  2.93810434
 -0.12113454  1.05205075 -0.93526963 -0.58556341]"
Blood blister,0.03481662654786315,0.0293066569611105,"[-0.15579928 -0.35894583 -0.96354145  0.1731836   0.0811944  -0.86662107
  0.29279558  0.414711   -0.06680217  1.23183319  3.26287312  1.7004371
 -0.85799842 -1.11077321 -1.17245259 -0.21906303  0.77027821  0.28022138
 -0.0512856  -1.09666738 -1.13881702  0.01045386 -0.46564907  1.16772473
 -0.58159839  0.96916492 -1.17618971 -0.07266688]"
Catheter placement,0.034826491719002935,0.027308451961335793,"[ 0.17153142 -0.8393764  -0.69119862 -0.13056187  0.34209049 -0.7065954
  0.01072699 -0.45187307  0.36207957 -1.16302335  0.69189391  0.32757445
  1.28661708 -1.0164445  -1.06663666 -0.46619913  0.91849597  1.6730679
 -0.87298583 -1.25378442  1.54148786  0.25150284 -0.98800895  1.59608911
 -0.57510866 -0.66413326 -0.825678    2.53845054]"
Chronic sinusitis,0.034855001012074935,0.031575895018017955,"[-0.22462487  0.80100958 -1.08887908 -0.5047649  -0.68705901 -1.01071103
 -0.29506933  0.95985745 -0.072873   -0.23927432  1.69828788  0.19782452
  1.3308089  -0.43740447 -0.9959899  -0.60758814  0.46489974  3.53972014
 -0.13732619 -0.97640834 -0.85483106 -0.63286773 -0.62963943  0.38662609
  0.6374884   0.63285606 -0.81099446 -0.44307351]"
Breast disorder female,0.034884586196858434,0.03233590609485406,"[-0.57602501 -0.02997047 -0.70106499 -0.52117612  0.1383201  -0.8586336
 -0.20946677  0.17558387 -0.93078629  1.67838665  2.12536233  1.63929272
  0.4663445  -0.97061508 -0.9696787  -0.50516687  0.52646666  1.60117804
  0.17526625 -0.97163436 -0.25994215 -0.77465803 -0.92513283  0.16697805
 -0.75131355  2.47676503 -0.7225594  -0.49211995]"
Localised oedema,0.034899131243871166,0.026512027104407355,"[ 0.58652351 -1.24712438 -0.7430299  -1.01601768  0.50542248 -1.09100439
  0.0659809  -0.5904793  -0.61972579  1.28574483  1.8718206   1.18084964
 -0.78278921 -0.85692721 -1.30536504 -0.77543147  0.71349224  1.93070073
  0.39548398 -0.19786583 -0.50726301 -0.27216388 -0.9568026   1.39629207
 -0.73135156  1.91997792 -0.44505668  0.28610902]"
Movement disorder,0.03495634764193526,0.029619964551638664,"[ 7.01577502e-01 -2.07315354e-01 -9.88234908e-01 -1.75079436e-01
 -8.58856956e-01 -1.16726499e+00  6.88877794e-01 -5.29926024e-01
 -4.60508326e-01 -5.00895681e-01  1.90731098e+00  8.55866957e-01
 -1.17986848e+00 -7.14314856e-01 -8.35188115e-01 -8.70172242e-01
  8.48565513e-01  1.20680612e+00  2.45337205e-03 -3.09229978e-01
 -9.06303781e-02  5.02613685e-01 -7.46158475e-01  3.25437245e+00
 -3.78544232e-01 -2.20253542e-01 -7.35294091e-01  9.99291684e-01]"
Acute psychosis,0.03495792669802338,0.038245487043770864,"[ 0.71477324  0.4061169  -0.24422856  0.0209051  -0.79599612 -0.40479982
  0.16263848 -0.69645212 -0.37242386  0.10215304 -0.90399189 -0.88289304
  0.02094731 -0.53795541 -0.81343022 -0.45008823  1.57314522 -0.04049124
  0.01387325 -0.85062182 -0.43514313  0.37315644 -0.53161607  4.17331385
 -0.27399013  0.32584242 -0.71679943  1.06405585]"
Vulvovaginal mycotic infection,0.03496503436942795,0.033998463124795465,"[-0.65375937 -0.91010057 -0.49279359 -0.17458633  0.26201768 -0.58359526
 -0.63824341 -0.22549642 -0.38577639  1.61891857  3.36491442  2.02070841
  0.96949483 -0.51122634 -0.48062898 -0.88601404 -0.02807012 -0.1101469
 -0.80209458 -0.90456847 -0.04813643  0.07948497 -0.36820395 -0.6687158
 -0.21948085  1.64086812 -0.55521935 -0.30954984]"
Blood sodium increased,0.035096058880118776,0.027199701453265213,"[-0.38538169 -0.71086764 -0.48543778  0.28616    -0.69491809 -0.46230731
 -0.12529009 -0.53708717 -0.6836858   1.0972272   1.77388223  3.35622931
  1.14946358 -0.99034037 -0.91939874 -0.70510166  0.35677831 -0.37604036
 -0.41379809 -0.47857961 -0.54342876  0.51610525 -0.84276432  0.05856726
 -0.00708766  1.72508041 -1.15792276  0.19994434]"
Nasal discomfort,0.03515297135205141,0.03402435371849207,"[ 0.29256562 -0.58030233 -1.01819717 -0.10615619  0.13731212 -0.96273738
  0.61098517  0.14605081 -0.83989654  0.47826048  1.97167666 -0.08236629
  1.32400852 -0.81257803 -0.94782652 -0.83332524  1.27527043 -0.66629649
  0.37286864 -0.05634634 -0.79699284 -0.20520908 -0.7767375   3.45471412
 -0.35204261  0.20627362 -0.61330415 -0.6196715 ]"
CD4 lymphocytes decreased,0.03515917880598541,0.04346982216434427,"[-0.45224309 -0.15758696 -0.21594035 -0.594165    1.21269973 -0.78680624
  0.09306835  0.24439991 -0.2824886   2.17401511  2.52145656 -0.71803621
 -0.783965    0.04668782 -0.7690444  -0.76735853  0.13023588  0.61181137
 -0.55309854 -0.6048305  -0.39856464 -0.49113776 -0.60057705 -0.57871121
 -0.64838787  2.95929348 -0.63106171  0.04033543]"
Haemorrhagic stroke,0.03516097647615525,0.025690477412213638,"[ 0.46337548 -0.40954019 -1.20764486  0.17358577 -1.12632292 -0.72928485
 -0.24302859 -0.72559676  0.632774   -0.98485531  1.54487117  2.19415554
 -0.22066696 -1.2457923  -0.61311436 -0.65202226  1.07034799 -0.69523722
  0.32349786 -0.28253638  1.5476211   1.37558671 -1.05779904  1.86445773
 -0.33275059  0.63497735 -1.24798617 -0.05107194]"
Joint injury,0.035210992219703106,0.028963300271344604,"[ 0.25511128 -1.18595338 -0.44614719  0.77865236  1.73590055 -0.59176865
 -0.19021199 -0.43664981  0.04818971 -0.25749119  2.35812667  2.0811083
  0.19864886 -0.99780918 -1.07301384 -1.09492578  0.47137049  1.3009787
 -0.9988673  -0.7636348  -1.067553   -0.68844307 -0.16807734  1.15307746
  0.00490371  0.97817571 -0.26716873 -1.13652858]"
