index_pt,pt
1679,Haemodialysis
1399,Eyelid rash
2222,Laziness
3317,Skin discomfort
2205,Large intestinal haemorrhage
2641,Odynophagia
657,Carcinoembryonic antigen increased
2909,Pneumonia parainfluenzae viral
1213,Dyspnoea at rest
2126,Intraocular pressure increased
2991,Product after taste
2912,Pneumonia respiratory syncytial viral
3527,Thyroid function test abnormal
1043,Dermatitis psoriasiform
288,Aspergillus infection
2525,Myelosuppression
748,Cerebral haemorrhage
1646,Granulocytopenia
1743,Henoch-Schonlein purpura
3693,Venoocclusive liver disease
662,Cardiac ablation
1332,Escherichia sepsis
1775,Hepatocellular carcinoma
1370,Extravasation
1801,Histiocytosis haematophagic
229,Aplasia
1676,Haematotoxicity
2034,Injection site infection
2808,Penile pain
2621,Non-small cell lung cancer
735,Central nervous system lymphoma
80,Adenocarcinoma of colon
2314,Lung infection
2282,Liver injury
2801,Pemphigoid
231,Aplastic anaemia
2406,Meningitis
1436,Febrile bone marrow aplasia
3135,Rash papular
2264,Lip oedema
3137,Rash pustular
65,Acute graft versus host disease in skin
988,Cytomegalovirus infection
1753,Hepatic encephalopathy
2095,Interstitial lung disease
3607,Type I hypersensitivity
206,Anticipatory anxiety
821,Chronic myeloid leukaemia transformation
2654,Oesophageal perforation
1834,Hyperkalaemia
2886,Platelet count decreased
1677,Haematuria
2400,Melaena
2313,Lung disorder
2519,Myelodysplastic syndrome
2732,Ovarian hyperstimulation syndrome
3372,Spinal cord haemorrhage
2101,Intestinal fistula
260,Application site swelling
2405,Meningism
3113,Purulent discharge
618,Bulbar palsy
1596,Genital lesion
168,Anastomotic stenosis
974,Cystitis escherichia
86,Adenotonsillectomy
2214,Laryngeal disorder
980,Cytogenetic analysis abnormal
1861,Hypoglycaemic encephalopathy
2283,Liver operation
930,Corona virus infection
2938,Post procedural infection
1032,Dental restoration failure
348,Bacterial disease carrier
679,Cardiac stress test abnormal
1152,Drug clearance decreased
3350,Small cell lung cancer
1028,Dental necrosis
1639,Graft loss
3532,Tinea cruris
2240,Leukaemoid reaction
1921,Implant site hypoaesthesia
2806,Penile curvature
3450,Sweat discolouration
3070,Prothrombin time abnormal
3478,Teratogenicity
2612,Nodular melanoma
960,Cryptococcal cutaneous infection
1879,Idiopathic pneumonia syndrome
2618,Non-Hodgkin's lymphoma stage IV
271,Arterial therapeutic procedure
1106,Diabetic nephropathy
2930,Porphyria acute
1348,Expired device used
1673,Haematological malignancy
123,Allergic respiratory symptom
3659,Uterine spasm
1250,Emergency care examination
2258,Lip discolouration
2665,Oligohydramnios
3650,Uterine contractions during pregnancy
2728,Ovarian cancer stage IV
1201,Dysentery
3332,Skin neoplasm excision
284,Articular calcification
2256,Linear IgA disease
1623,Glomerulonephritis rapidly progressive
1650,Graves' disease
2720,Otitis media acute
670,Cardiac function test abnormal
1559,Gastrointestinal fungal infection
2861,Pharyngeal ulceration
1957,Incorrect product storage
503,Blood testosterone decreased
3504,Therapeutic response unexpected
72,Acute myocardial infarction
2744,Pain in jaw
3716,Visual impairment
3093,Pulmonary hypertension
1457,Fistula
1513,Gait inability
2335,Lymphocytic hypophysitis
3094,Pulmonary hypertensive crisis
34,Acantholysis
2411,Meningitis meningococcal
905,Conjunctival filtering bleb leak
1113,Dialysis device insertion
3269,Sebaceous carcinoma
826,Chronic throat clearing
3508,Thoracic cavity drainage
3343,Skin test positive
558,Bone sequestrum
2286,Lobar pneumonia
44,Acid-base balance disorder mixed
1940,Incision site discharge
3394,Sputum retention
3722,Vitreous disorder
3721,Vitrectomy
2461,Milk allergy
1114,Diaphragm muscle weakness
1824,Hypercalcaemia of malignancy
3024,Product label on wrong product
1273,Endoscopy upper gastrointestinal tract
3257,Scleral hyperaemia
619,Burkholderia test positive
1767,Hepatitis B reactivation
3058,Prostate cancer stage III
3298,Sickle cell disease
177,Angioimmunoblastic T-cell lymphoma
404,"Bladder cancer stage I, with cancer in situ"
3008,Product deposit
2741,Packed red blood cell transfusion
1047,Dermoid cyst
3047,Product use in unapproved therapeutic environment
2647,Oesophageal cancer metastatic
3771,Wrong device used
914,Contraindication to vaccination
885,Complications of transplant surgery
2484,Mucosal disorder
2828,Periostitis
73,Acute promyelocytic leukaemia differentiation syndrome
2023,Injection site erosion
1,5q minus syndrome
3577,Traumatic intracranial haemorrhage
1364,Expulsion of medication
2218,Laryngeal stenosis
2435,Metastases to adrenals
2316,Lung lobectomy
3536,Tobacco user
51,Acquired claw toe
629,CAR T-cell-related encephalopathy syndrome
2155,Joint destruction
2797,Pelvic infection
1431,Fat necrosis
2903,Pneumonia cytomegaloviral
2364,Malignant pleural effusion
2195,Lacrimal disorder
3375,Spinal cord neoplasm
2953,Precancerous cells present
1320,Erosive oesophagitis
3730,Volvulus
2813,Peptic ulcer haemorrhage
3485,Testicular disorder
2051,Injection site ulcer
1426,Familial mediterranean fever
1870,Hypopyon
2473,Mononeuropathy
3733,Von Willebrand's disease
1392,Eyelash discolouration
128,Alpha 1 foetoprotein abnormal
315,Atypical mycobacterium test positive
701,Cast application
310,Atrophy of globe
604,Breath sounds
2039,Injection site macule
3214,Retinal vascular disorder
2056,Injury corneal
2344,Macular detachment
2031,Injection site hypoaesthesia
3079,Psoriasis
627,C-reactive protein increased
1156,Drug dependence
2381,Maternal exposure during pregnancy
733,Central nervous system lesion
456,Blood count abnormal
1173,Drug intolerance
749,Cerebral infarction
1526,Gastric cancer
690,Cardiovascular disorder
1693,Haemorrhage
2880,Plasma cell myeloma
2847,Peritonitis
3054,Prostate cancer
2985,Product adhesion issue
1811,Hot flush
1755,Hepatic enzyme increased
127,Alopecia
2743,Pain in extremity
2183,Knee arthroplasty
1948,Incorrect dose administered
500,Blood sodium decreased
3016,Product dose omission
1076,Device leakage
1078,Device malfunction
3313,Skin cancer
1780,Hernia
2839,Peripheral swelling
3779,Wrong technique in product usage process
704,Cataract
1810,Hospitalisation
3614,Unevaluable event
2686,Oral mucosal discolouration
2414,Meningococcal infection
2829,Peripheral T-cell lymphoma unspecified
2246,Ligament disorder
3556,Toxic anterior segment syndrome
405,Bladder cancer stage III
2122,Intracranial venous sinus thrombosis
881,Complication of delivery
2628,Nuclear magnetic resonance imaging brain abnormal
3561,Toxoplasmosis
273,Arteriovenous fistula site complication
682,Cardiac valve replacement complication
2328,Lymphadenopathy mediastinal
1309,Epiphysiolysis
2571,Nephrocalcinosis
967,Cutaneous tuberculosis
370,Benign hepatic neoplasm
445,Blood calcitonin increased
2587,Neuromuscular block prolonged
615,Bronchostenosis
154,Anal injury
3481,Terminal ileitis
3464,Systemic scleroderma
2908,Pneumonia mycoplasmal
1927,Implant site swelling
2099,Intestinal adenocarcinoma
1069,Device extrusion
2234,Lennox-Gastaut syndrome
810,Chronic graft versus host disease in skin
2981,Procedural nausea
3265,Scrotal oedema
3292,Shock symptom
398,Biopsy lung abnormal
1638,Graft infection
2455,Microscopic polyangiitis
473,Blood growth hormone abnormal
1795,Hilar lymphadenopathy
485,Blood magnesium increased
1415,Faecal volume decreased
3161,Refractory cytopenia with unilineage dysplasia
1527,Gastric cancer stage 0
3355,Small intestine adenocarcinoma
2575,Nephrosclerosis
136,Amino acid level abnormal
1401,Eyelid thickening
3100,Pulmonary oil microembolism
234,Appendicitis noninfective
448,Blood carbon monoxide increased
898,Congenital intestinal malformation
2789,Paternal exposure before pregnancy
3637,Urinary tract infection pseudomonal
1855,Hyperviscosity syndrome
2015,Injection site calcification
569,Brain natriuretic peptide abnormal
2983,Procedural site reaction
2445,Metastases to spinal cord
932,Coronary artery dilatation
1814,Human rhinovirus test positive
1924,Implant site mass
1998,Infusion site haematoma
617,Buccal mucosal roughening
1916,Implant site discharge
1001,Deafness permanent
2243,Leukoplakia
2581,Neurodevelopmental disorder
530,Bone callus excessive
1839,Hyperplasia
226,Apgar score abnormal
1284,Enterobacter sepsis
470,Blood gastrin increased
3315,Skin discharge
3002,Product contamination chemical
625,C-reactive protein
628,C-telopeptide increased
1052,Device adhesion issue
1105,Diabetic metabolic decompensation
1904,Immunisation reaction
2278,Livedo reticularis
3490,Testis cancer
583,Breast cancer in situ
2164,Juvenile idiopathic arthritis
2224,Learning disorder
1742,Hemiplegia
2688,Oral mucosal exfoliation
233,Appendiceal abscess
3463,Systemic mycosis
1343,Exophthalmos
1618,Glomerular filtration rate abnormal
753,Cerebral venous sinus thrombosis
1846,Hyperthermia malignant
812,Chronic hepatitis
2135,Investigation abnormal
835,Clostridial sepsis
2923,Polypectomy
1956,Incorrect product formulation administered
3122,Quadriplegia
811,Chronic hepatic failure
2646,Oesophageal adenocarcinoma
1395,Eyelid exfoliation
2358,Malignant melanoma stage II
1608,Gingival hyperplasia
2213,Laryngeal discomfort
1014,Delayed delivery
3539,Tongue dry
53,Acquired porphyria
388,Bilirubin conjugated abnormal
1444,Felty's syndrome
3191,Reproductive tract disorder
1135,Dislocation of vertebra
3667,Vaginal fistula
2597,Neutropenic infection
2036,Injection site injury
2330,Lymphocele
3067,Protein urine
2182,Klebsiella sepsis
723,Cauda equina syndrome
3031,Product packaging difficult to open
3236,Rotavirus infection
83,Adenoidectomy
2388,Mediastinitis
1813,Human papilloma virus test positive
3140,Rebound atopic dermatitis
1311,Episcleritis
2956,Precocious puberty
1931,Imprisonment
2516,Mycoplasma infection
3077,Pseudoporphyria
290,Aspiration pleural cavity
1015,Delayed puberty
1020,Demyelinating polyneuropathy
3652,Uterine dilation and curettage
2138,Irregular breathing
417,Blast cell crisis
1934,Inadequate diet
2372,Marginal zone lymphoma
2532,Myxoedema coma
2826,Periorbital haemorrhage
2094,Interstitial granulomatous dermatitis
2117,Intracardiac mass
737,Central nervous system neoplasm
2409,Meningitis herpes
1878,Idiopathic orbital inflammation
836,Clostridium bacteraemia
3247,Salpingitis
3177,Renal dysplasia
137,Amniocentesis abnormal
1637,Graft complication
3050,Progesterone increased
3563,Tracheomalacia
2781,Parathyroid gland operation
757,Cervical conisation
2432,Metaplasia
2810,Penile ulceration
1515,Gallbladder cancer metastatic
152,Anal hypoaesthesia
196,Anti-glomerular basement membrane disease
3648,Urticaria papular
1260,Endarterectomy
1595,Genital infection female
868,Colorectal cancer recurrent
420,Blastic plasmacytoid dendritic cell neoplasia
637,Calcification of muscle
2424,Mesenteric arterial occlusion
2891,Pleural mesothelioma
3699,Vertebrobasilar insufficiency
936,Coronary artery reocclusion
1193,Duodenal neoplasm
1024,Dental cleaning
2235,Lens dislocation
672,Cardiac pacemaker battery replacement
2825,Periorbital haematoma
2590,Neuropsychiatric lupus
2897,Pneumoconiosis
1869,Hypoproteinaemia
888,Complications of transplanted liver
2969,Premature separation of placenta
3301,Silent myocardial infarction
189,Anterior chamber flare
3251,Scedosporium infection
3078,Psoas abscess
3701,Vestibular disorder
3021,Product intolerance
354,Bacterial translocation
1422,Failure to suspend medication
2365,Malignant polyp
833,Clinically isolated syndrome
986,Cytomegalovirus gastrointestinal infection
1393,Eyelid bleeding
2193,Lack of administration site rotation
2167,Kawasaki's disease
3642,Urine ketone body
523,Body surface area increased
2528,Myocardial oedema
2436,Metastases to bone marrow
632,CD4 lymphocytes increased
1524,Gas gangrene
524,Body temperature
1031,Dental prosthesis placement
204,Antibody test negative
1599,Genitourinary symptom
3260,Scleroderma-like reaction
2188,Laboratory test
3600,Tumour necrosis
3719,Vitamin D increased
794,Choluria
149,Anal erosion
2992,Product blister packaging issue
3553,Tooth resorption
4,Abdominal fat apron
2772,Paracentesis
1338,Evans syndrome
2562,Necrotising oesophagitis
1970,Infected fistula
538,Bone density increased
734,Central nervous system leukaemia
3028,Product outer packaging issue
1205,Dyslexia
1509,Fungal peritonitis
2942,Post transplant lymphoproliferative disorder
1067,Device electrical finding
1503,Fulminant type 1 diabetes mellitus
401,Birth mark
1231,Echocardiogram abnormal
313,Atypical haemolytic uraemic syndrome
2921,Polyomavirus-associated nephropathy
3180,Renal haemorrhage
338,B-lymphocyte count abnormal
2675,Optic nerve injury
415,Bladder tamponade
3413,Steroid dependence
339,B-lymphocyte count decreased
1353,Exposure to communicable disease
2370,Manufacturing materials issue
2582,Neuroendocrine carcinoma
3098,Pulmonary nocardiosis
3356,Small intestine carcinoma
1100,Diabetic gastroparesis
1257,Encephalitis viral
2380,Maternal exposure during delivery
264,Application site warmth
772,Chemical peritonitis
1247,Embolia cutis medicamentosa
2836,Peripheral nerve injury
2078,Intentional medical device removal by patient
2206,Large intestinal stenosis
2558,Necrosis
2569,Neoplasm recurrence
258,Application site scab
909,Conjunctivitis viral
1691,Haemophilus infection
3629,Urethral stenosis
3095,Pulmonary infarction
3196,Respiratory rate increased
1086,Device power source issue
1298,Eosinophil count abnormal
1295,Enthesopathy
1375,Eye colour change
1302,Eosinophilic granulomatosis with polyangiitis
2301,Lower respiratory tract congestion
669,Cardiac fibrillation
1466,Focal segmental glomerulosclerosis
1980,Infertility
3578,Traumatic lung injury
2490,Multiple injuries
1016,Delivery
2236,Lentigo maligna
253,Application site papules
994,Dacryocystitis
1564,Gastrointestinal neoplasm
1862,Hypoglycaemic seizure
1475,Foetal malformation
434,Blood 25-hydroxycholecalciferol decreased
1359,Exposure via eye contact
1771,Hepatitis E
1968,Infected cyst
1229,Eastern Cooperative Oncology Group performance status worsened
2120,Intracranial mass
2227,Left ventricle outflow tract obstruction
1430,Fat embolism
1025,Dental cyst
2217,Laryngeal pain
3560,Toxic shock syndrome
2260,Lip erosion
1336,Eustachian tube disorder
3664,Vagal nerve stimulator implantation
1493,Fracture delayed union
217,Antisynthetase syndrome
251,Application site mass
1465,Focal nodular hyperplasia
379,Bile duct cancer
3172,Renal cancer stage IV
746,Cerebral cyst
3725,Vitreous opacities
1786,Herpes zoster cutaneous disseminated
2404,Meningioma benign
1828,Hypercoagulation
1657,Growth of eyelashes
2450,Metastatic lymphoma
1614,Glaucoma surgery
2204,Large granular lymphocytosis
3662,Vaccination complication
340,BK virus infection
1505,Fungaemia
1719,Hand-foot-and-mouth disease
3643,Urine ketone body present
3411,Stent placement
1357,Exposure via body fluid
751,Cerebral thrombosis
728,Cellulitis orbital
1548,Gastritis haemorrhagic
2303,Lower respiratory tract infection bacterial
590,Breast cyst
1907,Immunosuppressant drug level decreased
119,Allergic cough
2113,Intestinal ulcer
3389,Spondylitis
2614,Nodule
1326,Erythema nodosum
3169,Renal cancer metastatic
259,Application site scar
1454,Finger deformity
1694,Haemorrhage in pregnancy
3126,Radioisotope scan abnormal
2074,Intensive care
3217,Retinal vasculitis
3621,Upper-airway cough syndrome
1815,Hydrocele
1992,Infusion related hypersensitivity reaction
3404,Staphylococcal skin infection
2965,Premature baby
1091,Device use error
3428,Stroke in evolution
1804,Hodgkin's disease
3377,Spinal disorder
281,Arthropod sting
2018,Injection site cyst
2870,Physiotherapy
3736,Vulvovaginal burning sensation
1510,Fungal test positive
3015,Product dose confusion
3358,Sneezing
3581,Treatment noncompliance
603,Breath alcohol test positive
1224,Ear pain
1303,Eosinophilic oesophagitis
3286,Seroma
297,Asymptomatic COVID-19
1825,Hypercalciuria
2851,Pertussis
963,Culture positive
1793,High risk pregnancy
1666,Haemangioma of skin
3473,Tendon operation
478,Blood insulin decreased
2173,Keratosis pilaris
1586,Genital abscess
2822,Perineal pain
2757,Pancreatic carcinoma stage IV
3383,Spleen disorder
242,Application site erythema
1188,Dry eye
2040,Injection site mass
3582,Tremor
1874,Hypoxia
3713,Vision blurred
2270,Lipodystrophy acquired
1508,Fungal oesophagitis
1748,Hepatic cancer metastatic
2169,Keratitis
3520,Thrombotic cerebral infarction
2453,Metastatic squamous cell carcinoma
1428,Fanconi syndrome
1700,Haemorrhagic cerebral infarction
965,Cushingoid
1297,Enzyme level increased
2719,Otitis media
1777,Hepatosplenic T-cell lymphoma
3220,Retinopathy
3501,Therapeutic response delayed
2252,Limb crushing injury
3770,Wound secretion
2315,Lung infection pseudomonal
274,Arteriovenous fistula site infection
1215,EGFR gene mutation
2714,Osteonecrosis of external auditory canal
494,Blood pressure immeasurable
1197,Duodenal ulcer
855,Colon cancer stage II
3476,Tenoplasty
2648,Oesophageal carcinoma
1643,Graft versus host disease in lung
82,Adenoid cystic carcinoma
2425,Mesenteric panniculitis
2071,Insulin-like growth factor increased
181,Angiosarcoma
978,Cystoid macular oedema
205,Antibody test positive
475,Blood homocysteine increased
2857,Pharyngeal haemorrhage
282,Arthroscopic surgery
2128,Intraventricular haemorrhage
1054,Device allergy
3360,Soft tissue infection
2341,Lymphomatoid papulosis
3324,Skin hypertrophy
1609,Gingival operation
1296,Enzyme level decreased
1959,Increased insulin requirement
2394,Medical device site haemorrhage
3415,Sticky skin
1733,Heavy exposure to ultraviolet light
2463,Mitral valve replacement
1416,Faecal volume increased
2200,Lagophthalmos
1244,Electrocardiogram ST-T segment abnormal
3290,Serratia infection
1773,Hepatitis viral
1087,Device programming error
1133,Disease risk factor
2809,Penile size reduced
3572,Transplant rejection
346,Bacterial colitis
1890,Immune-mediated adrenal insufficiency
1629,Glycosylated haemoglobin abnormal
2464,Mitral valve stenosis
2842,Perirectal abscess
1604,Gingival blister
1702,Haemorrhagic erosive gastritis
3400,Staphylococcal abscess
1313,Epstein-Barr viraemia
3193,Respiratory alkalosis
528,Bone abscess
1891,Immune-mediated adverse reaction
718,Catheter site pain
2418,Meniscus operation
2996,Product commingling
1563,Gastrointestinal lymphoma
1831,Hypergammaglobulinaemia benign monoclonal
519,Blue toe syndrome
3115,Pustule
