index_pt,cluster,pt
323,8,Blood urea nitrogen/creatinine ratio increased
324,8,Blood uric acid increased
325,8,Blood urine present
326,8,Body height decreased
327,8,Body mass index increased
328,8,Body temperature abnormal
329,8,Body temperature decreased
330,8,Body temperature increased
331,8,Bone contusion
332,8,Bone deformity
333,7,Bone density abnormal
334,8,Bone density decreased
335,8,Bone disorder
336,8,Bone lesion excision
337,8,Bone loss
338,8,Bone marrow transplant
339,8,Bone neoplasm
340,8,Bone pain
341,8,Bowel movement irregularity
342,8,Bowen's disease
343,8,Brachial plexus injury
344,8,Bradycardia
345,8,Bradykinesia
346,8,Bradyphrenia
347,8,Bradypnoea
348,8,Brain death
349,8,Brain fog
350,8,Brain injury
351,8,Brain natriuretic peptide increased
352,8,Brain neoplasm
353,8,Brain neoplasm malignant
354,8,Brain oedema
355,8,Brain operation
356,8,Brain stem haemorrhage
357,8,Brain stem stroke
358,8,Breast abscess
359,8,Breast cancer
360,8,Breast cancer metastatic
361,8,Breast cancer recurrent
362,11,Breast cyst
363,8,Breast discharge
364,8,Breast disorder female
365,8,Breast enlargement
366,8,Breast mass
367,8,Breast neoplasm
368,8,Breast pain
369,8,Breast swelling
370,8,Breast tenderness
371,8,Bronchial disorder
372,8,Bronchitis
373,8,Bronchitis bacterial
374,8,Bronchopulmonary aspergillosis
375,8,Bronchoscopy
376,8,Bronchospasm
377,8,Brow ptosis
378,7,Brugada syndrome
379,8,Bundle branch block left
380,8,Bundle branch block right
381,8,Burning sensation
382,8,Bursitis
383,8,C-reactive protein increased
384,7,CD4 lymphocytes decreased
385,8,COVID-19
386,8,COVID-19 immunisation
387,8,CYP2C19 polymorphism
388,8,CYP3A4 polymorphism
389,8,Caesarean section
390,8,Calculus bladder
391,8,Campylobacter gastroenteritis
392,8,Cancer pain
393,8,Cancer surgery
394,8,Candida infection
395,8,Carbohydrate antigen 125 increased
396,8,Carbon dioxide increased
397,8,Cardiac ablation
398,7,Cardiac aneurysm
399,8,Cardiac arrest
400,8,Cardiac discomfort
401,8,Cardiac disorder
402,8,Cardiac dysfunction
403,8,Cardiac failure
404,8,Cardiac failure chronic
405,8,Cardiac failure congestive
406,8,Cardiac flutter
407,8,Cardiac operation
408,8,Cardiac pacemaker insertion
409,8,Cardiac stress test abnormal
410,8,Cardiac valve disease
411,8,Cardio-respiratory arrest
412,8,Cardiogenic shock
413,8,Cardiomegaly
414,8,Cardiomyopathy
415,8,Cardiotoxicity
416,8,Cardiovascular disorder
417,8,Cardiovascular insufficiency
418,7,Cardiovascular symptom
419,8,Carotid arteriosclerosis
420,8,Carotid artery occlusion
421,8,Carpal tunnel syndrome
422,8,Cartilage atrophy
423,7,Cartilage injury
424,8,Cataract
425,8,Cataract nuclear
426,8,Cataract operation
427,8,Catatonia
428,8,Catheter placement
429,8,Catheter site infection
430,8,Catheterisation cardiac
431,8,Cellulitis
432,8,Cellulitis staphylococcal
433,8,Central nervous system lesion
434,8,Central nervous system lymphoma
435,5,Central pain syndrome
436,7,Central venous catheterisation
437,8,Cerebellar haemorrhage
438,8,Cerebral artery occlusion
439,8,Cerebral atrophy
440,8,Cerebral disorder
441,8,Cerebral haemorrhage
442,8,Cerebral infarction
443,8,Cerebrospinal fluid leakage
444,8,Cerebrovascular accident
445,8,Cervical dysplasia
446,8,Cervical radiculopathy
447,8,Cervical vertebral fracture
448,8,Cervix carcinoma
449,8,Change of bowel habit
450,8,Chapped lips
451,8,Cheilitis
452,7,Chemical poisoning
453,8,Chemotherapy
454,8,Chest discomfort
455,8,Chest injury
456,8,Chest pain
457,8,Chills
458,8,Choking
459,8,Choking sensation
460,2,Cholangitis
461,8,Cholangitis sclerosing
462,8,Cholecystectomy
463,8,Cholecystitis
464,8,Cholecystitis acute
465,8,Cholecystitis infective
466,8,Cholelithiasis
467,8,Cholestasis
468,8,Chondropathy
469,8,Chorea
470,8,Chromaturia
471,8,Chronic gastritis
472,8,Chronic kidney disease
473,8,Chronic lymphocytic leukaemia
474,8,Chronic myeloid leukaemia
475,8,Chronic obstructive pulmonary disease
476,8,Chronic sinusitis
477,8,Circadian rhythm sleep disorder
478,8,Circulatory collapse
479,8,Circumstance or information capable of leading to medication error
480,8,Claustrophobia
481,8,Clavicle fracture
482,8,Clonic convulsion
483,8,Clonus
484,8,Clostridium difficile colitis
485,8,Clostridium difficile infection
486,8,Clostridium test positive
487,8,Clumsiness
488,8,Cluster headache
489,8,Coagulopathy
490,8,Coating in mouth
491,8,Coeliac disease
492,8,Cognitive disorder
493,8,Cold sweat
494,8,Colectomy
495,8,Colitis
496,8,Colitis ischaemic
497,8,Colitis ulcerative
498,8,Colon cancer
499,8,Colon cancer stage III
500,8,Colon operation
501,8,Colonic abscess
502,8,Colonoscopy
503,8,Colorectal cancer
504,8,Colorectal cancer metastatic
505,8,Colostomy
506,8,Coma
507,8,Communication disorder
508,8,Completed suicide
509,8,Complex partial seizures
510,8,Complication associated with device
511,8,Complication of device insertion
512,8,Complication of device removal
513,8,Compression fracture
514,8,Compulsions
515,8,Compulsive hoarding
516,8,Compulsive sexual behaviour
517,8,Compulsive shopping
518,8,Computerised tomogram abnormal
519,8,Concomitant disease aggravated
520,8,Concussion
521,5,Condition aggravated
522,8,Confusional state
523,8,Conjunctival haemorrhage
524,8,Conjunctival hyperaemia
525,8,Conjunctivitis
526,3,Connective tissue disorder
527,8,Constipation
528,8,Contraindication to medical treatment
529,8,Contrast media reaction
530,8,Contusion
531,8,Convulsion
532,8,Coordination abnormal
533,7,Corneal abrasion
534,8,Coronary arterial stent insertion
535,8,Coronary artery bypass
536,8,Coronary artery disease
537,8,Coronary artery occlusion
538,8,Coronary artery thrombosis
539,8,Coronavirus infection
540,8,Coronavirus test positive
541,3,Costochondritis
542,8,Cough
543,8,Craniocerebral injury
544,8,Crohn's disease
545,8,Cushing's syndrome
546,8,Cutaneous lupus erythematosus
547,8,Cutaneous vasculitis
548,8,Cyclic vomiting syndrome
549,8,Cyst
550,8,Cystic fibrosis
551,8,Cystic fibrosis respiratory infection suppression
552,7,Cystitis noninfective
553,8,Cytokine release syndrome
554,8,Cytomegalovirus infection
555,8,Cytopenia
556,8,Dandruff
557,8,Dark circles under eyes
558,8,Daydreaming
559,8,Deafness
560,8,Deafness bilateral
561,8,Deafness unilateral
562,8,Death
563,8,Decreased activity
564,8,Decreased appetite
565,8,Decreased immune responsiveness
566,8,Decreased interest
567,8,Decubitus ulcer
568,8,Deep vein thrombosis
569,8,Defaecation urgency
570,9,Deformity
571,5,Dehydration
572,8,Delirium
573,8,Delirium tremens
574,8,Delusion
575,8,"Delusional disorder, unspecified type"
576,8,Dementia
577,8,Dementia Alzheimer's type
578,8,Demyelination
579,8,Dengue fever
580,8,Dental care
581,8,Dental caries
582,8,Dental implantation
583,8,Dental operation
584,8,Dependence
585,8,Depersonalisation/derealisation disorder
586,8,Depressed level of consciousness
587,8,Depressed mood
588,8,Depression
589,8,Depression suicidal
590,8,Depressive symptom
591,7,Dermal cyst
592,8,Dermatitis
593,8,Dermatitis acneiform
594,8,Dermatitis allergic
595,8,Dermatitis atopic
596,8,Dermatitis bullous
597,8,Dermatitis contact
598,8,Dermatitis infected
599,8,Developmental delay
600,8,Developmental hip dysplasia
601,8,Device alarm issue
602,8,Device breakage
603,8,Device connection issue
604,8,Device defective
605,8,Device delivery system issue
606,8,Device difficult to use
607,8,Device failure
608,8,Device infusion issue
609,8,Device issue
610,8,Device leakage
611,8,Device malfunction
612,8,Device occlusion
613,8,Device related infection
614,7,Device related sepsis
615,8,Device use error
616,8,Device use issue
617,8,Diabetes mellitus
618,8,Diabetes mellitus inadequate control
619,8,Diabetic complication
620,8,Diabetic foot
621,8,Diabetic ketoacidosis
622,8,Dialysis
623,8,Diarrhoea
624,8,Diarrhoea haemorrhagic
625,8,Diffuse alopecia
626,8,Diffuse large B-cell lymphoma
627,8,Diplegia
628,8,Diplopia
629,8,Disability
630,8,Discharge
631,8,Discomfort
632,8,Disease complication
633,8,Disease progression
634,8,Disease recurrence
635,8,Disorganised speech
636,8,Disorientation
637,8,Disseminated intravascular coagulation
638,8,Dissociation
639,5,Dissociative disorder
640,8,Distributive shock
641,8,Disturbance in attention
642,8,Disturbance in social behaviour
643,8,Diverticular perforation
644,8,Diverticulitis
645,8,Diverticulum
646,8,Dizziness
647,8,Dizziness exertional
648,8,Dizziness postural
649,8,Drooling
650,8,Drug abuse
651,8,Drug administered to patient of inappropriate age
652,8,Drug administration error
653,8,Drug delivery system malfunction
654,8,Drug dependence
655,8,Drug dispensing error
656,8,Drug diversion
657,8,Drug dose omission
658,8,Drug dose omission by device
659,8,Drug dose titration not performed
660,8,Drug effect decreased
661,7,Drug effect delayed
662,8,Drug effect incomplete
663,8,Drug effect increased
664,8,Drug effect less than expected
665,8,Drug effect variable
666,8,Drug effective for unapproved indication
667,8,Drug eruption
668,8,Drug hypersensitivity
669,8,Drug ineffective
670,8,Drug ineffective for unapproved indication
671,8,Drug interaction
672,8,Drug intolerance
673,8,Drug level decreased
674,8,Drug level increased
675,8,Drug monitoring procedure not performed
676,8,Drug prescribing error
677,8,Drug reaction with eosinophilia and systemic symptoms
678,8,Drug resistance
679,8,Drug screen negative
680,8,Drug screen positive
681,8,Drug tolerance
682,5,Drug use disorder
683,8,Drug withdrawal syndrome neonatal
684,8,Drug-genetic interaction
685,8,Drug-induced liver injury
686,8,Dry eye
687,8,Dry mouth
688,8,Dry skin
689,8,Dry throat
690,8,Duodenal ulcer
691,8,Duodenal ulcer haemorrhage
692,8,Duodenitis
693,8,Dysaesthesia
694,8,Dysarthria
695,8,Dysgeusia
696,8,Dyskinesia
697,8,Dyslipidaemia
698,8,Dysmenorrhoea
699,8,Dyspareunia
700,8,Dyspepsia
701,8,Dysphagia
702,8,Dysphonia
703,8,Dysphoria
704,8,Dyspnoea
705,8,Dysstasia
706,8,Dystonia
707,8,Dysuria
708,8,Ear discomfort
709,8,Ear disorder
710,8,Ear infection
711,8,Ear infection fungal
712,8,Ear pain
713,8,Ear swelling
714,8,Eating disorder
715,8,Ecchymosis
716,8,Eczema
717,8,Ehlers-Danlos syndrome
718,8,Ejection fraction decreased
719,8,Elbow operation
720,8,Electrocardiogram PR prolongation
721,8,Electrocardiogram QT prolonged
722,8,Electrocardiogram T wave inversion
723,8,Electrocardiogram abnormal
724,7,Electroencephalogram abnormal
725,8,Electrolyte imbalance
726,8,Embolic stroke
727,8,Embolism
728,8,Emergency care
729,8,Emotional disorder
730,8,Emotional distress
731,8,Emotional poverty
732,8,Emphysema
733,8,Encephalitis
734,8,Encephalitis autoimmune
735,8,Encephalopathy
736,8,End stage renal disease
737,8,Endocarditis
738,8,Endodontic procedure
739,8,Endometrial adenocarcinoma
740,8,Endometrial cancer
741,8,Endometrial hyperplasia
742,8,Endometriosis
743,8,Endotracheal intubation
744,7,Enteritis infectious
745,8,Enterocolitis
746,8,Enuresis
747,8,Enzyme abnormality
748,8,Eosinophil count increased
749,8,Eosinophilia
750,8,Eosinophilic pneumonia
751,8,Epicondylitis
752,8,Epigastric discomfort
753,8,Epilepsy
754,8,Epistaxis
755,8,Erectile dysfunction
756,8,Eructation
757,8,Erysipelas
758,8,Erythema
759,8,Erythema of eyelid
760,8,Escherichia bacteraemia
761,8,Escherichia infection
762,8,Escherichia sepsis
763,8,Escherichia urinary tract infection
764,8,Essential hypertension
765,7,Essential tremor
766,8,Euglycaemic diabetic ketoacidosis
767,8,Euphoric mood
768,8,Excessive granulation tissue
769,8,Exercise tolerance decreased
770,3,Exostosis
771,8,Expired product administered
772,8,Exposure during breast feeding
773,8,Exposure during pregnancy
774,7,Exposure to SARS-CoV-2
775,8,Exposure to toxic agent
776,8,Exposure via ingestion
777,8,Exposure via skin contact
778,8,Extra dose administered
779,8,Extradural abscess
780,8,Extrapyramidal disorder
781,8,Extrasystoles
782,8,Extravasation
783,8,Eye contusion
784,8,Eye discharge
785,8,Eye disorder
786,8,Eye haemorrhage
787,8,Eye infection
788,8,Eye inflammation
789,8,Eye irritation
790,8,Eye operation
791,8,Eye pain
792,5,Eye pruritus
793,8,Eye swelling
794,8,Eye ulcer
795,8,Eyelid disorder
796,8,Eyelid oedema
797,8,Eyelid pain
798,8,Eyelid ptosis
799,8,Face injury
800,8,Face oedema
801,8,Facial bones fracture
802,8,Facial nerve disorder
803,8,Facial pain
804,8,Facial paresis
805,8,Facial spasm
806,8,Faecal incontinence
807,8,Faecaloma
808,8,Faeces discoloured
809,8,Faeces soft
810,8,Failure to thrive
811,8,Fall
812,5,Fatigue
813,8,Fear
814,8,Fear of injection
815,8,Febrile neutropenia
816,8,Feeding disorder
817,8,Feeling abnormal
818,8,Feeling cold
819,8,Feeling drunk
820,8,Feeling hot
821,8,Feeling jittery
822,8,Feeling of despair
823,8,Femoral neck fracture
824,8,Femur fracture
825,8,Fibromyalgia
826,8,Fine motor skill dysfunction
827,8,Fistula
828,8,Flank pain
829,8,Flatulence
830,8,Fluid overload
831,8,Fluid retention
832,8,Flushing
833,8,Foetal exposure during pregnancy
834,8,Food craving
835,8,Food intolerance
836,8,Food poisoning
837,8,Foot amputation
838,8,Foot deformity
839,8,Foot fracture
840,8,Foot operation
841,8,Foreign body
842,8,Foreign body aspiration
843,5,Foreign body in respiratory tract
844,8,Foreign body in throat
845,8,Formication
846,8,Fournier's gangrene
847,8,Fracture
848,8,Freezing phenomenon
849,8,Frequent bowel movements
850,5,Full blood count decreased
851,8,Full blood count increased
852,8,Functional gastrointestinal disorder
853,8,Fungal infection
854,8,Fungal skin infection
855,8,Furuncle
856,8,Gait disturbance
857,8,Gait inability
858,8,Galactorrhoea
859,8,Gallbladder disorder
860,8,Gallbladder operation
861,8,Gambling
862,8,Gastrectomy
863,8,Gastric bypass
864,8,Gastric cancer
865,8,Gastric disorder
866,8,Gastric haemorrhage
867,8,Gastric infection
868,8,Gastric perforation
869,8,Gastric polyps
870,8,Gastric ulcer
871,8,Gastric ulcer haemorrhage
872,8,Gastritis
873,8,Gastritis erosive
874,8,Gastroenteritis
875,8,Gastroenteritis viral
876,8,Gastrointestinal disorder
877,8,Gastrointestinal haemorrhage
878,8,Gastrointestinal infection
879,8,Gastrointestinal motility disorder
880,8,Gastrointestinal pain
881,8,Gastrointestinal perforation
882,8,Gastrointestinal procedural complication
883,7,Gastrointestinal stoma complication
884,8,Gastrointestinal stromal tumour
885,8,Gastrooesophageal reflux disease
886,8,Gastrostomy
887,8,General physical health deterioration
888,8,General symptom
889,8,Generalised anxiety disorder
890,8,Generalised erythema
891,8,Generalised oedema
892,8,Generalised tonic-clonic seizure
893,8,Genital haemorrhage
894,8,Genital herpes
895,8,Genital infection fungal
896,8,Gestational diabetes
897,8,Gestational hypertension
898,8,Gingival bleeding
899,8,Gingival discomfort
900,8,Gingival disorder
901,7,Gingival recession
902,8,Gingival swelling
903,8,Gingivitis
904,8,Glaucoma
905,8,Glioma
906,8,Glomerular filtration rate decreased
907,8,Glossitis
908,8,Glossodynia
909,8,Glucose tolerance impaired
910,8,Gluten sensitivity
911,8,Glycosylated haemoglobin increased
912,8,Goitre
913,6,Granulomatosis with polyangiitis
914,8,Grip strength decreased
915,8,Groin pain
916,8,Guillain-Barre syndrome
917,8,Gun shot wound
918,8,Gynaecomastia
919,8,Haemangioma
920,8,Haemarthrosis
921,8,Haematemesis
922,8,Haematochezia
923,8,Haematocrit decreased
924,8,Haematoma
925,8,Haematuria
926,7,Haemochromatosis
927,8,Haemoglobin abnormal
928,8,Haemoglobin decreased
929,8,Haemolytic anaemia
930,8,Haemophagocytic lymphohistiocytosis
931,8,Haemoptysis
932,8,Haemorrhage
933,8,Haemorrhage intracranial
934,8,Haemorrhage urinary tract
935,8,Haemorrhagic anaemia
936,8,Haemorrhagic diathesis
937,8,Haemorrhagic stroke
938,8,Haemorrhoidal haemorrhage
939,8,Haemorrhoids
940,8,Hair colour changes
941,8,Hair texture abnormal
942,8,Hallucination
943,8,"Hallucination, auditory"
944,7,"Hallucination, olfactory"
945,8,"Hallucination, tactile"
946,8,"Hallucination, visual"
947,8,Hand fracture
948,8,Hangover
949,8,Head discomfort
950,8,Head injury
951,8,Headache
952,8,Heart rate decreased
953,8,Heart rate increased
954,8,Heart rate irregular
955,8,Helicobacter infection
956,8,Hemiparesis
957,8,Hemiplegia
958,8,Hepatic cancer
959,8,Hepatic cirrhosis
960,8,Hepatic cyst
961,8,Hepatic cytolysis
962,8,Hepatic enzyme abnormal
963,8,Hepatic enzyme increased
964,8,Hepatic failure
965,8,Hepatic steatosis
966,8,Hepatitis
967,8,Hepatitis C
968,8,Hepatitis acute
969,8,Hepatocellular carcinoma
970,8,Hepatocellular injury
971,8,Hepatomegaly
972,8,Hepatotoxicity
973,8,Hereditary angioedema
974,8,Hernia
975,8,Herpes simplex
976,8,Herpes virus infection
977,8,Herpes zoster
978,7,Herpes zoster disseminated
979,8,Hiatus hernia
980,8,Hidradenitis
981,8,Hip arthroplasty
982,8,Hip fracture
983,8,Hip surgery
984,8,Histoplasmosis
985,8,Homicidal ideation
986,8,Hormone level abnormal
987,8,Hospice care
988,8,Hospitalisation
989,8,Hot flush
990,8,Humerus fracture
991,8,Hydronephrosis
992,8,Hyperacusis
993,8,Hyperaesthesia
994,8,Hyperammonaemia
995,8,Hypercalcaemia
996,8,Hyperemesis gravidarum
997,8,Hyperglycaemia
998,8,Hyperhidrosis
999,8,Hyperkalaemia
1000,8,Hyperkinesia
1001,8,Hyperlactacidaemia
1002,8,Hypernatraemia
1003,8,Hyperparathyroidism secondary
1004,8,Hyperphagia
1005,8,Hyperprolactinaemia
1006,8,Hyperreflexia
1007,8,Hypersensitivity
1008,8,Hypersensitivity vasculitis
1009,8,Hypersomnia
1010,8,Hypertension
1011,8,Hypertensive crisis
1012,8,Hypertensive heart disease
1013,8,Hyperthermia
1014,8,Hyperthyroidism
1015,8,Hypertonia
1016,7,Hypertonic bladder
1017,8,Hypertransaminasaemia
1018,8,Hypoaesthesia
1019,8,Hypoaesthesia oral
1020,8,Hypocalcaemia
1021,8,Hypoglycaemia
1022,8,Hypokalaemia
1023,8,Hypomagnesaemia
1024,8,Hypomania
1025,8,Hyponatraemia
1026,8,Hypophagia
1027,8,Hypophosphataemia
1028,8,Hypophysitis
1029,8,Hypotension
1030,7,Hypothermia
1031,8,Hypothyroidism
1032,8,Hypotonia
1033,8,Hypoventilation
1034,8,Hypoxia
1035,8,Hysterectomy
1036,8,Ileus
1037,8,Ileus paralytic
1038,8,Ill-defined disorder
1039,8,Illness
1040,8,Illusion
1041,8,Immobile
1042,8,Immune effector cell-associated neurotoxicity syndrome
1043,8,Immune reconstitution inflammatory syndrome
1044,8,Immune system disorder
1045,8,Immunodeficiency
1046,8,Immunosuppression
1047,8,Impaired driving ability
1048,8,Impaired gastric emptying
1049,8,Impaired healing
1050,8,Impaired quality of life
1051,8,Impaired work ability
1052,8,Implant site bruising
1053,9,Implant site extravasation
1054,8,Impulsive behaviour
1055,8,Inadequate analgesia
1056,8,Inappropriate antidiuretic hormone secretion
1057,8,Inappropriate schedule of drug administration
1058,8,Inappropriate schedule of product administration
